
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,0
 150,0,0
 155,0,0
 160,0,0
 165,0,0
 170,0,0
 175,0,0
 180,0,0
 185,0,0
 190,0,0
 195,0,0
 200,0,0
 205,0,0
 210,0,0
 215,0,0
 220,0,0
 225,0,0
 230,0,0
 235,0,0
 240,0,0
 245,0,0
 250,0,0
 255,0,0
 260,0,0
 265,0,0
 270,0,0
 275,0,0
 280,0,0
 285,0,0
 290,0,0
 295,0,0
 300,0,0
 305,0,0
 310,0,0
 315,0,0
 320,0,0
 325,0,0
 330,0,0
 335,0,0
 340,0,0
 345,0,0
 350,0,0
 355,0,0
 360,0,0
 365,0,0
 370,0,0
 375,0,0
 380,0,0
 385,0,1
 390,0,1
 395,0,1
 400,0,1
 405,0,1
 410,0,1
 415,0,1
 420,0,1
 425,0,1
 430,0,1
 435,0,1
 440,0,1
 445,0,1
 450,0,1
 455,0,1
 460,0,1
 465,0,1
 470,0,1
 475,0,1
 480,0,1
 485,0,2
 490,0,1
 495,0,1
 500,0,1
 505,0,1
 510,0,1
 515,0,1
 520,0,2
 525,0,2
 530,0,2
 535,0,2
 540,0,2
 545,0,2
 550,0,2
 555,0,2
 560,0,4
 565,0,5
 570,0,5
 575,0,5
 580,0,5
 585,0,4
 590,0,4
 595,0,4
 600,0,4
 605,0,4
 610,0,4
 615,0,4
 620,0,4
 625,0,6
 630,0,6
 635,0,6
 640,0,6
 645,0,6
 650,0,6
 655,0,6
 660,0,8
 665,0,6
 670,0,5
 675,0,5
 680,0,5
 685,0,5
 690,0,5
 695,0,5
 700,0,5
 705,0,5
 710,0,5
 715,0,5
 720,0,4
 725,0,4
 730,0,2
 735,0,3
 740,0,3
 745,0,4
 750,0,4
 755,0,4
 760,0,4
 765,0,2
 770,0,2
 775,0,2
 780,0,2
 785,0,2
 790,0,2
 795,0,2
 800,0,2
 805,0,2
 810,0,2
 815,0,2
 820,0,2
 825,0,2
 830,0,2
 835,0,3
 840,0,2
 845,0,2
 850,0,1
 855,0,1
 860,0,1
 865,0,1
 870,0,1
 875,0,1
 880,0,1
 885,0,1
 890,0,1
 895,0,1
 900,0,1
 905,0,1
 910,0,1
 915,0,1
 920,0,1
 925,0,1
 930,0,1
 935,0,1
 940,0,1
 945,0,1
 950,0,1
 955,0,1
 960,0,1
 965,0,3
 970,0,6
 975,0,7
 980,0,7
 985,0,7
 990,0,7
 995,0,8
 1000,0,9
 1005,0,9
 1010,0,9
 1015,0,9
 1020,0,9
 1025,0,9
 1030,0,9
 1035,0,9
 1040,0,9
 1045,0,8
 1050,0,8
 1055,0,8
 1060,0,8
 1065,0,8
 1070,0,5
 1075,0,2
 1080,0,5
 1085,0,9
 1090,0,9
 1095,0,9
 1100,0,8
 1105,0,7
 1110,0,7
 1115,0,7
 1120,0,7
 1125,0,7
 1130,0,7
 1135,0,7
 1140,0,7
 1145,0,7
 1150,0,8
 1155,0,8
 1160,0,8
 1165,0,8
 1170,0,8
 1175,0,8
 1180,0,8
 1185,0,3
 1190,0,1
 1195,0,4
 1200,0,4
 1205,0,4
 1210,0,4
 1215,0,4
 1220,0,4
 1225,0,5
 1230,0,5
 1235,0,5
 1240,0,6
 1245,0,6
 1250,0,6
 1255,0,5
 1260,0,5
 1265,0,5
 1270,0,5
 1275,0,5
 1280,0,5
 1285,0,5
 1290,0,5
 1295,0,5
 1300,0,5
 1305,0,3
 1310,0,3
 1315,0,4
 1320,0,5
 1325,0,6
 1330,0,5
 1335,0,5
 1340,0,6
 1345,0,7
 1350,0,7
 1355,0,9
 1360,0,9
 1365,0,9
 1370,0,9
 1375,0,10
 1380,0,10
 1385,0,10
 1390,0,10
 1395,0,10
 1400,0,12
 1405,0,12
 1410,0,11
 1415,0,11
 1420,0,10
 1425,0,9
 1430,0,8
 1435,0,8
 1440,0,8
 1445,0,7
 1450,0,5
 1455,0,5
 1460,0,3
 1465,0,3
 1470,0,3
 1475,0,2
 1480,0,2
 1485,0,3
 1490,0,4
 1495,0,4
 1500,0,2
 1505,0,3
 1510,0,4
 1515,0,5
 1520,0,5
 1525,0,6
 1530,0,6
 1535,0,6
 1540,0,6
 1545,0,6
 1550,0,6
 1555,0,7
 1560,0,7
 1565,0,7
 1570,0,7
 1575,0,7
 1580,0,7
 1585,0,10
 1590,0,10
 1595,0,9
 1600,0,9
 1605,0,8
 1610,0,9
 1615,0,8
 1620,0,7
 1625,0,7
 1630,0,6
 1635,0,6
 1640,0,6
 1645,0,6
 1650,0,6
 1655,0,6
 1660,0,5
 1665,0,5
 1670,0,5
 1675,0,5
 1680,0,5
 1685,0,4
 1690,0,1
 1695,0,1
 1700,0,1
 1705,0,2
 1710,0,2
 1715,0,1
 1720,0,1
 1725,0,1
 1730,0,1
 1735,0,1
 1740,0,1
 1745,0,1
 1750,0,2
 1755,0,2
 1760,0,2
 1765,0,2
 1770,0,2
 1775,0,2
 1780,0,3
 1785,0,4
 1790,0,4
 1795,0,4
 1800,0,4
 1805,0,4
 1810,0,3
 1815,0,3
 1820,0,3
 1825,0,3
 1830,0,3
 1835,0,3
 1840,0,3
 1845,0,3
 1850,0,3
 1855,0,2
 1860,0,2
 1865,0,2
 1870,0,2
 1875,0,2
 1880,0,1
 1885,0,1
 1890,0,0
 1895,0,1
 1900,0,1
 1905,0,1
 1910,0,1
 1915,0,1
 1920,0,1
 1925,0,1
 1930,0,4
 1935,0,4
 1940,0,4
 1945,0,4
 1950,0,4
 1955,0,5
 1960,0,5
 1965,0,5
 1970,0,5
 1975,0,5
 1980,0,5
 1985,0,5
 1990,0,5
 1995,0,5
 2000,0,4
 2005,0,4
 2010,0,5
 2015,0,5
 2020,0,6
 2025,0,6
 2030,0,6
 2035,0,3
 2040,0,3
 2045,0,4
 2050,0,5
 2055,0,4
 2060,0,4
 2065,0,4
 2070,0,4
 2075,0,4
 2080,0,4
 2085,0,4
 2090,0,4
 2095,0,4
 2100,0,4
 2105,0,6
