
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,0
 150,0,0
 155,0,0
 160,0,0
 165,0,0
 170,0,0
 175,0,0
 180,0,0
 185,0,0
 190,0,0
 195,0,0
 200,0,0
 205,0,0
 210,0,0
 215,0,0
 220,0,0
 225,0,0
 230,0,0
 235,0,0
 240,0,0
 245,0,0
 250,0,0
 255,0,0
 260,0,0
 265,0,0
 270,0,0
 275,0,0
 280,0,0
 285,0,0
 290,0,0
 295,0,0
 300,0,0
 305,0,0
 310,0,0
 315,0,0
 320,0,0
 325,0,0
 330,0,0
 335,0,0
 340,0,0
 345,0,0
 350,0,0
 355,0,0
 360,0,0
 365,0,0
 370,0,0
 375,0,0
 380,0,0
 385,0,0
 390,0,0
 395,0,0
 400,0,0
 405,0,0
 410,0,0
 415,0,0
 420,0,0
 425,0,0
 430,0,0
 435,0,0
 440,0,0
 445,0,0
 450,0,0
 455,0,0
 460,0,1
 465,0,1
 470,0,1
 475,0,1
 480,0,1
 485,0,2
 490,0,2
 495,0,2
 500,0,2
 505,0,2
 510,0,2
 515,0,2
 520,0,2
 525,0,3
 530,0,3
 535,0,4
 540,0,4
 545,0,4
 550,0,4
 555,0,4
 560,0,5
 565,0,4
 570,0,4
 575,0,4
 580,0,4
 585,0,4
 590,0,4
 595,0,4
 600,0,4
 605,0,5
 610,0,5
 615,0,5
 620,0,5
 625,0,6
 630,0,7
 635,0,7
 640,0,7
 645,0,6
 650,0,6
 655,0,6
 660,0,6
 665,0,5
 670,0,7
 675,0,8
 680,0,8
 685,0,7
 690,0,7
 695,0,7
 700,0,7
 705,0,7
 710,0,6
 715,0,6
 720,0,6
 725,0,5
 730,0,5
 735,0,3
 740,0,3
 745,0,4
 750,0,4
 755,0,4
 760,0,4
 765,0,5
 770,0,6
 775,0,5
 780,0,4
 785,0,4
 790,0,4
 795,0,4
 800,0,4
 805,0,5
 810,0,5
 815,0,6
 820,0,6
 825,0,6
 830,0,7
 835,0,7
 840,0,7
 845,0,7
 850,0,10
 855,0,10
 860,0,10
 865,0,9
 870,0,9
 875,0,7
 880,0,7
 885,0,7
 890,0,8
 895,0,8
 900,0,8
 905,0,8
 910,0,8
 915,0,8
 920,0,7
 925,0,7
 930,0,7
 935,0,7
 940,0,6
 945,0,6
 950,0,6
 955,0,3
 960,0,3
 965,0,3
 970,0,4
 975,0,4
 980,0,4
 985,0,5
 990,0,5
 995,0,4
 1000,0,4
 1005,0,4
 1010,0,5
 1015,0,5
 1020,0,8
 1025,0,9
 1030,0,11
 1035,0,11
 1040,0,11
 1045,0,11
 1050,0,11
 1055,0,11
 1060,0,10
 1065,0,11
 1070,0,11
 1075,0,10
 1080,0,10
 1085,0,10
 1090,0,11
 1095,0,11
 1100,0,11
 1105,0,11
 1110,0,11
 1115,0,11
 1120,0,10
 1125,0,6
 1130,0,5
 1135,0,3
 1140,0,3
 1145,0,3
 1150,0,3
 1155,0,3
 1160,0,3
 1165,0,3
 1170,0,2
 1175,0,2
 1180,0,2
 1185,0,2
 1190,0,2
 1195,0,0
 1200,0,0
 1205,0,0
 1210,0,0
 1215,0,0
 1220,0,0
 1225,0,0
 1230,0,0
 1235,0,0
 1240,0,1
 1245,0,1
 1250,0,1
 1255,0,3
 1260,0,4
 1265,0,5
 1270,0,6
 1275,0,6
 1280,0,7
 1285,0,8
 1290,0,8
 1295,0,8
 1300,0,8
 1305,0,8
 1310,0,8
 1315,0,8
 1320,0,9
 1325,0,10
 1330,0,11
 1335,0,11
 1340,0,11
 1345,0,10
 1350,0,10
 1355,0,10
 1360,0,9
 1365,0,7
 1370,0,6
 1375,0,5
 1380,0,7
 1385,0,7
 1390,0,8
 1395,0,8
 1400,0,8
 1405,0,8
 1410,0,8
 1415,0,8
 1420,0,8
 1425,0,7
 1430,0,7
 1435,0,5
 1440,0,5
 1445,0,5
 1450,0,5
 1455,0,5
 1460,0,5
 1465,0,6
 1470,0,6
 1475,0,6
 1480,0,6
 1485,0,4
 1490,0,2
 1495,0,3
 1500,0,3
 1505,0,4
 1510,0,4
 1515,0,4
 1520,0,4
 1525,0,6
 1530,0,7
 1535,0,7
 1540,0,7
 1545,0,9
 1550,0,9
 1555,0,10
 1560,0,11
 1565,0,11
 1570,0,11
 1575,0,10
 1580,0,10
 1585,0,11
 1590,0,11
 1595,0,12
 1600,0,10
 1605,0,9
 1610,0,9
 1615,0,10
 1620,0,10
 1625,0,9
 1630,0,11
 1635,0,11
 1640,0,11
 1645,0,10
 1650,0,9
 1655,0,9
 1660,0,8
 1665,0,8
 1670,0,8
 1675,0,8
 1680,0,8
 1685,0,8
 1690,0,7
 1695,0,7
 1700,0,6
 1705,0,6
 1710,0,6
 1715,0,5
 1720,0,6
 1725,0,6
 1730,0,5
 1735,0,3
 1740,0,2
 1745,0,2
 1750,0,3
 1755,0,3
 1760,0,2
 1765,0,2
 1770,0,2
 1775,0,2
 1780,0,2
 1785,0,2
 1790,0,2
 1795,0,2
 1800,0,2
 1805,0,2
 1810,0,2
 1815,0,2
 1820,0,2
 1825,0,1
 1830,0,1
 1835,0,1
 1840,0,1
 1845,0,1
 1850,0,0
 1855,0,0
 1860,0,0
 1865,0,0
 1870,0,1
 1875,0,1
 1880,0,1
 1885,0,3
 1890,0,4
 1895,0,4
 1900,0,4
 1905,0,4
 1910,0,5
 1915,0,5
 1920,0,5
 1925,0,5
 1930,0,7
 1935,0,7
 1940,0,7
 1945,0,9
 1950,0,9
 1955,0,11
 1960,0,11
 1965,0,11
 1970,0,11
 1975,0,10
 1980,0,10
 1985,0,8
 1990,0,7
 1995,0,7
 2000,0,7
 2005,0,7
 2010,0,7
 2015,0,6
 2020,0,6
 2025,0,6
 2030,0,6
 2035,0,4
 2040,0,4
 2045,0,4
 2050,0,2
 2055,0,2
 2060,0,1
 2065,0,0
 2070,0,0
 2075,0,0
 2080,0,0
 2085,0,0
 2090,0,0
 2095,0,0
 2100,0,0
 2105,0,0
