Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Pri Packet Dropped due to Faulty Node, Low Pri Packet Dropped due to Faulty Node, S/R dead, S/R is state 2, max hop, bufferFull 
5,1,1,1,1,0,0,0,0,0,0,0,0
10,6,3,5,2,3,3,3,0,0,0,0,0
15,8,3,6,2,5,5,4,1,0,0,0,0
20,16,6,10,3,8,8,6,2,0,0,0,0
25,20,8,11,5,12,12,6,6,0,0,0,0
30,30,12,16,6,18,18,10,8,0,0,0,0
35,36,12,19,6,22,22,12,10,0,0,0,0
40,47,19,23,10,27,27,13,14,0,0,0,0
45,51,21,27,11,30,30,16,14,0,0,0,0
50,61,24,30,11,37,37,19,18,0,0,0,0
55,67,24,32,11,42,42,21,21,0,0,0,0
60,78,30,36,14,47,47,22,25,0,0,0,0
65,82,33,37,14,48,48,23,25,0,0,0,0
70,92,40,43,18,50,50,23,27,0,0,0,0
75,98,40,44,18,53,53,24,29,0,0,0,0
80,109,48,50,22,56,56,25,31,0,0,0,0
85,113,51,54,24,58,58,26,32,0,0,0,0
90,123,57,59,27,61,61,28,33,0,0,0,0
95,129,57,63,27,64,64,30,34,0,0,0,0
100,140,65,68,30,66,66,31,35,0,0,0,0
105,144,68,70,31,68,68,32,36,0,0,0,0
110,154,75,75,35,71,71,33,38,0,0,0,0
115,160,75,79,35,74,74,36,38,0,0,0,0
120,171,82,85,38,77,77,36,41,0,0,0,0
125,175,85,88,40,78,78,37,41,0,0,0,0
130,185,93,94,45,80,80,39,41,0,0,0,0
135,191,94,95,45,83,83,39,44,0,0,0,0
140,202,101,101,48,86,86,40,46,0,0,0,0
145,206,106,104,50,87,87,41,46,0,0,0,0
150,216,115,107,55,89,89,41,48,0,0,0,0
155,222,115,110,55,93,93,42,51,0,0,0,0
160,233,123,113,58,95,95,43,52,0,0,0,0
165,237,128,115,59,96,96,44,52,0,0,0,0
170,247,137,120,63,98,98,46,52,0,0,0,0
175,253,138,123,63,101,101,47,54,0,0,0,0
180,264,145,131,67,103,103,48,55,0,0,0,0
185,268,150,132,70,104,104,49,55,0,0,0,0
190,278,159,137,76,106,106,49,57,0,0,0,0
195,284,160,138,77,109,109,49,60,0,0,0,0
200,295,168,144,81,111,111,51,60,0,0,0,0
205,299,174,145,82,112,112,51,61,0,0,0,0
210,309,182,151,86,114,114,53,61,0,0,0,0
215,315,183,156,86,117,117,55,62,0,0,0,0
220,326,191,161,91,119,119,56,63,0,0,0,0
225,330,197,163,95,120,120,57,63,0,0,0,0
230,340,205,170,99,122,122,59,63,0,0,0,0
235,346,205,172,99,125,125,60,65,0,0,0,0
240,357,214,177,101,127,127,62,65,0,0,0,0
245,361,218,178,103,128,128,63,65,0,0,0,0
250,371,226,183,106,130,130,64,66,0,0,0,0
255,377,228,186,107,133,133,67,66,0,0,0,0
260,388,236,193,111,135,135,68,67,0,0,0,0
