
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,0
 150,0,0
 155,0,0
 160,0,0
 165,0,0
 170,0,0
 175,0,0
 180,0,0
 185,0,0
 190,0,0
 195,0,0
 200,0,0
 205,0,0
 210,0,0
 215,0,0
 220,0,0
 225,0,0
 230,0,0
 235,0,0
 240,0,0
 245,0,0
 250,0,0
 255,0,0
 260,0,0
 265,0,0
 270,0,0
 275,0,0
 280,0,0
 285,0,0
 290,0,0
 295,0,0
 300,0,0
 305,0,0
 310,0,0
 315,0,0
 320,0,0
 325,0,0
 330,0,0
 335,0,0
 340,0,0
 345,0,0
 350,0,0
 355,0,0
 360,0,0
 365,0,0
 370,0,0
 375,0,0
 380,0,0
 385,0,0
 390,0,0
 395,0,0
 400,0,0
 405,0,0
 410,0,0
 415,0,0
 420,0,0
 425,0,0
 430,0,0
 435,0,0
 440,0,0
 445,0,0
 450,0,0
 455,0,0
 460,0,0
 465,0,0
 470,0,0
 475,0,0
 480,0,0
 485,0,0
 490,0,0
 495,0,0
 500,0,0
 505,0,0
 510,0,0
 515,0,0
 520,0,0
 525,0,0
 530,0,0
 535,0,0
 540,0,0
 545,0,0
 550,0,0
 555,0,0
 560,0,0
 565,0,0
 570,0,0
 575,0,0
 580,0,0
 585,0,0
 590,0,0
 595,0,0
 600,0,0
 605,0,1
 610,0,1
 615,0,1
 620,0,1
 625,0,1
 630,0,2
 635,0,2
 640,0,3
 645,0,3
 650,0,3
 655,0,3
 660,0,3
 665,0,3
 670,0,3
 675,0,3
 680,0,3
 685,0,3
 690,0,3
 695,0,3
 700,0,3
 705,0,3
 710,0,2
 715,0,2
 720,0,2
 725,0,3
 730,0,2
 735,0,2
 740,0,2
 745,0,2
 750,0,3
 755,0,3
 760,0,5
 765,0,5
 770,0,7
 775,0,8
 780,0,8
 785,0,8
 790,0,8
 795,0,8
 800,0,8
 805,0,9
 810,0,9
 815,0,9
 820,0,9
 825,0,9
 830,0,8
 835,0,8
 840,0,8
 845,0,8
 850,0,8
 855,0,6
 860,0,6
 865,0,4
 870,0,4
 875,0,1
 880,0,2
 885,0,2
 890,0,2
 895,0,2
 900,0,2
 905,0,1
 910,0,1
 915,0,1
 920,0,1
 925,0,1
 930,0,1
 935,0,1
 940,0,1
 945,0,1
 950,0,1
 955,0,1
 960,0,1
 965,0,1
 970,0,1
 975,0,1
 980,0,1
 985,0,2
 990,0,2
 995,0,2
 1000,0,2
 1005,0,2
 1010,0,2
 1015,0,2
 1020,0,2
 1025,0,2
 1030,0,3
 1035,0,3
 1040,0,3
 1045,0,3
 1050,0,3
 1055,0,4
 1060,0,4
 1065,0,4
 1070,0,4
 1075,0,4
 1080,0,5
 1085,0,5
 1090,0,4
 1095,0,3
 1100,0,3
 1105,0,4
 1110,0,4
 1115,0,4
 1120,0,4
 1125,0,4
 1130,0,4
 1135,0,3
 1140,0,4
 1145,0,4
 1150,0,4
 1155,0,4
 1160,0,3
 1165,0,3
 1170,0,5
 1175,0,5
 1180,0,4
 1185,0,4
 1190,0,6
 1195,0,6
 1200,0,6
 1205,0,6
 1210,0,5
 1215,0,5
 1220,0,5
 1225,0,5
 1230,0,5
 1235,0,5
 1240,0,5
 1245,0,6
 1250,0,6
 1255,0,6
 1260,0,8
 1265,0,8
 1270,0,6
 1275,0,6
 1280,0,6
 1285,0,6
 1290,0,6
 1295,0,4
 1300,0,4
 1305,0,4
 1310,0,4
 1315,0,4
 1320,0,4
 1325,0,4
 1330,0,5
 1335,0,5
 1340,0,5
 1345,0,5
 1350,0,3
 1355,0,4
 1360,0,3
 1365,0,2
 1370,0,2
 1375,0,2
 1380,0,2
 1385,0,2
 1390,0,2
 1395,0,2
 1400,0,2
 1405,0,2
 1410,0,2
 1415,0,2
 1420,0,2
 1425,0,3
 1430,0,2
 1435,0,2
 1440,0,3
 1445,0,4
 1450,0,5
 1455,0,5
 1460,0,5
 1465,0,6
 1470,0,6
 1475,0,6
 1480,0,7
 1485,0,7
 1490,0,7
 1495,0,7
 1500,0,7
 1505,0,7
 1510,0,7
 1515,0,7
 1520,0,7
 1525,0,7
 1530,0,6
 1535,0,6
 1540,0,7
 1545,0,7
 1550,0,4
 1555,0,4
 1560,0,3
 1565,0,4
 1570,0,3
 1575,0,3
 1580,0,3
 1585,0,2
 1590,0,2
 1595,0,2
 1600,0,2
 1605,0,2
 1610,0,2
 1615,0,2
 1620,0,2
 1625,0,2
 1630,0,2
 1635,0,2
 1640,0,1
 1645,0,3
 1650,0,3
 1655,0,3
 1660,0,4
 1665,0,6
 1670,0,5
 1675,0,5
 1680,0,6
 1685,0,7
 1690,0,7
 1695,0,7
 1700,0,7
 1705,0,7
 1710,0,8
 1715,0,8
 1720,0,8
 1725,0,8
 1730,0,8
 1735,0,8
 1740,0,8
 1745,0,7
 1750,0,6
 1755,0,6
 1760,0,5
 1765,0,3
 1770,0,3
 1775,0,3
 1780,0,3
 1785,0,2
 1790,0,1
 1795,0,1
 1800,0,2
 1805,0,2
 1810,0,2
 1815,0,1
 1820,0,2
 1825,0,2
 1830,0,2
 1835,0,2
 1840,0,2
 1845,0,2
 1850,0,2
 1855,0,2
 1860,0,2
 1865,0,2
 1870,0,4
 1875,0,4
 1880,0,4
 1885,0,4
 1890,0,4
 1895,0,4
 1900,0,4
 1905,0,3
 1910,0,3
 1915,0,4
 1920,0,3
 1925,0,3
 1930,0,3
 1935,0,3
 1940,0,4
 1945,0,4
 1950,0,4
 1955,0,4
 1960,0,4
 1965,0,4
 1970,0,4
 1975,0,3
 1980,0,2
 1985,0,2
 1990,0,3
 1995,0,3
 2000,0,4
 2005,0,4
 2010,0,4
 2015,0,3
 2020,0,4
 2025,0,4
 2030,0,4
 2035,0,4
 2040,0,4
 2045,0,3
 2050,0,3
 2055,0,3
 2060,0,3
 2065,0,3
 2070,0,3
 2075,0,3
 2080,0,3
 2085,0,3
 2090,0,3
 2095,0,2
 2100,0,2
 2105,0,1
