source,gentime, athop, hopcount,priority, reachedTime
2,3,2,2,1, 5
1,6,1,1,0, 7
3,7,3,3,1, 10
8,16,1,1,1, 17
9,17,2,2,0, 19
23,28,3,3,1, 31
2,43,2,2,1, 45
1,46,1,1,1, 47
3,47,3,3,0, 50
8,56,1,1,0, 57
9,57,2,2,0, 59
15,61,2,2,1, 63
23,68,3,3,1, 71
25,75,2,2,0, 77
31,76,2,4,0, 80
2,83,2,2,0, 85
1,86,1,1,1, 87
3,87,3,3,0, 90
8,96,1,1,1, 97
6,90,2,8,0, 98
11,94,4,4,1, 98
9,97,2,2,0, 99
16,99,2,2,0, 101
17,99,3,3,0, 102
15,101,2,2,0, 103
23,108,3,3,1, 111
25,115,2,2,0, 117
31,116,2,4,1, 120
2,123,2,2,1, 125
1,126,1,1,0, 127
3,127,3,3,0, 130
5,127,3,9,0, 136
8,136,1,1,0, 137
6,130,2,8,1, 138
11,134,4,4,1, 138
9,137,2,2,1, 139
16,139,2,2,1, 141
17,139,3,3,0, 142
15,141,2,2,1, 143
13,139,4,10,0, 149
20,143,6,6,1, 149
12,140,5,11,1, 151
19,146,5,5,1, 151
23,148,3,3,0, 151
25,155,2,2,1, 157
31,156,2,4,1, 160
28,154,5,9,1, 163
2,163,2,2,0, 165
29,158,4,8,1, 166
1,166,1,1,1, 167
3,167,3,3,1, 170
5,167,3,9,1, 176
8,176,1,1,0, 177
6,170,2,8,0, 178
11,174,4,4,1, 178
9,177,2,2,1, 179
16,179,2,2,1, 181
17,179,3,3,0, 182
15,181,2,2,0, 183
13,179,4,10,1, 189
20,183,6,6,1, 189
22,186,4,4,1, 190
12,180,5,11,0, 191
19,186,5,5,0, 191
23,188,3,3,1, 191
25,195,2,2,0, 197
31,196,2,4,1, 200
28,194,5,9,1, 203
2,203,2,2,1, 205
29,198,4,8,1, 206
1,206,1,1,1, 207
3,207,3,3,1, 210
5,207,3,9,0, 216
8,216,1,1,1, 217
6,210,2,8,1, 218
11,214,4,4,0, 218
9,217,2,2,0, 219
16,219,2,2,1, 221
17,219,3,3,1, 222
15,221,2,2,0, 223
13,219,4,10,1, 229
20,223,6,6,1, 229
22,226,4,4,1, 230
12,220,5,11,0, 231
19,226,5,5,1, 231
23,228,3,3,0, 231
25,235,2,2,1, 237
31,236,2,4,1, 240
28,234,5,9,1, 243
2,243,2,2,0, 245
29,238,4,8,0, 246
1,246,1,1,0, 247
3,247,3,3,0, 250
5,247,3,9,0, 256
8,256,1,1,0, 257
6,250,2,8,1, 258
11,254,4,4,0, 258
9,257,2,2,0, 259
16,259,2,2,1, 261
17,259,3,3,0, 262
15,261,2,2,1, 263
13,259,4,10,1, 269
20,263,6,6,1, 269
22,266,4,4,0, 270
12,260,5,11,1, 271
19,266,5,5,1, 271
23,268,3,3,1, 271
25,275,2,2,0, 277
31,276,2,4,0, 280
28,274,5,9,0, 283
2,283,2,2,1, 285
29,278,4,8,0, 286
1,286,1,1,0, 287
3,287,3,3,0, 290
5,287,3,9,1, 296
8,296,1,1,0, 297
6,290,2,8,0, 298
11,294,4,4,0, 298
9,297,2,2,1, 299
16,299,2,2,0, 301
17,299,3,3,0, 302
15,301,2,2,0, 303
13,299,4,10,1, 309
20,303,6,6,1, 309
22,306,4,4,0, 310
12,300,5,11,1, 311
19,306,5,5,0, 311
23,308,3,3,1, 311
25,315,2,2,1, 317
31,316,2,4,0, 320
28,314,5,9,1, 323
2,323,2,2,1, 325
29,318,4,8,0, 326
1,326,1,1,0, 327
3,327,3,3,1, 330
5,327,3,9,0, 336
8,336,1,1,1, 337
6,330,2,8,1, 338
11,334,4,4,0, 338
9,337,2,2,0, 339
16,339,2,2,1, 341
17,339,3,3,1, 342
15,341,2,2,0, 343
13,339,4,10,1, 349
20,343,6,6,1, 349
22,346,4,4,0, 350
12,340,5,11,1, 351
19,346,5,5,0, 351
23,348,3,3,1, 351
25,355,2,2,1, 357
31,356,2,4,1, 360
28,354,5,9,0, 363
2,363,2,2,0, 365
29,358,4,8,0, 366
1,366,1,1,0, 367
3,367,3,3,0, 370
5,367,3,9,1, 376
8,376,1,1,0, 377
6,370,2,8,1, 378
11,374,4,4,1, 378
9,377,2,2,1, 379
16,379,2,2,1, 381
17,379,3,3,1, 382
15,381,2,2,0, 383
13,379,4,10,0, 389
20,383,6,6,0, 389
22,386,4,4,1, 390
12,380,5,11,0, 391
19,386,5,5,1, 391
23,388,3,3,0, 391
31,396,2,4,0, 400
28,394,5,9,1, 403
2,403,2,2,0, 405
29,398,4,8,1, 406
1,406,1,1,1, 407
3,407,3,3,1, 410
5,407,3,9,1, 416
8,416,1,1,0, 417
6,410,2,8,1, 418
9,417,2,2,1, 419
16,419,2,2,1, 421
17,419,3,3,1, 422
15,421,2,2,0, 423
20,423,6,6,1, 429
22,426,4,4,0, 430
12,420,5,11,1, 431
23,428,3,3,0, 431
25,435,2,2,1, 437
31,436,2,4,1, 440
28,434,5,9,1, 443
29,438,4,8,1, 446
3,447,3,3,1, 450
8,456,1,1,0, 457
9,457,2,2,1, 459
16,459,2,2,0, 461
15,461,2,2,0, 463
13,459,4,10,1, 469
20,463,6,6,1, 469
22,466,4,4,0, 470
23,468,3,3,1, 471
25,475,2,4,0, 479
31,476,2,4,0, 480
2,483,2,2,1, 485
29,478,4,8,1, 486
1,486,1,1,1, 487
8,496,1,1,0, 497
11,494,4,4,1, 498
9,497,2,2,0, 499
16,499,2,2,1, 501
17,499,3,3,1, 502
15,501,2,2,0, 503
13,499,4,10,1, 509
22,506,4,4,1, 510
23,508,3,3,0, 511
25,515,2,2,1, 517
31,516,2,4,1, 520
28,514,5,9,1, 523
8,536,1,1,0, 537
6,530,2,8,1, 538
9,537,2,2,1, 539
16,539,2,2,0, 541
15,541,2,2,0, 543
13,539,4,10,1, 549
20,543,6,6,1, 549
22,546,4,4,0, 550
12,540,5,11,1, 551
23,548,3,3,0, 551
25,555,2,2,1, 557
31,556,2,4,1, 560
2,563,2,2,1, 565
8,576,1,1,0, 577
9,577,2,2,1, 579
6,570,2,10,1, 580
16,579,2,2,1, 581
17,579,3,3,1, 582
15,581,2,2,1, 583
13,579,4,10,1, 589
20,583,6,6,1, 589
22,586,4,4,0, 590
12,580,5,11,1, 591
23,588,3,3,0, 591
25,595,2,4,0, 599
31,596,2,4,0, 600
28,594,5,9,1, 603
2,603,2,2,1, 605
5,607,3,7,1, 614
8,616,1,1,0, 617
11,614,4,4,1, 618
9,617,2,2,0, 619
16,619,2,2,1, 621
15,621,2,2,1, 623
22,626,4,4,0, 630
23,628,3,3,0, 631
25,635,2,4,0, 639
31,636,2,4,0, 640
28,634,5,9,1, 643
1,646,1,1,1, 647
5,647,3,7,1, 654
8,656,1,1,1, 657
9,657,2,2,1, 659
6,650,2,10,1, 660
16,659,2,2,0, 661
15,661,2,2,0, 663
13,659,4,10,1, 669
20,663,6,6,1, 669
22,666,4,4,0, 670
12,660,5,11,1, 671
23,668,3,3,0, 671
25,675,2,2,1, 677
31,676,2,4,0, 680
3,687,3,3,1, 690
5,687,3,7,1, 694
8,696,1,1,1, 697
11,694,4,4,1, 698
9,697,2,2,0, 699
16,699,2,2,0, 701
17,699,3,3,0, 702
15,701,2,2,1, 703
13,699,4,10,1, 709
22,706,4,4,0, 710
12,700,5,11,1, 711
23,708,3,3,1, 711
25,715,2,4,0, 719
31,716,2,4,0, 720
29,718,4,8,1, 726
3,727,3,3,1, 730
8,736,1,1,0, 737
11,734,4,4,1, 738
9,737,2,2,0, 739
16,739,2,2,0, 741
17,739,3,3,1, 742
15,741,2,2,0, 743
20,743,6,6,1, 749
22,746,4,4,1, 750
19,746,5,5,1, 751
23,748,3,3,0, 751
25,755,2,4,0, 759
31,756,2,4,0, 760
28,754,5,9,1, 763
29,758,4,8,1, 766
1,766,1,1,1, 767
5,767,3,7,1, 774
8,776,1,1,1, 777
11,774,4,4,1, 778
9,777,2,2,0, 779
6,770,2,10,1, 780
16,779,2,2,1, 781
17,779,3,3,0, 782
15,781,2,2,0, 783
22,786,4,4,0, 790
19,786,5,5,1, 791
