Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Pri Packet Dropped due to Faulty Node, Low Pri Packet Dropped due to Faulty Node, S/R dead, S/R is state 2, max hop, bufferFull 
5,1,1,1,1,0,0,0,0,0,0,0,0
10,6,3,5,2,3,3,3,0,0,0,0,0
15,8,3,6,2,5,5,4,1,0,0,0,0
20,16,6,10,3,8,8,6,2,0,0,0,0
25,19,7,11,4,11,11,6,5,0,0,0,0
30,24,10,13,6,14,14,7,7,0,0,0,0
35,28,10,15,6,16,16,7,9,0,0,0,0
40,31,12,16,8,18,18,8,10,0,0,0,0
45,32,14,17,9,18,18,8,10,0,0,0,0
50,37,16,19,10,21,21,9,12,0,0,0,0
55,39,16,21,10,23,23,11,12,0,0,0,0
60,47,19,23,11,27,27,12,15,0,0,0,0
65,50,21,26,12,28,28,13,15,0,0,0,0
70,55,26,29,16,29,29,13,16,0,0,0,0
75,59,26,30,16,31,31,14,17,0,0,0,0
80,62,29,31,16,32,32,14,18,0,0,0,0
85,63,31,31,17,32,32,14,18,0,0,0,0
90,68,33,32,18,33,33,14,19,0,0,0,0
95,70,34,34,18,34,34,15,19,0,0,0,0
100,78,39,36,20,36,36,15,21,0,0,0,0
105,81,42,37,21,37,37,16,21,0,0,0,0
110,86,48,39,23,38,38,16,22,0,0,0,0
115,90,49,41,24,40,40,17,23,0,0,0,0
120,93,52,43,26,40,40,17,23,0,0,0,0
125,94,54,44,27,40,40,17,23,0,0,0,0
130,99,56,45,27,41,41,17,24,0,0,0,0
135,101,57,46,27,42,42,17,25,0,0,0,0
140,109,62,50,31,44,44,18,26,0,0,0,0
145,112,65,53,32,44,44,18,26,0,0,0,0
150,117,72,56,37,45,45,19,26,0,0,0,0
155,121,72,58,37,46,46,19,27,0,0,0,0
160,124,76,60,40,47,47,19,28,0,0,0,0
165,125,78,60,41,47,47,19,28,0,0,0,0
170,130,80,63,43,48,48,19,29,0,0,0,0
175,132,81,64,44,49,49,19,30,0,0,0,0
180,140,86,68,47,51,51,20,31,0,0,0,0
185,143,89,70,48,51,51,20,31,0,0,0,0
190,148,96,72,52,52,52,20,32,0,0,0,0
195,152,96,74,52,53,53,21,32,0,0,0,0
200,155,100,76,54,54,54,21,33,0,0,0,0
205,156,102,77,56,54,54,21,33,0,0,0,0
210,161,104,80,58,55,55,21,34,0,0,0,0
215,163,105,80,58,56,56,21,35,0,0,0,0
220,171,110,85,61,58,58,22,36,0,0,0,0
225,174,113,87,63,58,58,22,36,0,0,0,0
230,179,120,91,68,59,59,23,36,0,0,0,0
235,183,120,93,68,60,60,23,37,0,0,0,0
240,186,124,94,71,61,61,23,38,0,0,0,0
245,187,126,94,71,61,61,23,38,0,0,0,0
250,192,128,96,71,62,62,24,38,0,0,0,0
255,194,129,96,71,63,63,24,39,0,0,0,0
260,202,134,101,73,65,65,26,39,0,0,0,0
