
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,1
 140,0,1
 145,0,1
 150,0,1
 155,0,1
 160,0,3
 165,0,3
 170,0,3
 175,0,4
 180,0,4
 185,0,4
 190,0,4
 195,0,4
 200,0,4
 205,0,4
 210,0,5
 215,0,5
 220,0,5
 225,0,5
 230,0,5
 235,0,4
 240,0,5
 245,0,5
 250,0,5
 255,0,5
 260,0,5
 265,0,4
 270,0,5
 275,0,5
 280,0,5
 285,0,5
 290,0,7
 295,0,7
 300,0,7
 305,0,7
 310,0,6
 315,0,6
 320,0,6
 325,0,6
 330,0,6
 335,0,6
 340,0,7
 345,0,7
 350,0,7
 355,0,7
 360,0,7
 365,0,6
 370,0,7
 375,0,6
 380,0,7
 385,0,6
 390,0,6
 395,0,4
 400,0,6
 405,0,6
 410,0,7
 415,0,7
 420,0,7
 425,0,7
 430,0,7
 435,0,7
 440,0,7
 445,0,6
 450,0,6
 455,0,5
 460,0,6
 465,0,6
 470,0,6
 475,0,6
 480,0,5
 485,0,5
 490,0,5
 495,0,5
 500,0,5
 505,0,3
 510,0,3
 515,0,3
 520,0,3
 525,0,4
 530,0,4
 535,0,4
 540,0,4
 545,0,4
 550,0,4
 555,0,5
 560,0,5
 565,0,4
 570,0,4
 575,0,4
 580,0,4
 585,0,3
 590,0,4
 595,0,4
 600,0,4
 605,0,4
 610,0,3
 615,0,4
 620,0,4
 625,0,5
 630,0,4
 635,0,4
 640,0,4
 645,0,4
 650,0,5
 655,0,5
 660,0,4
 665,0,5
 670,0,5
 675,0,5
 680,0,5
 685,0,5
 690,0,4
 695,0,4
 700,0,4
 705,0,4
 710,0,4
 715,0,3
 720,0,3
 725,0,2
 730,0,2
 735,0,2
 740,0,2
 745,0,3
 750,0,3
 755,0,2
 760,0,2
 765,0,2
 770,0,1
 775,0,1
 780,0,1
 785,0,1
 790,0,2
 795,0,2
 800,0,2
 805,0,2
 810,0,2
 815,0,3
 820,0,3
 825,0,4
 830,0,4
 835,0,4
 840,0,4
 845,0,4
 850,0,3
 855,0,3
 860,0,4
 865,0,4
 870,0,4
 875,0,4
 880,0,4
 885,0,4
 890,0,4
 895,0,3
 900,0,3
 905,0,3
 910,0,3
 915,0,2
 920,0,2
 925,0,2
 930,0,2
 935,0,1
 940,0,1
 945,0,1
 950,0,1
 955,0,1
 960,0,1
 965,0,1
 970,0,1
 975,0,1
 980,0,3
 985,0,3
 990,0,3
 995,0,3
 1000,0,3
 1005,0,3
 1010,0,3
 1015,0,3
 1020,0,3
 1025,0,3
 1030,0,3
 1035,0,4
 1040,0,4
 1045,0,4
 1050,0,4
 1055,0,4
 1060,0,5
 1065,0,4
 1070,0,4
 1075,0,4
 1080,0,3
 1085,0,2
 1090,0,2
 1095,0,2
 1100,0,2
 1105,0,2
 1110,0,2
 1115,0,2
 1120,0,2
 1125,0,3
 1130,0,3
 1135,0,3
 1140,0,2
 1145,0,2
 1150,0,2
 1155,0,2
 1160,0,2
 1165,0,2
 1170,0,3
 1175,0,3
 1180,0,3
 1185,0,3
 1190,0,3
 1195,0,3
 1200,0,3
 1205,0,3
 1210,0,3
 1215,0,3
 1220,0,3
 1225,0,4
 1230,0,3
 1235,0,4
 1240,0,4
 1245,0,4
 1250,0,4
 1255,0,4
 1260,0,4
 1265,0,3
 1270,0,3
 1275,0,3
 1280,0,3
 1285,0,3
 1290,0,4
 1295,0,4
 1300,0,4
 1305,0,4
 1310,0,4
 1315,0,4
 1320,0,4
 1325,0,4
 1330,0,4
 1335,0,2
 1340,0,2
 1345,0,3
 1350,0,3
 1355,0,3
 1360,0,3
 1365,0,3
 1370,0,3
 1375,0,4
 1380,0,3
 1385,0,3
 1390,0,2
 1395,0,3
 1400,0,3
 1405,0,4
 1410,0,4
 1415,0,4
 1420,0,4
 1425,0,4
 1430,0,4
 1435,0,5
 1440,0,5
 1445,0,5
 1450,0,4
 1455,0,4
 1460,0,5
 1465,0,5
 1470,0,5
 1475,0,5
 1480,0,4
 1485,0,4
 1490,0,4
 1495,0,4
 1500,0,3
 1505,0,3
 1510,0,3
 1515,0,3
 1520,0,3
 1525,0,3
 1530,0,3
 1535,0,3
 1540,0,2
 1545,0,3
 1550,0,3
 1555,0,3
 1560,0,3
 1565,0,3
 1570,0,3
 1575,0,3
 1580,0,3
 1585,0,3
 1590,0,3
 1595,0,3
 1600,0,3
 1605,0,3
 1610,0,3
 1615,0,2
 1620,0,2
 1625,0,3
 1630,0,3
 1635,0,3
 1640,0,3
 1645,0,3
 1650,0,2
 1655,0,2
 1660,0,3
 1665,0,3
 1670,0,2
 1675,0,2
 1680,0,2
 1685,0,3
 1690,0,3
 1695,0,3
 1700,0,3
 1705,0,3
 1710,0,3
 1715,0,3
 1720,0,3
 1725,0,3
 1730,0,2
 1735,0,3
 1740,0,3
 1745,0,3
 1750,0,3
 1755,0,5
 1760,0,5
 1765,0,5
 1770,0,4
 1775,0,4
 1780,0,4
 1785,0,3
 1790,0,3
 1795,0,3
 1800,0,3
 1805,0,3
 1810,0,4
 1815,0,4
 1820,0,4
 1825,0,4
 1830,0,4
 1835,0,3
 1840,0,3
 1845,0,3
 1850,0,3
 1855,0,2
 1860,0,1
 1865,0,1
 1870,0,1
 1875,0,1
 1880,0,1
 1885,0,1
 1890,0,1
 1895,0,1
 1900,0,3
 1905,0,3
 1910,0,3
 1915,0,2
 1920,0,2
 1925,0,3
 1930,0,3
 1935,0,3
 1940,0,3
 1945,0,3
 1950,0,3
 1955,0,3
 1960,0,3
 1965,0,4
 1970,0,4
 1975,0,4
 1980,0,4
 1985,0,4
 1990,0,4
 1995,0,4
 2000,0,3
 2005,0,2
 2010,0,2
 2015,0,2
 2020,0,2
 2025,0,2
 2030,0,1
 2035,0,1
 2040,0,1
 2045,0,3
 2050,0,3
 2055,0,4
 2060,0,4
 2065,0,4
 2070,0,3
 2075,0,3
 2080,0,3
 2085,0,3
 2090,0,4
 2095,0,5
 2100,0,5
 2105,0,5
