Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Pri Packet Dropped due to Faulty Node, Low Pri Packet Dropped due to Faulty Node, S/R dead, S/R is state 2, max hop, bufferFull 
5,1,1,1,1,0,0,0,0,0,0,0,0
10,7,4,6,3,3,3,3,0,0,0,0,0
15,15,7,9,3,8,8,6,2,0,0,0,0
20,31,12,16,7,19,19,9,10,0,0,0,0
25,50,17,26,10,32,32,16,16,0,0,0,0
30,74,23,36,12,48,48,22,26,0,0,0,0
35,102,29,46,15,73,73,31,42,0,0,0,0
40,133,34,64,18,98,98,45,53,0,0,0,0
45,164,40,81,21,123,123,59,64,0,0,0,0
50,195,46,96,25,148,148,71,77,0,0,0,0
55,226,52,110,29,172,172,81,91,0,0,0,0
60,257,58,125,31,197,197,92,105,0,0,0,0
65,288,68,140,36,209,209,99,110,0,0,0,0
70,319,81,157,42,223,223,105,118,0,0,0,0
75,350,96,173,50,235,235,109,126,0,0,0,0
80,381,110,188,56,251,251,116,135,0,0,0,0
85,412,124,202,62,262,262,119,143,0,0,0,0
90,443,138,213,68,277,277,121,156,0,0,0,0
95,474,149,226,76,292,292,123,169,0,0,0,0
100,505,159,237,80,310,310,126,184,0,0,0,0
105,536,169,250,87,329,329,130,199,0,0,0,0
110,567,175,259,92,350,350,132,218,0,0,0,0
115,598,182,278,99,372,372,140,232,0,0,0,0
120,629,189,292,106,388,388,144,244,0,0,0,0
125,660,198,310,115,406,406,149,257,0,0,0,0
130,691,209,329,126,423,423,156,267,0,0,0,0
135,722,216,347,133,441,439,164,275,0,2,0,0
140,753,221,363,138,467,464,176,288,0,3,0,0
145,784,225,377,142,491,486,187,299,0,5,0,0
150,815,227,385,144,518,511,196,315,0,7,0,0
155,846,229,398,146,543,535,203,332,0,8,0,0
160,877,232,412,149,565,553,211,342,0,12,0,0
165,908,232,427,149,588,573,214,359,0,15,0,0
170,939,232,442,149,608,590,221,369,0,18,0,0
175,970,232,460,149,629,608,228,380,0,21,0,0
180,1001,232,473,149,651,625,232,393,0,26,0,0
185,1032,232,488,149,668,638,237,401,0,30,0,0
