
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,1
 150,0,1
 155,0,1
 160,0,3
 165,0,3
 170,0,3
 175,0,4
 180,0,4
 185,0,4
 190,0,4
 195,0,5
 200,0,5
 205,0,5
 210,0,6
 215,0,6
 220,0,6
 225,0,6
 230,0,6
 235,0,6
 240,0,6
 245,0,6
 250,0,6
 255,0,5
 260,0,5
 265,0,3
 270,0,3
 275,0,4
 280,0,4
 285,0,5
 290,0,7
 295,0,6
 300,0,6
 305,0,7
 310,0,7
 315,0,7
 320,0,7
 325,0,7
 330,0,8
 335,0,8
 340,0,8
 345,0,8
 350,0,9
 355,0,9
 360,0,9
 365,0,9
 370,0,9
 375,0,9
 380,0,8
 385,0,6
 390,0,6
 395,0,5
 400,0,6
 405,0,5
 410,0,6
 415,0,5
 420,0,5
 425,0,5
 430,0,4
 435,0,4
 440,0,4
 445,0,4
 450,0,4
 455,0,3
 460,0,3
 465,0,3
 470,0,3
 475,0,3
 480,0,5
 485,0,5
 490,0,6
 495,0,6
 500,0,6
 505,0,5
 510,0,4
 515,0,4
 520,0,4
 525,0,5
 530,0,5
 535,0,5
 540,0,5
 545,0,5
 550,0,5
 555,0,6
 560,0,6
 565,0,7
 570,0,7
 575,0,7
 580,0,7
 585,0,5
 590,0,6
 595,0,5
 600,0,7
 605,0,6
 610,0,6
 615,0,6
 620,0,6
 625,0,6
 630,0,5
 635,0,5
 640,0,5
 645,0,5
 650,0,5
 655,0,6
 660,0,6
 665,0,6
 670,0,5
 675,0,5
 680,0,5
 685,0,5
 690,0,5
 695,0,4
 700,0,3
 705,0,4
 710,0,3
 715,0,3
 720,0,3
 725,0,3
 730,0,3
 735,0,3
 740,0,5
 745,0,5
 750,0,5
 755,0,5
 760,0,4
 765,0,4
 770,0,4
 775,0,4
 780,0,4
 785,0,4
 790,0,4
 795,0,4
 800,0,4
 805,0,3
 810,0,3
 815,0,3
 820,0,4
 825,0,5
 830,0,5
 835,0,6
 840,0,5
 845,0,4
 850,0,4
 855,0,4
 860,0,4
 865,0,4
 870,0,4
 875,0,3
 880,0,3
 885,0,3
 890,0,3
 895,0,3
 900,0,3
 905,0,3
 910,0,3
 915,0,3
 920,0,3
 925,0,2
 930,0,2
 935,0,2
 940,0,3
 945,0,3
 950,0,3
 955,0,3
 960,0,3
 965,0,4
 970,0,4
 975,0,4
 980,0,5
 985,0,5
 990,0,5
 995,0,5
 1000,0,5
 1005,0,5
 1010,0,5
 1015,0,5
 1020,0,5
 1025,0,5
 1030,0,5
 1035,0,5
 1040,0,4
 1045,0,2
 1050,0,3
 1055,0,5
 1060,0,6
 1065,0,6
 1070,0,5
 1075,0,5
 1080,0,5
 1085,0,6
 1090,0,5
 1095,0,5
 1100,0,5
 1105,0,5
 1110,0,5
 1115,0,5
 1120,0,5
 1125,0,5
 1130,0,5
 1135,0,5
 1140,0,5
 1145,0,5
 1150,0,5
 1155,0,5
 1160,0,3
 1165,0,2
 1170,0,2
 1175,0,3
 1180,0,3
 1185,0,3
 1190,0,2
 1195,0,2
 1200,0,2
 1205,0,2
 1210,0,4
 1215,0,4
 1220,0,4
 1225,0,4
 1230,0,4
 1235,0,5
 1240,0,5
 1245,0,5
 1250,0,5
 1255,0,4
 1260,0,4
 1265,0,4
 1270,0,4
 1275,0,4
 1280,0,3
 1285,0,3
 1290,0,3
 1295,0,4
 1300,0,4
 1305,0,4
 1310,0,3
 1315,0,2
 1320,0,2
 1325,0,2
 1330,0,2
 1335,0,2
 1340,0,3
 1345,0,4
 1350,0,4
 1355,0,4
 1360,0,4
 1365,0,4
 1370,0,5
 1375,0,5
 1380,0,5
 1385,0,5
 1390,0,6
 1395,0,6
 1400,0,5
 1405,0,5
 1410,0,5
 1415,0,5
 1420,0,5
 1425,0,5
 1430,0,5
 1435,0,5
 1440,0,4
 1445,0,3
 1450,0,3
 1455,0,3
 1460,0,4
 1465,0,4
 1470,0,5
 1475,0,4
 1480,0,4
 1485,0,4
 1490,0,4
 1495,0,3
 1500,0,4
 1505,0,4
 1510,0,4
 1515,0,4
 1520,0,4
 1525,0,4
 1530,0,4
 1535,0,5
 1540,0,6
 1545,0,6
 1550,0,6
 1555,0,6
 1560,0,5
 1565,0,4
 1570,0,4
 1575,0,3
 1580,0,3
 1585,0,4
 1590,0,4
 1595,0,4
 1600,0,3
 1605,0,3
 1610,0,3
 1615,0,5
 1620,0,5
 1625,0,5
 1630,0,5
 1635,0,5
 1640,0,4
 1645,0,3
 1650,0,4
 1655,0,4
 1660,0,5
 1665,0,5
 1670,0,5
 1675,0,5
 1680,0,5
 1685,0,6
 1690,0,5
 1695,0,5
 1700,0,6
 1705,0,6
 1710,0,6
 1715,0,6
 1720,0,4
 1725,0,4
 1730,0,4
 1735,0,4
 1740,0,4
 1745,0,5
 1750,0,5
 1755,0,5
 1760,0,4
 1765,0,4
 1770,0,5
 1775,0,5
 1780,0,5
 1785,0,5
 1790,0,4
 1795,0,4
 1800,0,4
 1805,0,3
 1810,0,3
 1815,0,4
 1820,0,5
 1825,0,5
 1830,0,5
 1835,0,5
 1840,0,5
 1845,0,4
 1850,0,4
 1855,0,4
 1860,0,4
 1865,0,3
 1870,0,3
 1875,0,3
 1880,0,3
 1885,0,3
 1890,0,3
 1895,0,4
 1900,0,4
 1905,0,4
 1910,0,4
 1915,0,4
 1920,0,2
 1925,0,2
 1930,0,2
 1935,0,2
 1940,0,2
 1945,0,2
 1950,0,2
 1955,0,2
 1960,0,3
 1965,0,3
 1970,0,3
 1975,0,3
 1980,0,3
 1985,0,3
 1990,0,4
 1995,0,4
 2000,0,3
 2005,0,3
 2010,0,4
 2015,0,4
 2020,0,4
 2025,0,4
 2030,0,4
 2035,0,4
 2040,0,4
 2045,0,4
 2050,0,4
 2055,0,4
 2060,0,4
 2065,0,3
 2070,0,3
 2075,0,3
 2080,0,3
 2085,0,2
 2090,0,2
 2095,0,1
 2100,0,1
 2105,0,1
