
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,1
 135,0,2
 140,0,3
 145,0,3
 150,0,4
 155,0,4
 160,0,4
 165,0,4
 170,0,6
 175,0,7
 180,0,8
 185,0,8
 190,0,8
 195,0,9
 200,0,9
 205,0,9
 210,0,9
 215,0,9
 220,0,9
 225,0,9
 230,0,9
 235,0,8
 240,0,7
 245,0,6
 250,0,7
 255,0,6
 260,0,6
 265,0,7
 270,0,6
 275,0,5
 280,0,5
 285,0,4
 290,0,6
 295,0,6
 300,0,6
 305,0,7
 310,0,7
 315,0,7
 320,0,9
 325,0,10
 330,0,10
 335,0,10
 340,0,10
 345,0,10
 350,0,10
 355,0,10
 360,0,10
 365,0,10
 370,0,10
 375,0,10
 380,0,10
 385,0,11
 390,0,10
 395,0,8
 400,0,9
 405,0,11
 410,0,10
 415,0,10
 420,0,12
 425,0,10
 430,0,9
 435,0,9
 440,0,10
 445,0,10
 450,0,10
 455,0,9
 460,0,9
 465,0,9
 470,0,9
 475,0,10
 480,0,9
 485,0,9
 490,0,8
 495,0,7
 500,0,8
 505,0,10
 510,0,7
 515,0,8
 520,0,9
 525,0,7
 530,0,7
 535,0,8
 540,0,8
 545,0,9
 550,0,9
 555,0,9
 560,0,9
 565,0,10
 570,0,10
 575,0,10
 580,0,10
 585,0,10
 590,0,10
 595,0,10
 600,0,10
 605,0,10
 610,0,9
 615,0,10
 620,0,9
 625,0,9
 630,0,8
 635,0,8
 640,0,7
 645,0,6
 650,0,7
 655,0,9
 660,0,10
 665,0,11
 670,0,10
 675,0,10
 680,0,10
 685,0,10
 690,0,9
 695,0,9
 700,0,9
 705,0,10
 710,0,9
 715,0,9
 720,0,8
 725,0,8
 730,0,8
 735,0,8
 740,0,9
 745,0,9
 750,0,9
 755,0,6
 760,0,6
 765,0,4
 770,0,6
 775,0,7
 780,0,7
 785,0,9
 790,0,9
 795,0,9
 800,0,10
 805,0,10
 810,0,9
 815,0,9
 820,0,9
 825,0,8
 830,0,8
 835,0,9
 840,0,8
 845,0,9
 850,0,9
 855,0,9
 860,0,9
 865,0,9
 870,0,9
 875,0,7
 880,0,6
 885,0,5
 890,0,5
 895,0,6
 900,0,10
 905,0,9
 910,0,9
 915,0,10
 920,0,10
 925,0,10
 930,0,10
 935,0,10
 940,0,9
 945,0,9
 950,0,8
 955,0,9
 960,0,11
 965,0,11
 970,0,11
 975,0,11
 980,0,11
 985,0,12
 990,0,11
 995,0,10
 1000,0,7
 1005,0,7
 1010,0,6
 1015,0,6
 1020,0,5
 1025,0,5
 1030,0,5
 1035,0,5
 1040,0,5
 1045,0,6
 1050,0,6
 1055,0,6
 1060,0,4
 1065,0,4
 1070,0,6
 1075,0,6
 1080,0,6
 1085,0,5
 1090,0,5
 1095,0,5
 1100,0,6
 1105,0,7
 1110,0,7
 1115,0,8
 1120,0,8
 1125,0,8
 1130,0,8
 1135,0,8
 1140,0,8
 1145,0,8
 1150,0,8
 1155,0,7
 1160,0,7
 1165,0,7
 1170,0,7
 1175,0,4
 1180,0,5
 1185,0,7
 1190,0,8
 1195,0,8
 1200,0,8
 1205,0,7
 1210,0,5
 1215,0,5
 1220,0,5
 1225,0,4
 1230,0,4
 1235,0,5
 1240,0,5
 1245,0,5
 1250,0,5
 1255,0,6
 1260,0,6
 1265,0,7
 1270,0,8
 1275,0,8
 1280,0,8
 1285,0,7
 1290,0,4
 1295,0,4
 1300,0,6
 1305,0,7
 1310,0,8
 1315,0,8
 1320,0,8
 1325,0,8
 1330,0,8
 1335,0,7
 1340,0,7
 1345,0,7
 1350,0,7
 1355,0,7
 1360,0,6
 1365,0,6
 1370,0,6
 1375,0,6
 1380,0,5
 1385,0,6
 1390,0,6
 1395,0,6
 1400,0,6
 1405,0,4
 1410,0,4
 1415,0,3
 1420,0,3
 1425,0,3
 1430,0,3
 1435,0,4
 1440,0,4
 1445,0,4
 1450,0,4
 1455,0,4
 1460,0,4
 1465,0,4
 1470,0,4
 1475,0,4
 1480,0,4
 1485,0,4
 1490,0,4
 1495,0,4
 1500,0,4
 1505,0,4
 1510,0,4
 1515,0,4
 1520,0,4
 1525,0,4
 1530,0,4
 1535,0,4
 1540,0,4
 1545,0,4
 1550,0,4
 1555,0,4
 1560,0,5
 1565,0,5
 1570,0,5
 1575,0,5
 1580,0,4
 1585,0,4
 1590,0,5
 1595,0,5
 1600,0,4
 1605,0,4
 1610,0,4
 1615,0,4
 1620,0,4
 1625,0,4
 1630,0,4
 1635,0,4
 1640,0,5
 1645,0,5
 1650,0,4
 1655,0,4
 1660,0,4
 1665,0,3
 1670,0,3
 1675,0,3
 1680,0,4
 1685,0,4
 1690,0,4
 1695,0,3
 1700,0,4
 1705,0,4
 1710,0,5
 1715,0,5
 1720,0,4
 1725,0,4
 1730,0,4
 1735,0,4
 1740,0,4
 1745,0,3
 1750,0,3
 1755,0,4
 1760,0,4
 1765,0,4
 1770,0,4
 1775,0,4
 1780,0,3
 1785,0,3
 1790,0,3
 1795,0,4
 1800,0,4
 1805,0,4
 1810,0,4
 1815,0,4
 1820,0,5
 1825,0,5
 1830,0,5
 1835,0,5
 1840,0,5
 1845,0,5
 1850,0,5
 1855,0,5
 1860,0,4
 1865,0,5
 1870,0,5
 1875,0,5
 1880,0,6
 1885,0,6
 1890,0,6
 1895,0,6
 1900,0,5
 1905,0,5
 1910,0,4
 1915,0,4
 1920,0,4
 1925,0,3
 1930,0,4
 1935,0,4
 1940,0,4
 1945,0,6
 1950,0,7
 1955,0,7
 1960,0,7
 1965,0,6
 1970,0,6
 1975,0,6
 1980,0,6
 1985,0,5
 1990,0,7
 1995,0,7
 2000,0,7
 2005,0,7
 2010,0,7
 2015,0,7
 2020,0,7
 2025,0,6
 2030,0,6
 2035,0,5
 2040,0,6
 2045,0,5
 2050,0,4
 2055,0,4
 2060,0,4
 2065,0,4
 2070,0,4
 2075,0,4
 2080,0,4
 2085,0,5
 2090,0,5
 2095,0,3
 2100,0,4
 2105,0,4
