Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Pri Packet Dropped due to Faulty Node, Low Pri Packet Dropped due to Faulty Node, S/R dead, S/R is state 2, max hop, bufferFull 
5,1,1,1,1,0,0,0,0,0,0,0,0
10,7,4,6,3,3,3,3,0,0,0,0,0
15,15,8,9,4,7,7,5,2,0,0,0,0
20,31,14,16,9,13,13,6,7,0,0,0,0
25,50,24,26,15,22,22,8,14,0,0,0,0
30,74,35,36,19,33,33,13,20,0,0,0,0
35,102,49,46,26,48,48,18,30,0,0,0,0
40,133,64,64,34,63,63,28,35,0,0,0,0
45,164,77,81,37,82,82,41,41,0,0,0,0
50,195,91,96,47,98,98,48,50,0,0,0,0
55,226,106,110,54,116,116,55,61,0,0,0,0
60,257,119,125,59,133,133,63,70,0,0,0,0
65,288,137,140,69,139,139,67,72,0,0,0,0
70,319,163,157,83,143,143,69,74,0,0,0,0
75,350,191,173,96,147,147,71,76,0,0,0,0
80,381,217,188,109,151,151,73,78,0,0,0,0
85,412,241,202,123,159,157,74,83,0,2,0,0
90,443,252,213,134,171,169,76,93,0,2,0,0
95,474,263,226,145,181,179,77,102,0,2,0,0
100,505,273,237,155,203,201,77,124,0,2,0,0
105,536,285,250,167,219,213,78,135,0,6,0,0
110,567,292,259,174,244,229,79,150,0,15,0,0
115,598,305,278,187,254,239,82,157,0,15,0,0
120,629,318,292,200,259,244,82,162,0,15,0,0
125,660,336,310,218,271,252,83,169,0,19,0,0
130,691,347,329,229,288,262,87,175,0,26,0,0
135,722,347,347,229,299,269,89,180,0,30,0,0
140,753,347,363,229,312,278,92,186,0,34,0,0
145,784,347,377,229,324,287,95,192,0,37,0,0
150,815,347,385,229,340,297,96,201,0,43,0,0
155,846,347,398,229,353,306,97,209,0,47,0,0
160,877,347,412,229,370,316,101,215,0,54,0,0
165,908,347,427,229,388,328,101,227,0,60,0,0
170,939,347,442,229,409,335,104,231,0,74,0,0
175,970,347,460,229,430,345,107,238,0,85,0,0
180,1001,347,473,229,448,352,109,243,0,96,0,0
185,1032,347,488,229,464,357,111,246,0,107,0,0
