
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,4
 135,0,4
 140,0,4
 145,0,4
 150,0,5
 155,0,6
 160,0,9
 165,0,10
 170,0,12
 175,0,12
 180,0,12
 185,0,12
 190,0,12
 195,0,12
 200,0,12
 205,0,14
 210,0,15
 215,0,16
 220,0,16
 225,0,16
 230,0,17
 235,0,13
 240,0,14
 245,0,14
 250,0,13
 255,0,13
 260,0,11
 265,0,10
 270,0,7
 275,0,6
 280,0,6
 285,0,6
 290,0,6
 295,0,6
 300,0,7
 305,0,9
 310,0,8
 315,0,9
 320,0,11
 325,0,14
 330,0,15
 335,0,14
 340,0,15
 345,0,15
 350,0,15
 355,0,16
 360,0,17
 365,0,17
 370,0,17
 375,0,17
 380,0,18
 385,0,18
 390,0,18
 395,0,18
 400,0,18
 405,0,16
 410,0,16
 415,0,13
 420,0,14
 425,0,10
 430,0,8
 435,0,8
 440,0,9
 445,0,10
 450,0,9
 455,0,12
 460,0,11
 465,0,12
 470,0,14
 475,0,14
 480,0,15
 485,0,14
 490,0,16
 495,0,16
 500,0,16
 505,0,16
 510,0,16
 515,0,15
 520,0,16
 525,0,17
 530,0,18
 535,0,19
 540,0,18
 545,0,17
 550,0,16
 555,0,16
 560,0,14
 565,0,11
 570,0,13
 575,0,11
 580,0,11
 585,0,10
 590,0,11
 595,0,9
 600,0,10
 605,0,11
 610,0,11
 615,0,11
 620,0,12
 625,0,12
 630,0,12
 635,0,11
 640,0,14
 645,0,16
 650,0,17
 655,0,17
 660,0,17
 665,0,18
 670,0,18
 675,0,16
 680,0,17
 685,0,17
 690,0,17
 695,0,16
 700,0,16
 705,0,15
 710,0,15
 715,0,15
 720,0,16
 725,0,16
 730,0,14
 735,0,13
 740,0,9
 745,0,8
 750,0,6
 755,0,8
 760,0,13
 765,0,16
 770,0,16
 775,0,16
 780,0,15
 785,0,15
 790,0,15
 795,0,17
 800,0,17
 805,0,17
 810,0,17
 815,0,17
 820,0,17
 825,0,16
 830,0,16
 835,0,16
 840,0,16
 845,0,17
 850,0,17
 855,0,17
 860,0,15
 865,0,11
 870,0,7
 875,0,6
 880,0,7
 885,0,8
 890,0,9
 895,0,9
 900,0,10
 905,0,14
 910,0,15
 915,0,16
 920,0,16
 925,0,15
 930,0,15
 935,0,15
 940,0,15
 945,0,16
 950,0,15
 955,0,16
 960,0,14
 965,0,15
 970,0,16
 975,0,16
 980,0,16
 985,0,15
 990,0,14
 995,0,13
 1000,0,13
 1005,0,10
 1010,0,5
 1015,0,7
 1020,0,10
 1025,0,13
 1030,0,13
 1035,0,13
 1040,0,15
 1045,0,14
 1050,0,15
 1055,0,15
 1060,0,15
 1065,0,15
 1070,0,13
 1075,0,13
 1080,0,14
 1085,0,15
 1090,0,15
 1095,0,15
 1100,0,15
 1105,0,15
 1110,0,15
 1115,0,15
 1120,0,11
 1125,0,12
 1130,0,10
 1135,0,11
 1140,0,10
 1145,0,9
 1150,0,9
 1155,0,9
 1160,0,9
 1165,0,10
 1170,0,11
 1175,0,11
 1180,0,11
 1185,0,10
 1190,0,11
 1195,0,12
 1200,0,13
 1205,0,13
 1210,0,15
 1215,0,15
 1220,0,15
 1225,0,15
 1230,0,15
 1235,0,14
 1240,0,11
 1245,0,12
 1250,0,13
 1255,0,13
 1260,0,12
 1265,0,11
 1270,0,10
 1275,0,10
 1280,0,10
 1285,0,10
 1290,0,12
 1295,0,10
 1300,0,8
 1305,0,10
 1310,0,10
 1315,0,9
 1320,0,9
 1325,0,10
 1330,0,11
 1335,0,11
 1340,0,11
 1345,0,12
 1350,0,12
 1355,0,12
 1360,0,12
 1365,0,11
 1370,0,12
 1375,0,12
 1380,0,11
 1385,0,13
 1390,0,13
 1395,0,13
 1400,0,13
 1405,0,13
 1410,0,11
 1415,0,13
 1420,0,13
 1425,0,11
 1430,0,11
 1435,0,11
 1440,0,11
 1445,0,12
 1450,0,11
 1455,0,11
 1460,0,10
 1465,0,10
 1470,0,10
 1475,0,9
 1480,0,11
 1485,0,11
 1490,0,11
 1495,0,10
 1500,0,11
 1505,0,11
 1510,0,12
 1515,0,13
 1520,0,12
 1525,0,11
 1530,0,11
 1535,0,11
 1540,0,11
 1545,0,12
 1550,0,11
 1555,0,11
 1560,0,11
 1565,0,11
 1570,0,11
 1575,0,12
 1580,0,13
 1585,0,11
 1590,0,11
 1595,0,10
 1600,0,12
 1605,0,12
 1610,0,10
 1615,0,11
 1620,0,10
 1625,0,10
 1630,0,11
 1635,0,11
 1640,0,11
 1645,0,10
 1650,0,10
 1655,0,11
 1660,0,12
 1665,0,12
 1670,0,12
 1675,0,14
 1680,0,13
 1685,0,12
 1690,0,11
 1695,0,12
 1700,0,11
 1705,0,10
 1710,0,10
 1715,0,9
 1720,0,11
 1725,0,11
 1730,0,10
 1735,0,11
 1740,0,11
 1745,0,11
 1750,0,11
 1755,0,11
 1760,0,11
 1765,0,9
 1770,0,9
 1775,0,8
 1780,0,7
 1785,0,8
 1790,0,12
 1795,0,14
 1800,0,13
 1805,0,12
 1810,0,12
 1815,0,14
 1820,0,15
 1825,0,13
 1830,0,13
 1835,0,13
 1840,0,13
 1845,0,13
 1850,0,13
 1855,0,12
 1860,0,13
 1865,0,14
 1870,0,14
 1875,0,14
 1880,0,14
 1885,0,13
 1890,0,11
 1895,0,9
 1900,0,7
 1905,0,8
 1910,0,9
 1915,0,9
 1920,0,8
 1925,0,8
 1930,0,8
 1935,0,7
 1940,0,7
 1945,0,7
 1950,0,7
 1955,0,7
 1960,0,8
 1965,0,7
 1970,0,9
 1975,0,9
 1980,0,9
 1985,0,10
 1990,0,10
 1995,0,10
 2000,0,9
 2005,0,9
 2010,0,9
 2015,0,8
 2020,0,7
 2025,0,6
 2030,0,7
 2035,0,7
 2040,0,7
 2045,0,9
 2050,0,9
 2055,0,9
 2060,0,10
 2065,0,9
 2070,0,6
 2075,0,7
 2080,0,9
 2085,0,10
 2090,0,10
 2095,0,9
 2100,0,9
 2105,0,9
