source,gentime, athop, hopcount,priority, reachedTime
2,3,2,2,1, 5
1,6,1,1,0, 7
3,7,3,3,1, 10
8,16,1,1,1, 17
11,14,4,4,0, 18
9,17,2,2,0, 19
16,19,2,2,0, 21
17,19,3,3,1, 22
15,21,2,2,0, 23
2,23,2,2,1, 25
1,26,1,1,0, 27
22,26,4,4,0, 30
3,27,3,3,0, 30
24,29,1,1,0, 30
19,26,5,5,1, 31
23,28,3,3,1, 31
25,35,2,2,1, 37
8,36,1,1,0, 37
11,34,4,4,0, 38
9,37,2,2,1, 39
26,37,3,3,0, 40
16,39,2,2,1, 41
17,39,3,3,0, 42
15,41,2,2,1, 43
2,43,2,2,1, 45
1,46,1,1,0, 47
22,46,4,4,1, 50
3,47,3,3,0, 50
24,49,1,1,0, 50
19,46,5,5,1, 51
23,48,3,3,0, 51
25,55,2,2,0, 57
8,56,1,1,0, 57
11,54,4,4,0, 58
9,57,2,2,1, 59
26,57,3,3,1, 60
16,59,2,2,0, 61
17,59,3,3,0, 62
15,61,2,2,0, 63
2,63,2,2,0, 65
1,66,1,1,0, 67
20,63,6,6,0, 69
22,66,4,4,1, 70
3,67,3,3,1, 70
24,69,1,1,1, 70
19,66,5,5,1, 71
23,68,3,3,0, 71
25,75,2,2,0, 77
8,76,1,1,1, 77
11,74,4,4,0, 78
31,76,2,2,0, 78
9,77,2,2,1, 79
26,77,3,3,0, 80
16,79,2,2,1, 81
17,79,3,3,0, 82
15,81,2,2,1, 83
13,79,4,6,0, 85
12,80,5,5,1, 85
2,83,2,2,1, 85
1,86,1,1,1, 87
20,83,6,6,1, 89
22,86,4,4,0, 90
3,87,3,3,0, 90
24,89,1,1,1, 90
19,86,5,5,0, 91
23,88,3,3,1, 91
25,95,2,2,1, 97
8,96,1,1,0, 97
11,94,4,4,0, 98
31,96,2,2,0, 98
9,97,2,2,1, 99
26,97,3,3,0, 100
16,99,2,2,1, 101
17,99,3,3,0, 102
15,101,2,2,0, 103
13,99,4,6,1, 105
12,100,5,5,0, 105
2,103,2,2,1, 105
1,106,1,1,1, 107
20,103,6,6,0, 109
22,106,4,4,0, 110
3,107,3,3,1, 110
24,109,1,1,1, 110
19,106,5,5,1, 111
23,108,3,3,0, 111
25,115,2,2,0, 117
8,116,1,1,1, 117
11,114,4,4,0, 118
31,116,2,2,0, 118
9,117,2,2,0, 119
26,117,3,3,1, 120
16,119,2,2,1, 121
17,119,3,3,1, 122
15,121,2,2,0, 123
13,119,4,6,1, 125
12,120,5,5,0, 125
2,123,2,2,1, 125
1,126,1,1,1, 127
20,123,6,6,1, 129
22,126,4,4,1, 130
3,127,3,3,0, 130
24,129,1,1,1, 130
19,126,5,5,0, 131
23,128,3,3,1, 131
5,127,3,9,0, 136
25,135,2,2,0, 137
8,136,1,1,1, 137
6,130,2,8,0, 138
11,134,4,4,1, 138
31,136,2,2,0, 138
9,137,2,2,0, 139
26,137,3,3,0, 140
28,134,5,7,0, 141
16,139,2,2,1, 141
17,139,3,3,0, 142
15,141,2,2,1, 143
13,139,4,6,1, 145
12,140,5,5,1, 145
2,143,2,2,0, 145
1,146,1,1,0, 147
20,143,6,6,1, 149
22,146,4,4,1, 150
24,149,1,1,0, 150
19,146,5,5,1, 151
23,148,3,3,0, 151
25,155,2,2,1, 157
8,156,1,1,0, 157
6,150,2,8,1, 158
11,154,4,4,1, 158
31,156,2,2,0, 158
16,159,2,2,0, 161
15,161,2,2,0, 163
13,159,4,6,1, 165
12,160,5,5,1, 165
2,163,2,2,1, 165
1,166,1,1,0, 167
22,166,4,4,0, 170
24,169,1,1,0, 170
19,166,5,5,1, 171
23,168,3,3,1, 171
8,176,1,1,1, 177
6,170,2,8,1, 178
11,174,4,4,1, 178
31,176,2,2,0, 178
26,177,3,3,1, 180
28,174,5,7,1, 181
16,179,2,2,1, 181
17,179,3,3,1, 182
15,181,2,2,0, 183
13,179,4,6,1, 185
12,180,5,5,1, 185
1,186,1,1,0, 187
22,186,4,4,0, 190
3,187,3,3,1, 190
24,189,1,1,1, 190
19,186,5,5,1, 191
23,188,3,3,1, 191
5,187,3,7,1, 194
25,195,2,2,1, 197
8,196,1,1,1, 197
31,196,2,2,0, 198
9,197,2,2,1, 199
16,199,2,2,1, 201
17,199,3,3,1, 202
15,201,2,2,0, 203
1,206,1,1,1, 207
20,203,6,6,1, 209
22,206,4,4,1, 210
3,207,3,3,1, 210
24,209,1,1,0, 210
23,208,3,3,0, 211
25,215,2,2,1, 217
8,216,1,1,1, 217
6,210,2,8,1, 218
11,214,4,4,1, 218
31,216,2,2,0, 218
28,214,5,7,1, 221
16,219,2,2,1, 221
17,219,3,3,1, 222
15,221,2,2,0, 223
12,220,5,5,1, 225
2,223,2,2,1, 225
1,226,1,1,0, 227
22,226,4,4,1, 230
3,227,3,3,1, 230
24,229,1,1,1, 230
23,228,3,3,1, 231
8,236,1,1,0, 237
6,230,2,8,1, 238
31,236,2,2,1, 238
28,234,5,7,1, 241
16,239,2,2,0, 241
15,241,2,2,0, 243
13,239,4,6,1, 245
29,238,4,8,1, 246
1,246,1,1,0, 247
22,246,4,4,1, 250
24,249,1,1,0, 250
19,246,5,5,1, 251
23,248,3,3,0, 251
8,256,1,1,0, 257
31,256,2,2,1, 258
16,259,2,2,1, 261
15,261,2,2,0, 263
22,266,4,4,1, 270
24,269,1,1,1, 270
23,268,3,3,1, 271
8,276,1,1,1, 277
31,276,2,2,1, 278
16,279,2,2,0, 281
15,281,2,2,0, 283
22,286,4,4,1, 290
24,289,1,1,1, 290
23,288,3,3,1, 291
8,296,1,1,1, 297
31,296,2,2,0, 298
16,299,2,2,1, 301
15,301,2,2,1, 303
22,306,4,4,1, 310
24,309,1,1,0, 310
23,308,3,3,0, 311
8,316,1,1,0, 317
31,316,2,2,0, 318
16,319,2,2,1, 321
15,321,2,2,1, 323
22,326,4,4,1, 330
24,329,1,1,0, 330
23,328,3,3,0, 331
8,336,1,1,1, 337
31,336,2,2,1, 338
16,339,2,2,0, 341
15,341,2,2,0, 343
22,346,4,4,0, 350
24,349,1,1,0, 350
23,348,3,3,1, 351
8,356,1,1,0, 357
31,356,2,2,1, 358
28,354,5,7,1, 361
16,359,2,2,0, 361
15,361,2,2,1, 363
13,359,4,6,1, 365
12,360,5,5,1, 365
1,366,1,1,0, 367
22,366,4,4,0, 370
24,369,1,1,0, 370
19,366,5,5,1, 371
23,368,3,3,0, 371
5,367,3,7,1, 374
8,376,1,1,0, 377
31,376,2,2,1, 378
9,377,2,2,1, 379
28,374,5,7,1, 381
16,379,2,2,0, 381
17,379,3,3,1, 382
15,381,2,2,0, 383
2,383,2,2,1, 385
29,378,4,8,1, 386
1,386,1,1,1, 387
20,383,6,6,1, 389
22,386,4,4,1, 390
3,387,3,3,1, 390
24,389,1,1,0, 390
23,388,3,3,0, 391
25,395,2,2,1, 397
8,396,1,1,1, 397
6,390,2,8,1, 398
11,394,4,4,1, 398
31,396,2,2,1, 398
9,397,2,2,1, 399
26,397,3,3,1, 400
16,399,2,2,1, 401
15,401,2,2,0, 403
22,406,4,4,0, 410
24,409,1,1,0, 410
23,408,3,3,1, 411
8,416,1,1,1, 417
31,416,2,2,0, 418
16,419,2,2,0, 421
15,421,2,2,1, 423
22,426,4,4,1, 430
24,429,1,1,1, 430
23,428,3,3,0, 431
8,436,1,1,1, 437
31,436,2,2,1, 438
15,441,2,2,1, 443
22,446,4,4,1, 450
24,449,1,1,0, 450
23,448,3,3,1, 451
8,456,1,1,1, 457
31,456,2,2,1, 458
16,459,2,2,1, 461
24,469,1,1,0, 470
23,468,3,3,1, 471
8,476,1,1,1, 477
31,476,2,2,0, 478
15,481,2,2,1, 483
24,489,1,1,1, 490
8,496,1,1,1, 497
31,496,2,2,1, 498
1,506,1,1,0, 507
22,506,4,4,1, 510
24,509,1,1,1, 510
25,515,2,2,1, 517
8,516,1,1,1, 517
31,516,2,2,0, 518
17,519,3,3,1, 522
1,526,1,1,1, 527
24,529,1,1,0, 530
8,536,1,1,0, 537
31,536,2,2,0, 538
16,539,2,2,1, 541
