Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,3,5,2,3,3,3,0
15,8,3,6,2,4,4,4,0
20,16,7,10,3,8,8,6,2
25,20,10,11,5,10,10,6,4
30,30,16,16,7,14,14,9,5
35,36,16,19,7,18,18,11,7
40,47,22,23,10,24,24,13,11
45,51,25,27,12,26,26,15,11
50,61,31,30,14,30,30,16,14
55,67,31,32,14,34,34,18,16
60,78,37,36,16,40,40,20,20
65,82,40,37,16,41,41,21,20
70,92,47,43,20,45,45,23,22
75,98,47,44,20,49,49,24,25
80,109,54,50,23,52,52,26,26
85,113,59,54,26,53,53,27,26
90,123,66,59,30,57,57,29,28
95,129,66,63,30,61,61,32,29
100,140,73,68,33,64,64,34,30
105,144,78,70,35,65,65,35,30
110,154,85,75,39,69,69,36,33
115,160,85,79,39,73,73,40,33
120,171,92,85,42,76,76,41,35
125,175,97,88,45,77,77,42,35
130,185,104,94,50,79,79,44,35
135,191,105,95,50,82,82,44,38
140,202,114,101,53,85,85,46,39
145,206,119,104,56,86,86,47,39
150,216,125,107,59,89,88,47,41
155,222,125,110,59,93,91,48,43
160,233,131,113,62,100,94,49,45
165,237,135,115,65,101,95,50,45
170,247,140,120,67,105,97,52,45
175,253,140,123,67,110,100,53,47
180,264,147,131,73,114,103,55,48
185,268,151,132,76,116,104,56,48
190,278,157,137,80,119,106,56,50
195,284,158,138,81,122,109,56,53
200,295,163,144,85,128,111,58,53
205,299,165,145,86,133,112,58,54
210,309,171,151,90,136,114,60,54
215,315,171,156,90,140,117,62,55
220,326,178,161,96,144,119,63,56
225,330,182,163,99,147,120,64,56
230,340,187,170,103,151,122,66,56
235,346,187,172,103,157,125,67,58
240,357,192,177,106,162,127,69,58
245,361,195,178,108,165,128,70,58
250,371,200,183,110,169,130,71,59
255,377,200,186,110,175,133,74,59
260,388,203,193,112,182,135,75,60
265,392,204,194,112,188,136,75,61
