Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,4,5,3,2,2,2,0
15,8,4,6,3,3,3,3,0
20,16,8,10,4,4,4,4,0
25,20,14,11,7,5,5,4,1
30,30,22,16,10,8,8,6,2
35,36,22,19,10,11,11,8,3
40,47,29,23,13,14,14,9,5
45,51,35,27,16,15,15,10,5
50,61,43,30,19,18,18,11,7
55,67,43,32,19,21,21,13,8
60,78,50,36,21,24,24,14,10
65,82,56,37,22,24,24,14,10
70,92,65,43,27,25,25,14,11
75,98,68,44,29,27,27,15,12
80,109,76,50,32,28,28,16,12
85,113,83,54,36,28,28,16,12
90,123,92,59,42,29,29,17,12
95,129,95,63,43,31,31,18,13
100,140,103,68,47,32,32,19,13
105,144,110,70,50,32,32,19,13
110,154,119,75,55,33,33,20,13
115,160,122,79,56,35,35,22,13
120,171,130,85,60,36,36,22,14
125,175,136,88,64,37,36,22,14
130,185,143,94,71,41,37,23,14
135,191,145,95,71,44,39,23,16
140,202,149,101,74,49,40,23,17
145,206,154,104,79,50,40,23,17
150,216,161,107,83,54,41,23,18
155,222,163,110,84,56,43,24,19
160,233,168,113,86,61,44,25,19
165,237,174,115,89,61,44,25,19
170,247,181,120,93,65,45,26,19
175,253,183,123,94,68,47,27,20
180,264,189,131,99,70,48,27,21
185,268,195,132,104,71,48,27,21
190,278,202,137,109,74,49,27,22
195,284,205,138,110,77,51,27,24
200,295,210,144,114,80,52,28,24
205,299,215,145,116,83,52,28,24
210,309,222,151,121,86,53,29,24
215,315,224,156,123,88,55,30,25
220,326,230,161,128,91,56,31,25
225,330,235,163,129,94,56,31,25
230,340,238,170,132,101,57,32,25
235,346,240,172,133,105,59,33,26
240,357,243,177,134,110,60,34,26
245,361,246,178,137,115,60,34,26
250,371,248,183,138,122,61,34,27
255,377,250,186,140,127,63,36,27
260,388,253,193,142,131,64,36,28
265,392,256,194,145,136,64,36,28
270,402,259,200,148,142,65,37,28
275,408,260,200,148,148,67,37,30
280,419,262,205,150,154,68,38,30
285,423,264,206,151,159,68,38,30
290,433,267,210,154,165,69,38,31
295,439,268,212,154,170,71,39,32
300,450,271,218,156,176,72,40,32
305,454,274,221,158,180,72,40,32
310,464,276,223,159,187,73,41,32
315,470,277,225,159,193,75,42,33
320,481,280,227,160,198,76,42,34
325,485,282,228,161,203,76,42,34
330,495,286,231,163,208,77,43,34
335,501,287,234,164,212,79,43,36
340,512,292,241,169,216,80,44,36
345,516,296,242,172,219,80,44,36
350,526,300,245,174,224,81,44,37
355,532,303,247,176,227,83,44,39
360,543,309,252,181,231,84,44,40
365,547,313,253,184,234,84,44,40
370,557,316,255,185,239,85,44,41
375,563,318,257,186,244,87,45,42
380,574,321,261,188,249,88,45,43
385,578,323,264,190,254,88,45,43
390,588,326,270,192,261,89,46,43
395,594,328,274,194,265,91,47,44
400,605,333,281,199,268,92,47,45
405,609,335,283,201,273,92,47,45
410,619,338,286,202,280,93,48,45
415,625,339,290,203,284,95,49,46
420,636,342,296,205,289,96,49,47
425,640,347,297,210,293,96,49,47
430,650,350,302,212,299,97,49,48
435,656,352,306,213,302,99,50,49
440,667,356,312,217,309,100,51,49
445,671,359,315,219,311,100,51,49
450,681,363,322,222,317,101,51,50
455,687,365,325,223,321,103,52,51
460,698,370,333,228,325,104,52,52
465,702,372,335,230,329,104,52,52
470,712,375,340,231,336,105,53,52
475,718,377,344,233,340,107,55,52
480,729,381,350,236,345,108,55,53
485,733,383,353,237,350,108,55,53
490,743,384,357,238,358,109,55,54
495,749,385,360,239,363,111,56,55
500,760,386,365,240,371,112,56,56
505,764,387,368,240,376,112,56,56
510,774,388,374,241,385,113,56,57
515,780,389,375,241,391,115,56,59
520,791,390,380,241,399,116,57,59
525,795,391,381,242,404,116,57,59
530,805,392,384,242,412,117,57,60
535,811,393,385,242,418,119,58,61
540,822,394,389,242,426,120,58,62
545,826,395,390,243,431,120,58,62
550,836,396,392,243,439,121,59,62
555,842,397,396,243,444,123,61,62
560,853,398,401,244,452,124,61,63
565,857,399,402,244,458,124,61,63
570,867,400,407,244,466,125,61,64
575,873,401,410,245,472,127,61,66
580,884,402,417,245,479,128,62,66
585,888,403,418,246,485,128,62,66
590,898,407,422,249,490,129,62,67
595,904,408,425,250,496,131,63,68
600,915,411,431,252,501,132,64,68
605,919,414,433,255,505,132,64,68
610,929,416,437,256,512,133,64,69
615,935,417,440,257,517,135,65,70
620,946,421,446,261,522,136,66,70
625,950,424,448,264,526,136,66,70
630,960,427,454,266,532,137,66,71
635,966,429,458,268,537,139,68,71
640,977,432,461,270,542,140,68,72
645,981,433,462,270,548,140,68,72
650,991,436,467,272,554,141,69,72
655,997,437,471,272,559,143,71,72
660,1008,442,478,276,563,144,72,72
665,1012,444,479,278,568,144,72,72
670,1022,446,483,280,575,145,72,73
675,1028,446,486,280,580,147,73,74
680,1039,452,492,285,583,148,73,75
685,1043,456,494,289,586,148,73,75
690,1053,461,497,292,591,149,74,75
695,1059,461,501,292,595,151,75,76
700,1070,468,509,299,599,152,76,76
705,1074,472,511,303,601,152,76,76
710,1084,478,515,307,604,153,76,77
715,1090,479,515,308,611,155,76,79
720,1101,480,520,309,619,156,77,79
725,1105,482,523,311,623,156,77,79
730,1115,483,527,311,631,157,78,79
735,1121,485,533,313,634,159,80,79
740,1132,487,539,314,643,160,81,79
745,1136,489,543,316,646,160,81,79
750,1146,492,548,318,653,161,82,79
755,1152,492,551,318,658,163,83,80
760,1163,493,556,318,667,164,84,80
765,1167,496,560,321,670,164,84,80
770,1177,497,565,321,679,165,84,81
775,1183,498,567,322,685,167,85,82
780,1194,498,571,322,696,168,86,82
785,1198,498,573,322,700,168,86,82
790,1208,499,579,322,708,169,87,82
795,1214,499,581,322,714,171,87,84
800,1225,499,585,322,725,172,87,85
805,1229,499,587,322,730,172,87,85
810,1239,500,593,323,738,173,87,86
815,1245,500,594,323,744,175,87,88
820,1256,501,598,324,754,176,88,88
825,1260,501,600,324,759,176,88,88
830,1270,503,607,325,766,177,89,88
835,1276,504,609,326,771,179,89,90
840,1287,505,615,327,780,180,89,91
845,1291,506,616,328,785,180,89,91
850,1301,508,619,328,792,181,89,92
855,1307,509,622,329,797,183,89,94
860,1318,511,627,331,804,184,89,95
865,1322,513,628,333,808,184,89,95
