Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,5,5,4,0,0,0,0
15,8,7,6,6,0,0,0,0
20,16,11,10,7,1,1,1,0
25,19,16,11,9,2,2,2,0
30,25,22,13,10,2,2,2,0
35,34,29,18,14,2,2,2,0
40,39,35,21,17,2,2,2,0
45,47,40,23,20,3,3,2,1
50,50,45,26,22,4,4,3,1
55,56,51,29,26,4,4,3,1
60,65,58,32,28,4,4,3,1
65,70,64,34,29,4,4,3,1
70,78,69,36,32,5,5,3,2
75,81,74,37,33,5,5,3,2
80,87,81,40,37,5,5,3,2
85,96,88,44,40,5,5,3,2
90,101,94,46,42,5,5,3,2
95,109,99,50,45,6,6,4,2
100,112,104,53,47,6,6,4,2
105,118,111,56,51,6,6,4,2
110,127,118,61,56,6,6,4,2
115,132,124,64,59,6,6,4,2
120,140,129,68,62,7,7,5,2
125,143,134,70,63,7,7,5,2
130,149,141,73,68,7,7,5,2
135,158,148,78,71,7,7,5,2
140,163,154,80,75,7,7,5,2
145,171,157,85,77,10,8,6,2
150,174,161,87,79,11,8,6,2
155,180,167,91,84,12,8,6,2
160,189,173,95,88,13,8,6,2
165,194,178,96,90,14,8,6,2
170,202,181,101,91,18,9,7,2
175,205,185,103,95,19,9,7,2
180,211,191,106,99,19,9,7,2
185,220,196,109,100,21,9,7,2
190,225,201,110,103,22,9,7,2
195,233,205,113,104,25,10,7,3
200,236,209,115,106,25,10,7,3
205,242,215,117,109,26,10,7,3
210,251,222,122,113,26,10,7,3
215,256,228,124,117,27,10,7,3
220,264,231,131,119,29,11,8,3
225,267,236,132,123,30,11,8,3
230,273,241,134,126,31,11,8,3
235,282,246,137,129,34,11,8,3
240,287,250,140,131,35,11,8,3
245,295,255,144,134,36,12,8,4
250,298,259,144,136,38,12,8,4
255,304,263,149,140,40,12,8,4
260,313,268,154,143,43,12,8,4
265,318,271,157,146,46,12,8,4
270,326,274,161,147,49,13,8,5
275,329,277,163,147,51,13,8,5
280,335,280,166,149,54,13,8,5
285,344,283,171,152,59,13,8,5
290,349,286,173,153,62,13,8,5
295,357,289,177,154,65,14,9,5
300,360,292,178,156,67,14,9,5
305,366,295,181,157,70,14,9,5
310,375,298,186,159,75,14,9,5
315,380,301,188,160,77,14,9,5
320,388,304,193,162,81,15,10,5
325,391,306,194,164,85,15,10,5
330,397,309,197,166,87,15,10,5
335,406,312,200,168,93,15,10,5
340,411,315,202,168,95,15,10,5
345,419,317,205,169,100,16,10,6
350,422,318,206,170,103,16,10,6
355,428,320,208,172,108,16,10,6
360,437,322,212,173,113,16,10,6
365,442,325,213,173,116,16,10,6
370,450,329,218,175,118,17,10,7
375,453,333,221,179,118,17,10,7
380,459,337,222,182,122,17,10,7
385,468,341,224,183,125,17,10,7
390,473,345,226,185,126,17,10,7
395,481,349,227,187,130,18,10,8
400,484,350,228,188,134,18,10,8
405,490,352,230,189,137,18,10,8
410,499,357,233,191,140,18,10,8
415,504,362,236,195,141,18,10,8
420,512,365,241,198,144,19,10,9
425,515,368,242,201,146,19,10,9
430,521,369,242,201,152,19,10,9
435,530,372,245,202,157,19,10,9
440,535,375,249,204,159,19,10,9
445,543,377,252,206,164,20,10,10
450,546,379,253,208,167,20,10,10
455,552,380,254,208,172,20,10,10
460,561,383,256,210,177,20,10,10
465,566,386,259,211,179,20,10,10
470,574,388,261,212,183,21,11,10
475,577,389,263,213,187,21,11,10
480,583,392,268,216,190,21,11,10
485,592,396,273,218,194,21,11,10
490,597,400,277,221,196,21,11,10
495,605,403,281,224,199,22,12,10
