Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,5,5,4,0,0,0,0
15,8,7,6,6,0,0,0,0
20,16,11,10,7,1,1,1,0
25,19,16,11,9,2,2,2,0
30,24,21,13,10,3,3,3,0
35,28,23,15,10,3,3,3,0
40,31,27,16,13,3,3,3,0
45,32,29,17,14,3,3,3,0
50,37,33,19,16,3,3,3,0
55,39,35,21,17,3,3,3,0
60,47,39,23,19,4,4,3,1
65,50,44,26,21,4,4,3,1
70,55,50,29,26,5,5,3,2
75,59,52,30,26,5,5,3,2
80,62,56,31,27,5,5,3,2
85,63,58,31,28,5,5,3,2
90,68,62,32,29,5,5,3,2
95,70,64,34,30,5,5,3,2
100,78,68,36,32,6,6,3,3
105,81,73,37,33,6,6,3,3
110,86,79,39,36,7,7,3,4
115,90,81,41,38,7,7,3,4
120,93,85,43,40,7,7,3,4
125,94,87,44,41,7,7,3,4
130,99,91,45,41,7,7,3,4
135,101,93,46,42,7,7,3,4
140,109,97,50,45,8,8,4,4
145,112,102,53,47,8,8,4,4
150,117,108,56,51,9,9,5,4
155,121,110,58,51,9,9,5,4
160,124,114,60,54,9,9,5,4
165,125,116,60,55,9,9,5,4
170,130,120,63,58,9,9,5,4
175,132,122,64,58,9,9,5,4
180,140,126,68,61,10,10,6,4
185,143,131,70,62,10,10,6,4
190,148,137,72,66,11,11,6,5
195,152,139,74,67,11,11,6,5
200,155,143,76,69,11,11,6,5
205,156,145,77,71,11,11,6,5
210,161,149,80,73,11,11,6,5
215,163,151,80,74,11,11,6,5
220,171,155,85,76,12,12,7,5
225,174,160,87,78,12,12,7,5
230,179,166,91,83,13,13,8,5
235,183,168,93,83,13,13,8,5
240,186,171,94,86,14,13,8,5
245,187,172,94,86,15,13,8,5
250,192,175,96,87,16,13,8,5
255,194,177,96,88,16,13,8,5
260,202,179,101,89,20,14,9,5
265,205,183,103,93,21,14,9,5
270,210,188,106,97,22,15,9,6
275,214,189,106,97,24,15,9,6
280,217,191,107,98,25,15,9,6
285,218,193,108,99,25,15,9,6
290,223,196,110,101,26,15,9,6
295,225,198,110,101,26,15,9,6
300,233,201,113,102,29,16,9,7
305,236,205,115,104,29,16,9,7
310,241,210,117,107,31,17,10,7
315,245,211,119,107,32,17,10,7
320,248,215,120,110,32,17,10,7
325,249,217,121,111,32,17,10,7
330,254,221,124,113,32,17,10,7
335,256,223,124,114,32,17,10,7
340,264,225,131,116,35,18,11,7
345,267,230,132,120,36,18,11,7
350,272,234,133,122,38,19,11,8
355,276,236,136,124,38,19,11,8
360,279,238,137,126,40,19,11,8
365,280,239,137,126,41,19,11,8
370,285,241,139,127,43,19,11,8
375,287,243,140,128,43,19,11,8
380,295,247,144,131,44,20,11,9
385,298,251,144,133,46,20,11,9
390,303,255,148,136,48,21,12,9
395,307,257,150,137,49,21,12,9
400,310,260,152,139,49,21,12,9
405,311,261,152,140,50,21,12,9
410,316,265,157,144,50,21,12,9
415,318,267,157,145,51,21,12,9
420,326,270,161,147,52,22,12,10
425,329,275,163,149,52,22,12,10
430,334,280,165,152,54,23,13,10
435,338,282,168,153,54,23,13,10
440,341,286,171,157,54,23,13,10
445,342,287,171,158,55,23,13,10
450,347,290,172,159,56,23,13,10
455,349,292,173,160,57,23,13,10
460,357,295,177,161,59,24,14,10
465,360,298,178,163,61,24,14,10
470,365,302,181,166,63,25,15,10
475,369,303,182,167,65,25,15,10
480,372,305,184,168,66,25,15,10
485,373,307,185,170,66,25,15,10
490,378,309,186,171,68,25,15,10
495,380,311,188,172,68,25,15,10
