source,gentime, athop, hopcount,priority, reachedTime
2,3,2,2,1, 5
1,6,1,1,0, 7
4,6,4,4,1, 10
3,7,3,3,1, 10
5,7,3,3,1, 10
6,10,2,2,1, 12
7,12,1,1,1, 13
8,16,1,1,1, 17
11,14,4,4,0, 18
9,17,2,2,0, 19
16,19,2,2,0, 21
14,19,3,3,0, 22
17,19,3,3,1, 22
13,19,4,4,0, 23
15,21,2,2,0, 23
12,20,5,5,1, 25
20,23,6,6,0, 29
22,26,4,4,0, 30
24,29,1,1,0, 30
19,26,5,5,0, 31
23,28,3,3,1, 31
21,27,5,5,1, 32
27,32,4,4,0, 36
30,33,3,3,0, 36
25,35,2,2,1, 37
31,36,2,2,0, 38
28,34,5,5,1, 39
26,37,3,3,1, 40
29,38,4,4,0, 42
2,43,2,2,1, 45
1,46,1,1,1, 47
4,46,4,4,0, 50
3,47,3,3,0, 50
5,47,3,3,1, 50
6,50,2,2,0, 52
7,52,1,1,1, 53
8,56,1,1,0, 57
11,54,4,4,1, 58
9,57,2,2,0, 59
16,59,2,2,1, 61
14,59,3,3,0, 62
17,59,3,3,0, 62
13,59,4,4,0, 63
15,61,2,2,1, 63
12,60,5,5,1, 65
18,63,4,4,1, 67
20,63,6,6,1, 69
22,66,4,4,0, 70
24,69,1,1,1, 70
19,66,5,5,1, 71
23,68,3,3,1, 71
21,67,5,5,0, 72
27,72,4,4,0, 76
30,73,3,3,0, 76
25,75,2,2,0, 77
31,76,2,2,0, 78
28,74,5,5,1, 79
26,77,3,3,0, 80
29,78,4,4,1, 82
2,83,2,2,0, 85
1,86,1,1,1, 87
4,86,4,4,0, 90
3,87,3,3,0, 90
5,87,3,3,0, 90
6,90,2,2,0, 92
7,92,1,1,1, 93
8,96,1,1,1, 97
11,94,4,4,1, 98
9,97,2,2,0, 99
16,99,2,2,0, 101
14,99,3,3,0, 102
17,99,3,3,0, 102
13,99,4,4,1, 103
15,101,2,2,0, 103
12,100,5,5,0, 105
18,103,4,4,0, 107
20,103,6,6,1, 109
22,106,4,4,0, 110
24,109,1,1,1, 110
19,106,5,5,0, 111
23,108,3,3,1, 111
21,107,5,5,0, 112
27,112,4,4,1, 116
30,113,3,3,1, 116
25,115,2,2,0, 117
31,116,2,2,1, 118
28,114,5,5,0, 119
26,117,3,3,1, 120
29,118,4,4,0, 122
2,123,2,2,1, 125
1,126,1,1,0, 127
4,126,4,4,0, 130
3,127,3,3,0, 130
5,127,3,3,0, 130
6,130,2,2,1, 132
7,132,1,1,0, 133
8,136,1,1,0, 137
11,134,4,4,1, 138
9,137,2,2,1, 139
16,139,2,2,1, 141
14,139,3,3,0, 142
17,139,3,3,0, 142
13,139,4,4,0, 143
15,141,2,2,1, 143
12,140,5,5,1, 145
18,143,4,4,1, 147
20,143,6,6,1, 149
22,146,4,4,1, 150
24,149,1,1,0, 150
19,146,5,5,1, 151
23,148,3,3,0, 151
21,147,5,5,1, 152
27,152,4,4,0, 156
30,153,3,3,0, 156
25,155,2,2,1, 157
31,156,2,2,1, 158
28,154,5,5,1, 159
26,157,3,3,0, 160
29,158,4,4,1, 162
2,163,2,2,0, 165
1,166,1,1,1, 167
4,166,4,4,0, 170
3,167,3,3,1, 170
5,167,3,3,1, 170
6,170,2,2,0, 172
7,172,1,1,0, 173
8,176,1,1,0, 177
11,174,4,4,1, 178
9,177,2,2,1, 179
16,179,2,2,1, 181
14,179,3,3,0, 182
17,179,3,3,0, 182
13,179,4,4,1, 183
15,181,2,2,0, 183
12,180,5,5,0, 185
18,183,4,4,1, 187
20,183,6,6,1, 189
22,186,4,4,1, 190
24,189,1,1,0, 190
19,186,5,5,0, 191
23,188,3,3,1, 191
21,187,5,5,0, 192
27,192,4,4,1, 196
30,193,3,3,0, 196
25,195,2,2,0, 197
31,196,2,2,1, 198
28,194,5,5,1, 199
26,197,3,3,0, 200
29,198,4,4,1, 202
2,203,2,2,1, 205
1,206,1,1,1, 207
4,206,4,4,0, 210
3,207,3,3,1, 210
5,207,3,3,0, 210
6,210,2,2,1, 212
7,212,1,1,0, 213
8,216,1,1,1, 217
11,214,4,4,0, 218
9,217,2,2,0, 219
16,219,2,2,1, 221
14,219,3,3,0, 222
17,219,3,3,1, 222
13,219,4,4,1, 223
15,221,2,2,0, 223
12,220,5,5,0, 225
18,223,4,4,1, 227
20,223,6,6,1, 229
22,226,4,4,1, 230
24,229,1,1,1, 230
19,226,5,5,1, 231
23,228,3,3,0, 231
21,227,5,5,1, 232
27,232,4,4,0, 236
30,233,3,3,0, 236
25,235,2,2,1, 237
31,236,2,2,1, 238
28,234,5,5,1, 239
29,238,4,4,0, 242
1,246,1,1,0, 247
4,246,4,4,1, 250
5,247,3,3,0, 250
6,250,2,2,1, 252
7,252,1,1,0, 253
8,256,1,1,0, 257
16,259,2,2,1, 261
14,259,3,3,1, 262
13,259,4,4,1, 263
15,261,2,2,1, 263
12,260,5,5,1, 265
20,263,6,6,1, 269
22,266,4,4,0, 270
24,269,1,1,1, 270
19,266,5,5,1, 271
23,268,3,3,1, 271
21,267,5,5,0, 272
30,273,3,3,0, 276
31,276,2,2,0, 278
26,277,3,3,1, 280
29,278,4,4,0, 282
2,283,2,2,1, 285
1,286,1,1,0, 287
4,286,4,4,1, 290
5,287,3,3,1, 290
6,290,2,2,0, 292
7,292,1,1,0, 293
8,296,1,1,0, 297
9,297,2,2,1, 299
16,299,2,2,0, 301
14,299,3,3,0, 302
13,299,4,4,1, 303
15,301,2,2,0, 303
12,300,5,5,1, 305
18,303,4,4,1, 307
20,303,6,6,1, 309
22,306,4,4,0, 310
24,309,1,1,0, 310
23,308,3,3,1, 311
21,307,5,5,1, 312
30,313,3,3,0, 316
25,315,2,2,1, 317
31,316,2,2,0, 318
28,314,5,5,1, 319
26,317,3,3,1, 320
29,318,4,4,0, 322
2,323,2,2,1, 325
1,326,1,1,0, 327
4,326,4,4,1, 330
3,327,3,3,1, 330
5,327,3,3,0, 330
6,330,2,2,1, 332
7,332,1,1,0, 333
8,336,1,1,1, 337
16,339,2,2,1, 341
14,339,3,3,1, 342
17,339,3,3,1, 342
13,339,4,4,1, 343
15,341,2,2,0, 343
12,340,5,5,1, 345
20,343,6,6,1, 349
22,346,4,4,0, 350
24,349,1,1,0, 350
23,348,3,3,1, 351
21,347,5,5,0, 352
27,352,4,4,1, 356
30,353,3,3,1, 356
25,355,2,2,1, 357
31,356,2,2,1, 358
29,358,4,4,0, 362
1,366,1,1,0, 367
5,367,3,3,1, 370
6,370,2,2,1, 372
7,372,1,1,0, 373
8,376,1,1,0, 377
11,374,4,4,1, 378
9,377,2,2,1, 379
16,379,2,2,1, 381
14,379,3,3,1, 382
17,379,3,3,1, 382
13,379,4,4,0, 383
15,381,2,2,0, 383
22,386,4,4,1, 390
24,389,1,1,1, 390
19,386,5,5,1, 391
23,388,3,3,0, 391
21,387,5,5,1, 392
27,392,4,4,1, 396
30,393,3,3,0, 396
31,396,2,2,0, 398
28,394,5,5,1, 399
26,397,3,3,1, 400
29,398,4,4,1, 402
1,406,1,1,1, 407
4,406,4,4,1, 410
3,407,3,3,1, 410
5,407,3,3,1, 410
6,410,2,2,1, 412
7,412,1,1,0, 413
8,416,1,1,0, 417
9,417,2,2,1, 419
16,419,2,2,1, 421
14,419,3,3,0, 422
17,419,3,3,1, 422
13,419,4,4,0, 423
15,421,2,2,0, 423
12,420,5,5,1, 425
18,423,4,4,1, 427
20,423,6,6,1, 429
22,426,4,4,0, 430
24,429,1,1,1, 430
23,428,3,3,0, 431
21,427,5,5,1, 432
27,432,4,4,1, 436
30,433,3,3,0, 436
25,435,2,2,1, 437
31,436,2,2,1, 438
28,434,5,5,1, 439
26,437,3,3,1, 440
29,438,4,4,1, 442
1,446,1,1,0, 447
3,447,3,3,1, 450
5,447,3,3,0, 450
6,450,2,2,0, 452
7,452,1,1,1, 453
8,456,1,1,0, 457
9,457,2,2,1, 459
16,459,2,2,0, 461
14,459,3,3,1, 462
13,459,4,4,1, 463
15,461,2,2,0, 463
20,463,6,6,1, 469
22,466,4,4,0, 470
