Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,5,5,4,0,0,0,0
15,8,7,6,6,0,0,0,0
20,16,11,10,7,1,1,1,0
25,19,16,11,9,2,2,2,0
30,24,21,13,10,2,2,2,0
35,28,24,15,11,2,2,2,0
40,31,28,16,14,2,2,2,0
45,32,30,17,15,2,2,2,0
50,37,34,19,17,2,2,2,0
55,39,36,21,18,2,2,2,0
60,47,40,23,20,3,3,2,1
65,50,45,26,22,3,3,2,1
70,55,51,29,27,3,3,2,1
75,59,54,30,27,3,3,2,1
80,62,58,31,28,3,3,2,1
85,63,60,31,29,3,3,2,1
90,68,64,32,30,3,3,2,1
95,70,66,34,31,3,3,2,1
100,78,70,36,33,4,4,2,2
105,81,75,37,34,4,4,2,2
110,86,81,39,37,4,4,2,2
115,90,84,41,39,4,4,2,2
120,93,88,43,41,4,4,2,2
125,94,90,44,42,4,4,2,2
130,99,94,45,42,4,4,2,2
135,101,96,46,43,4,4,2,2
140,109,100,50,46,5,5,3,2
145,112,105,53,48,5,5,3,2
150,117,111,56,52,5,5,3,2
155,121,114,58,53,5,5,3,2
160,124,118,60,56,5,5,3,2
165,125,120,60,57,5,5,3,2
170,130,124,63,60,5,5,3,2
175,132,126,64,60,5,5,3,2
180,140,130,68,63,6,6,4,2
185,143,135,70,64,6,6,4,2
190,148,141,72,68,6,6,4,2
195,152,144,74,69,6,6,4,2
200,155,148,76,71,6,6,4,2
205,156,150,77,73,6,6,4,2
210,161,154,80,75,6,6,4,2
215,163,156,80,76,6,6,4,2
220,171,160,85,78,7,7,5,2
225,174,165,87,80,7,7,5,2
230,179,171,91,85,7,7,5,2
235,183,174,93,86,7,7,5,2
240,186,177,94,89,8,7,5,2
245,187,178,94,89,9,7,5,2
250,192,181,96,90,10,7,5,2
255,194,183,96,91,10,7,5,2
260,202,185,101,92,14,8,6,2
265,205,189,103,96,15,8,6,2
270,210,194,106,100,15,8,6,2
275,214,196,106,100,17,8,6,2
280,217,198,107,101,18,8,6,2
285,218,200,108,102,18,8,6,2
290,223,203,110,104,19,8,6,2
295,225,205,110,104,19,8,6,2
300,233,208,113,105,22,9,6,3
305,236,212,115,107,22,9,6,3
310,241,217,117,110,23,9,6,3
315,245,219,119,111,24,9,6,3
320,248,223,120,114,24,9,6,3
325,249,225,121,115,24,9,6,3
330,254,229,124,117,24,9,6,3
335,256,231,124,118,24,9,6,3
340,264,233,131,120,27,10,7,3
345,267,238,132,124,28,10,7,3
350,272,242,133,126,29,10,7,3
355,276,245,136,128,29,10,7,3
360,279,247,137,130,31,10,7,3
365,280,248,137,130,32,10,7,3
370,285,250,139,131,34,10,7,3
375,287,252,140,132,34,10,7,3
380,295,256,144,135,35,11,7,4
385,298,260,144,137,37,11,7,4
390,303,264,148,140,38,11,7,4
395,307,267,150,142,39,11,7,4
400,310,270,152,144,39,11,7,4
405,311,271,152,145,40,11,7,4
410,316,275,157,149,40,11,7,4
415,318,277,157,150,41,11,7,4
420,326,280,161,152,42,12,7,5
425,329,285,163,154,42,12,7,5
430,334,290,165,157,43,12,7,5
435,338,293,168,159,43,12,7,5
440,341,297,171,163,43,12,7,5
445,342,298,171,164,44,12,7,5
450,347,301,172,165,45,12,7,5
455,349,303,173,166,46,12,7,5
460,357,306,177,167,48,13,8,5
465,360,309,178,169,50,13,8,5
470,365,313,181,172,51,13,8,5
475,369,315,182,174,53,13,8,5
480,372,317,184,175,54,13,8,5
485,373,319,185,177,54,13,8,5
490,378,321,186,178,56,13,8,5
495,380,323,188,179,56,13,8,5
