Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,7,4,6,3,3,3,3,0
15,15,7,9,3,7,7,6,1
20,31,14,16,8,15,15,8,7
25,50,23,26,12,25,25,13,12
30,74,35,36,18,37,37,17,20
35,102,47,46,22,52,52,24,28
40,133,60,64,27,70,70,35,35
45,164,73,81,32,88,88,46,42
50,195,86,96,42,106,106,54,52
55,226,99,110,49,124,124,61,63
60,257,112,125,53,142,142,70,72
65,288,121,140,60,163,157,79,78
70,319,131,157,68,183,172,86,86
75,350,142,173,76,203,187,94,93
80,381,152,188,83,225,202,102,100
85,412,163,202,92,245,217,109,108
90,443,171,213,98,269,232,114,118
95,474,181,226,105,290,247,118,129
100,505,187,237,109,315,262,123,139
105,536,190,250,112,344,277,129,148
110,567,191,259,113,373,292,133,159
115,598,194,278,115,400,307,144,163
120,629,197,292,117,429,322,150,172
125,660,201,310,121,455,333,156,177
130,691,204,329,124,482,344,163,181
135,722,207,347,127,510,355,170,185
140,753,211,363,131,538,366,176,190
145,784,214,377,133,568,377,183,194
150,815,216,385,134,597,388,187,201
155,846,218,398,136,626,399,190,209
160,877,222,412,139,653,410,196,214
165,908,225,427,142,682,421,200,221
170,939,225,442,142,712,432,207,225
175,970,225,460,142,744,443,214,229
180,1001,225,473,142,775,454,218,236
185,1032,225,488,142,806,464,223,241
190,1063,225,505,142,836,474,226,248
195,1094,225,518,142,867,484,228,256
200,1125,225,536,142,899,494,235,259
205,1156,225,552,142,930,504,238,266
210,1187,227,569,144,959,514,245,269
215,1218,228,583,145,988,524,250,274
220,1249,230,596,146,1016,534,254,280
225,1280,233,612,149,1044,544,261,283
230,1311,237,624,152,1073,554,265,289
235,1342,238,635,152,1103,564,271,293
240,1373,241,653,154,1131,574,278,296
245,1404,243,668,155,1159,584,281,303
250,1435,245,684,157,1188,594,290,304
255,1466,248,699,159,1217,604,296,308
260,1497,248,713,159,1248,614,302,312
265,1528,248,730,159,1279,624,309,315
270,1559,248,744,159,1309,634,315,319
275,1590,249,756,160,1340,644,319,325
280,1621,250,772,161,1370,654,325,329
285,1652,251,786,161,1399,664,330,334
290,1683,253,806,163,1428,674,336,338
295,1714,254,819,163,1459,684,341,343
300,1745,255,833,164,1489,694,347,347
305,1776,257,845,165,1519,704,351,353
310,1807,258,859,165,1546,714,355,359
315,1838,259,875,165,1576,724,361,363
320,1869,260,891,165,1606,734,367,367
325,1900,261,905,166,1638,744,370,374
330,1931,263,927,168,1667,754,377,377
335,1962,264,942,169,1697,764,385,379
340,1993,266,954,171,1727,774,390,384
345,2024,267,967,172,1756,784,392,392
350,2055,269,986,174,1785,794,398,396
355,2086,270,1001,175,1815,804,403,401
360,2117,272,1017,177,1844,814,409,405
365,2148,276,1033,180,1869,824,414,410
370,2179,282,1049,184,1895,834,421,413
375,2210,286,1065,186,1923,844,429,415
380,2241,291,1080,190,1948,854,431,423
385,2272,296,1097,194,1974,864,436,428
390,2303,299,1111,197,2003,874,438,436
395,2334,300,1123,198,2034,884,441,443
400,2365,301,1139,198,2062,894,446,448
405,2396,304,1157,200,2091,904,453,451
410,2427,304,1175,200,2123,914,460,454
