
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,1
 100,0,1
 105,0,1
 110,0,1
 115,0,1
 120,0,1
 125,0,1
 130,0,2
 135,0,2
 140,0,2
 145,0,3
 150,0,3
 155,0,3
 160,0,3
 165,0,4
 170,0,4
 175,0,4
 180,0,5
 185,0,5
 190,0,5
 195,0,6
 200,0,6
 205,0,5
 210,0,5
 215,0,5
 220,0,5
 225,0,5
 230,0,5
 235,0,4
 240,0,4
 245,0,5
 250,0,4
 255,0,4
 260,0,4
 265,0,3
 270,0,3
 275,0,3
 280,0,3
 285,0,4
 290,0,3
 295,0,3
 300,0,2
 305,0,2
 310,0,4
 315,0,5
 320,0,5
 325,0,6
 330,0,6
 335,0,6
 340,0,6
 345,0,6
 350,0,5
 355,0,5
 360,0,5
 365,0,6
 370,0,6
 375,0,6
 380,0,6
 385,0,7
 390,0,7
 395,0,8
 400,0,8
 405,0,8
 410,0,8
 415,0,6
 420,0,6
 425,0,5
 430,0,4
 435,0,4
 440,0,5
 445,0,5
 450,0,6
 455,0,7
 460,0,7
 465,0,7
 470,0,8
 475,0,8
 480,0,9
 485,0,10
 490,0,9
 495,0,9
 500,0,8
 505,0,8
 510,0,8
 515,0,8
 520,0,8
 525,0,8
 530,0,8
 535,0,9
 540,0,8
 545,0,8
 550,0,8
 555,0,7
 560,0,6
 565,0,7
 570,0,6
 575,0,5
 580,0,5
 585,0,4
 590,0,4
 595,0,5
 600,0,5
 605,0,5
 610,0,6
 615,0,6
 620,0,7
 625,0,7
 630,0,7
 635,0,8
 640,0,8
 645,0,8
 650,0,8
 655,0,8
 660,0,8
 665,0,10
 670,0,10
 675,0,10
 680,0,10
 685,0,10
 690,0,10
 695,0,10
 700,0,10
 705,0,8
 710,0,8
 715,0,8
 720,0,6
 725,0,6
 730,0,6
 735,0,6
 740,0,5
 745,0,7
 750,0,6
 755,0,7
 760,0,7
 765,0,5
 770,0,6
 775,0,6
 780,0,5
 785,0,6
 790,0,6
 795,0,6
 800,0,6
 805,0,6
 810,0,6
 815,0,6
 820,0,7
 825,0,7
 830,0,7
 835,0,7
 840,0,8
 845,0,11
 850,0,9
 855,0,9
 860,0,9
 865,0,9
 870,0,10
 875,0,9
 880,0,9
 885,0,8
 890,0,7
 895,0,7
 900,0,7
 905,0,7
 910,0,7
 915,0,8
 920,0,7
 925,0,7
 930,0,7
 935,0,7
 940,0,6
 945,0,5
 950,0,3
 955,0,3
 960,0,2
 965,0,7
 970,0,7
 975,0,6
 980,0,6
 985,0,6
 990,0,7
 995,0,7
 1000,0,7
 1005,0,7
 1010,0,8
 1015,0,8
 1020,0,7
 1025,0,9
 1030,0,10
 1035,0,11
 1040,0,11
 1045,0,11
 1050,0,11
 1055,0,11
 1060,0,11
 1065,0,7
 1070,0,6
 1075,0,6
 1080,0,6
 1085,0,7
 1090,0,7
 1095,0,8
 1100,0,8
 1105,0,8
 1110,0,8
 1115,0,7
 1120,0,7
 1125,0,5
 1130,0,4
 1135,0,4
 1140,0,4
 1145,0,5
 1150,0,5
 1155,0,6
 1160,0,6
 1165,0,6
 1170,0,6
 1175,0,6
 1180,0,8
 1185,0,8
 1190,0,8
 1195,0,8
 1200,0,7
 1205,0,7
 1210,0,7
 1215,0,8
 1220,0,8
 1225,0,9
 1230,0,10
 1235,0,10
 1240,0,10
 1245,0,8
 1250,0,8
 1255,0,8
 1260,0,7
 1265,0,10
 1270,0,10
 1275,0,10
 1280,0,10
 1285,0,8
 1290,0,7
 1295,0,7
 1300,0,7
 1305,0,7
 1310,0,7
 1315,0,6
 1320,0,6
 1325,0,6
 1330,0,5
 1335,0,5
 1340,0,5
 1345,0,6
 1350,0,6
 1355,0,7
 1360,0,7
 1365,0,5
 1370,0,5
 1375,0,5
 1380,0,5
 1385,0,7
 1390,0,7
 1395,0,7
 1400,0,7
 1405,0,8
 1410,0,9
 1415,0,9
 1420,0,9
 1425,0,8
 1430,0,8
 1435,0,9
 1440,0,9
 1445,0,11
 1450,0,10
 1455,0,10
 1460,0,10
 1465,0,9
 1470,0,9
 1475,0,8
 1480,0,8
 1485,0,7
 1490,0,7
 1495,0,7
 1500,0,7
 1505,0,8
 1510,0,6
 1515,0,6
 1520,0,7
 1525,0,7
 1530,0,7
 1535,0,8
 1540,0,8
 1545,0,5
 1550,0,4
 1555,0,5
 1560,0,5
 1565,0,8
 1570,0,8
 1575,0,8
 1580,0,8
 1585,0,8
 1590,0,8
 1595,0,9
 1600,0,8
 1605,0,7
 1610,0,7
 1615,0,7
 1620,0,7
 1625,0,9
 1630,0,10
 1635,0,9
 1640,0,9
 1645,0,9
 1650,0,9
 1655,0,9
 1660,0,9
 1665,0,8
 1670,0,7
 1675,0,6
 1680,0,7
 1685,0,7
 1690,0,7
 1695,0,7
 1700,0,7
 1705,0,6
 1710,0,7
 1715,0,7
 1720,0,7
 1725,0,5
 1730,0,4
 1735,0,4
 1740,0,4
 1745,0,6
 1750,0,8
 1755,0,8
 1760,0,8
 1765,0,8
 1770,0,8
 1775,0,8
 1780,0,8
 1785,0,8
 1790,0,9
 1795,0,9
 1800,0,9
 1805,0,10
 1810,0,10
 1815,0,9
 1820,0,9
 1825,0,9
 1830,0,9
 1835,0,10
 1840,0,10
 1845,0,9
 1850,0,8
 1855,0,7
 1860,0,6
 1865,0,6
 1870,0,6
 1875,0,7
 1880,0,7
 1885,0,8
 1890,0,8
 1895,0,7
 1900,0,8
 1905,0,7
 1910,0,7
 1915,0,8
 1920,0,8
 1925,0,9
 1930,0,9
 1935,0,9
 1940,0,8
 1945,0,8
 1950,0,9
 1955,0,9
 1960,0,10
 1965,0,9
 1970,0,10
 1975,0,10
 1980,0,9
 1985,0,11
 1990,0,10
 1995,0,9
 2000,0,9
 2005,0,8
 2010,0,8
 2015,0,8
 2020,0,8
 2025,0,6
 2030,0,7
 2035,0,7
 2040,0,6
 2045,0,8
 2050,0,8
 2055,0,8
 2060,0,8
 2065,0,7
 2070,0,8
 2075,0,7
 2080,0,7
 2085,0,5
 2090,0,7
 2095,0,7
 2100,0,7
 2105,0,7
