Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,7,4,6,3,3,3,3,0
15,15,7,9,3,7,7,6,1
20,31,14,16,8,15,15,8,7
25,50,23,26,12,25,25,13,12
30,74,36,36,18,36,36,17,19
35,102,49,46,22,50,50,24,26
40,133,64,64,29,66,66,33,33
45,164,79,81,34,82,82,44,38
50,195,94,96,45,98,98,51,47
55,226,109,110,53,114,114,57,57
60,257,122,125,58,132,130,65,65
65,288,134,140,67,146,137,70,67
70,319,152,157,80,159,144,74,70
75,350,170,173,91,172,151,76,75
80,381,187,188,103,186,158,80,78
85,412,206,202,115,200,165,83,82
90,443,219,213,124,218,172,86,86
95,474,230,226,129,238,179,87,92
100,505,238,237,132,261,186,89,97
105,536,247,250,139,284,193,90,103
110,567,254,259,142,307,200,91,109
115,598,263,278,147,328,207,97,110
120,629,272,292,152,351,214,100,114
125,660,280,310,159,375,220,102,118
130,691,288,329,167,399,226,106,120
135,722,295,347,174,422,232,110,122
140,753,301,363,179,447,238,114,124
145,784,309,377,186,472,244,117,127
150,815,316,385,191,497,250,119,131
155,846,320,398,195,523,256,121,135
160,877,326,412,199,550,262,126,136
165,908,332,427,204,571,268,128,140
170,939,337,442,209,600,274,133,141
175,970,340,460,211,627,280,138,142
180,1001,342,473,212,657,286,140,146
185,1032,342,488,212,688,292,143,149
190,1063,342,505,212,719,298,145,153
195,1094,342,518,212,750,304,146,158
200,1125,344,536,214,778,310,151,159
205,1156,348,552,218,806,316,154,162
210,1187,352,569,222,835,322,160,162
215,1218,353,583,223,864,328,162,166
220,1249,355,596,224,892,334,164,170
225,1280,359,612,228,918,340,168,172
230,1311,365,624,233,946,346,170,176
235,1342,365,635,233,977,352,174,178
240,1373,365,653,233,1008,358,178,180
245,1404,365,668,233,1039,364,180,184
250,1435,365,684,233,1070,370,185,185
255,1466,365,699,233,1101,376,188,188
260,1497,365,713,233,1132,382,192,190
265,1528,365,730,233,1163,388,197,191
270,1559,365,744,233,1194,394,201,193
275,1590,366,756,234,1224,400,204,196
280,1621,367,772,235,1254,406,207,199
285,1652,368,786,236,1284,412,210,202
290,1683,369,806,237,1314,418,212,206
295,1714,372,819,238,1342,424,216,208
300,1745,374,833,240,1371,430,219,211
305,1776,379,845,243,1397,436,222,214
310,1807,383,859,246,1423,442,224,218
315,1838,387,875,249,1449,448,227,221
320,1869,392,891,252,1473,454,230,224
325,1900,399,905,258,1500,460,231,229
330,1931,402,927,261,1528,466,235,231
335,1962,403,942,262,1558,472,240,232
340,1993,406,954,264,1586,478,244,234
345,2024,410,967,267,1613,484,245,239
350,2055,414,986,271,1640,490,248,242
355,2086,417,1001,273,1667,496,252,244
360,2117,422,1017,278,1694,502,255,247
365,2148,426,1033,281,1720,508,257,251
370,2179,431,1049,284,1747,514,262,252
375,2210,435,1065,286,1774,520,267,253
380,2241,440,1080,290,1801,526,268,258
385,2272,440,1097,290,1832,532,273,259
390,2303,440,1111,290,1863,538,274,264
395,2334,440,1123,290,1894,544,275,269
400,2365,440,1139,290,1925,550,278,272
405,2396,440,1157,290,1956,556,282,274
410,2427,440,1175,290,1987,562,286,276
