
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,1
 75,0,1
 80,0,1
 85,0,2
 90,0,2
 95,0,2
 100,0,2
 105,0,2
 110,0,2
 115,0,3
 120,0,4
 125,0,4
 130,0,4
 135,0,4
 140,0,5
 145,0,5
 150,0,5
 155,0,5
 160,0,5
 165,0,5
 170,0,4
 175,0,4
 180,0,4
 185,0,3
 190,0,3
 195,0,4
 200,0,4
 205,0,4
 210,0,4
 215,0,5
 220,0,5
 225,0,5
 230,0,5
 235,0,5
 240,0,6
 245,0,5
 250,0,5
 255,0,5
 260,0,5
 265,0,6
 270,0,7
 275,0,8
 280,0,8
 285,0,9
 290,0,9
 295,0,9
 300,0,8
 305,0,8
 310,0,8
 315,0,8
 320,0,7
 325,0,5
 330,0,6
 335,0,6
 340,0,5
 345,0,6
 350,0,6
 355,0,6
 360,0,6
 365,0,7
 370,0,6
 375,0,6
 380,0,7
 385,0,6
 390,0,5
 395,0,5
 400,0,6
 405,0,6
 410,0,6
 415,0,7
 420,0,7
 425,0,8
 430,0,8
 435,0,8
 440,0,10
 445,0,11
 450,0,10
 455,0,11
 460,0,12
 465,0,12
 470,0,11
 475,0,11
 480,0,12
 485,0,12
 490,0,11
 495,0,11
 500,0,12
 505,0,11
 510,0,11
 515,0,12
 520,0,11
 525,0,12
 530,0,11
 535,0,11
 540,0,10
 545,0,9
 550,0,9
 555,0,9
 560,0,10
 565,0,9
 570,0,10
 575,0,10
 580,0,10
 585,0,8
 590,0,8
 595,0,8
 600,0,8
 605,0,8
 610,0,8
 615,0,8
 620,0,9
 625,0,9
 630,0,8
 635,0,8
 640,0,9
 645,0,8
 650,0,8
 655,0,8
 660,0,7
 665,0,10
 670,0,11
 675,0,10
 680,0,10
 685,0,11
 690,0,11
 695,0,11
 700,0,13
 705,0,12
 710,0,12
 715,0,12
 720,0,11
 725,0,11
 730,0,11
 735,0,11
 740,0,11
 745,0,11
 750,0,11
 755,0,11
 760,0,11
 765,0,7
 770,0,7
 775,0,7
 780,0,7
 785,0,7
 790,0,8
 795,0,8
 800,0,7
 805,0,7
 810,0,7
 815,0,7
 820,0,7
 825,0,7
 830,0,8
 835,0,8
 840,0,8
 845,0,11
 850,0,11
 855,0,10
 860,0,11
 865,0,12
 870,0,14
 875,0,14
 880,0,13
 885,0,13
 890,0,10
 895,0,11
 900,0,11
 905,0,12
 910,0,11
 915,0,11
 920,0,11
 925,0,11
 930,0,10
 935,0,9
 940,0,9
 945,0,8
 950,0,6
 955,0,7
 960,0,7
 965,0,10
 970,0,8
 975,0,7
 980,0,7
 985,0,8
 990,0,8
 995,0,8
 1000,0,8
 1005,0,7
 1010,0,7
 1015,0,8
 1020,0,9
 1025,0,10
 1030,0,10
 1035,0,10
 1040,0,10
 1045,0,10
 1050,0,10
 1055,0,10
 1060,0,12
 1065,0,7
 1070,0,7
 1075,0,8
 1080,0,9
 1085,0,9
 1090,0,9
 1095,0,10
 1100,0,11
 1105,0,10
 1110,0,10
 1115,0,10
 1120,0,10
 1125,0,10
 1130,0,11
 1135,0,10
 1140,0,10
 1145,0,12
 1150,0,12
 1155,0,13
 1160,0,13
 1165,0,12
 1170,0,11
 1175,0,11
 1180,0,10
 1185,0,8
 1190,0,8
 1195,0,8
 1200,0,8
 1205,0,8
 1210,0,8
 1215,0,8
 1220,0,9
 1225,0,9
 1230,0,9
 1235,0,7
 1240,0,7
 1245,0,5
 1250,0,6
 1255,0,6
 1260,0,9
 1265,0,10
 1270,0,11
 1275,0,12
 1280,0,12
 1285,0,12
 1290,0,12
 1295,0,12
 1300,0,12
 1305,0,13
 1310,0,13
 1315,0,12
 1320,0,12
 1325,0,11
 1330,0,10
 1335,0,10
 1340,0,10
 1345,0,10
 1350,0,10
 1355,0,11
 1360,0,10
 1365,0,8
 1370,0,7
 1375,0,6
 1380,0,5
 1385,0,6
 1390,0,7
 1395,0,9
 1400,0,9
 1405,0,8
 1410,0,7
 1415,0,7
 1420,0,7
 1425,0,8
 1430,0,8
 1435,0,8
 1440,0,8
 1445,0,8
 1450,0,9
 1455,0,9
 1460,0,9
 1465,0,11
 1470,0,9
 1475,0,9
 1480,0,10
 1485,0,10
 1490,0,10
 1495,0,9
 1500,0,9
 1505,0,9
 1510,0,9
 1515,0,9
 1520,0,10
 1525,0,11
 1530,0,11
 1535,0,11
 1540,0,11
 1545,0,12
 1550,0,13
 1555,0,12
 1560,0,12
 1565,0,13
 1570,0,12
 1575,0,11
 1580,0,11
 1585,0,11
 1590,0,12
 1595,0,11
 1600,0,10
 1605,0,9
 1610,0,9
 1615,0,10
 1620,0,10
 1625,0,9
 1630,0,8
 1635,0,8
 1640,0,7
 1645,0,8
 1650,0,8
 1655,0,8
 1660,0,8
 1665,0,7
 1670,0,6
 1675,0,6
 1680,0,6
 1685,0,9
 1690,0,10
 1695,0,10
 1700,0,10
 1705,0,10
 1710,0,10
 1715,0,10
 1720,0,10
 1725,0,10
 1730,0,10
 1735,0,12
 1740,0,13
 1745,0,12
 1750,0,13
 1755,0,12
 1760,0,11
 1765,0,11
 1770,0,11
 1775,0,11
 1780,0,12
 1785,0,11
 1790,0,9
 1795,0,9
 1800,0,9
 1805,0,8
 1810,0,8
 1815,0,8
 1820,0,8
 1825,0,7
 1830,0,7
 1835,0,7
 1840,0,6
 1845,0,5
 1850,0,6
 1855,0,6
 1860,0,6
 1865,0,9
 1870,0,9
 1875,0,10
 1880,0,10
 1885,0,9
 1890,0,9
 1895,0,9
 1900,0,9
 1905,0,8
 1910,0,8
 1915,0,9
 1920,0,9
 1925,0,10
 1930,0,10
 1935,0,12
 1940,0,13
 1945,0,13
 1950,0,12
 1955,0,11
 1960,0,10
 1965,0,9
 1970,0,10
 1975,0,8
 1980,0,8
 1985,0,9
 1990,0,9
 1995,0,9
 2000,0,8
 2005,0,8
 2010,0,8
 2015,0,8
 2020,0,8
 2025,0,6
 2030,0,6
 2035,0,7
 2040,0,5
 2045,0,6
 2050,0,6
 2055,0,7
 2060,0,8
 2065,0,9
 2070,0,7
 2075,0,7
 2080,0,8
 2085,0,8
 2090,0,9
 2095,0,10
 2100,0,10
 2105,0,11
