Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,5,5,4,0,0,0,0
15,8,7,6,6,0,0,0,0
20,17,12,10,9,1,1,0,1
25,25,21,13,12,2,2,1,1
30,32,28,17,16,2,2,1,1
35,45,36,22,19,3,3,1,2
40,56,49,29,26,4,4,1,3
45,63,57,31,29,4,4,1,3
50,76,65,36,32,5,5,1,4
55,87,78,40,36,6,6,1,5
60,94,86,44,42,6,6,1,5
65,107,94,49,44,7,7,2,5
70,118,107,56,53,7,7,2,5
75,125,114,60,56,9,7,2,5
80,138,121,68,62,11,8,2,6
85,149,132,73,69,14,8,2,6
90,156,139,77,73,15,8,2,6
95,169,145,84,77,18,9,3,6
100,180,156,91,86,20,9,3,6
105,187,163,94,90,23,9,3,6
110,200,168,100,92,26,10,4,6
115,211,180,106,100,28,10,4,6
120,218,187,108,104,30,10,4,6
125,231,192,112,106,35,11,4,7
130,242,197,117,109,43,11,4,7
135,249,203,121,115,45,11,4,7
140,262,206,129,117,50,12,5,7
145,273,213,134,123,58,12,5,7
150,280,218,137,127,60,12,5,7
155,293,222,143,129,68,13,6,7
160,304,227,149,134,73,13,6,7
165,311,234,152,139,76,13,6,7
170,324,238,159,143,81,14,7,7
175,335,244,166,147,88,14,7,7
180,342,252,171,153,88,14,7,7
185,355,255,177,156,97,15,7,8
190,366,256,181,157,108,15,7,8
195,373,259,185,160,113,15,7,8
200,386,259,192,160,122,16,7,9
205,397,263,197,164,133,16,7,9
210,404,265,200,165,139,16,7,9
215,417,266,204,166,150,17,8,9
220,428,267,208,167,160,17,8,9
225,435,269,211,169,166,17,8,9
230,448,271,216,171,175,18,9,9
235,459,274,222,174,183,18,9,9
240,466,277,224,177,189,18,9,9
245,479,277,227,177,201,19,9,10
250,490,279,230,178,210,19,9,10
255,497,283,231,180,214,19,9,10
260,510,286,240,183,223,20,10,10
265,521,288,242,184,233,20,10,10
270,528,289,245,184,239,20,10,10
275,541,291,251,185,248,21,10,11
280,552,294,254,187,257,21,10,11
285,559,294,256,187,265,21,10,11
290,572,295,260,187,277,22,10,12
295,583,296,268,188,287,22,10,12
300,590,296,271,188,294,22,10,12
305,603,298,281,190,304,23,11,12
310,614,300,283,192,314,23,11,12
315,621,302,287,194,319,23,11,12
320,634,303,295,195,330,24,12,12
325,645,305,299,197,340,24,12,12
330,652,305,303,197,346,24,12,12
335,665,309,312,200,355,25,13,12
340,676,311,319,202,365,25,13,12
345,683,311,323,202,372,25,13,12
350,696,313,332,203,381,26,14,12
355,707,315,336,205,391,26,14,12
360,714,315,342,205,398,26,14,12
365,727,315,348,205,412,27,15,12
370,738,316,356,206,422,27,15,12
375,745,317,358,206,428,27,15,12
380,758,317,363,206,441,28,16,12
385,769,318,372,207,450,28,16,12
390,776,321,374,208,455,28,16,12
395,789,322,379,209,467,29,17,12
400,800,323,382,210,477,29,17,12
405,807,325,385,211,482,29,17,12
410,820,325,389,211,494,30,17,13
415,831,326,391,212,505,30,17,13
420,838,328,394,213,510,30,17,13
425,851,328,400,213,522,30,17,13
430,862,329,407,214,533,30,17,13
435,869,330,407,214,539,30,17,13
440,882,330,416,214,551,30,17,13
445,893,331,419,215,562,30,17,13
450,900,332,423,216,568,30,17,13
455,913,332,431,216,581,30,17,13
460,924,332,436,216,592,30,17,13
465,931,333,438,216,598,30,17,13
470,944,334,445,217,608,31,18,13
475,955,338,451,221,616,31,18,13
480,962,341,456,224,620,31,18,13
485,975,342,460,225,633,32,18,14
490,986,343,465,225,642,32,18,14
495,993,345,469,227,648,32,18,14
