
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,0
 150,0,0
 155,0,0
 160,0,0
 165,0,0
 170,0,0
 175,0,0
 180,0,0
 185,0,6
 190,0,6
 195,0,6
 200,0,6
 205,0,6
 210,0,6
 215,0,6
 220,0,6
 225,0,6
 230,0,6
 235,0,6
 240,0,6
 245,0,7
 250,0,7
 255,0,7
 260,0,7
 265,0,7
 270,0,7
 275,0,7
 280,0,7
 285,0,5
 290,0,5
 295,0,5
 300,0,5
 305,0,14
 310,0,16
 315,0,16
 320,0,16
 325,0,16
 330,0,16
 335,0,16
 340,0,16
 345,0,12
 350,0,12
 355,0,11
 360,0,11
 365,0,16
 370,0,17
 375,0,17
 380,0,17
 385,0,17
 390,0,17
 395,0,17
 400,0,17
 405,0,11
 410,0,10
 415,0,10
 420,0,10
 425,0,12
 430,0,12
 435,0,12
 440,0,12
 445,0,12
 450,0,13
 455,0,15
 460,0,15
 465,0,11
 470,0,11
 475,0,11
 480,0,11
 485,0,24
 490,0,24
 495,0,24
 500,0,24
 505,0,24
 510,0,24
 515,0,24
 520,0,24
 525,0,20
 530,0,20
 535,0,20
 540,0,20
 545,0,18
 550,0,18
 555,0,18
 560,0,18
 565,0,18
 570,0,18
 575,0,18
 580,0,18
 585,0,4
 590,0,4
 595,0,3
 600,0,2
 605,0,25
 610,0,25
 615,0,25
 620,0,25
 625,0,25
 630,0,25
 635,0,25
 640,0,25
 645,0,25
 650,0,25
 655,0,25
 660,0,24
 665,0,23
 670,0,23
 675,0,23
 680,0,23
 685,0,23
 690,0,23
 695,0,23
 700,0,23
 705,0,7
 710,0,6
 715,0,5
 720,0,5
 725,0,11
 730,0,12
 735,0,13
 740,0,13
 745,0,13
 750,0,14
 755,0,16
 760,0,16
 765,0,15
 770,0,15
 775,0,15
 780,0,15
 785,0,16
 790,0,16
 795,0,16
 800,0,16
 805,0,16
 810,0,16
 815,0,16
 820,0,17
 825,0,8
 830,0,8
 835,0,7
 840,0,6
 845,0,18
 850,0,17
 855,0,16
 860,0,17
 865,0,17
 870,0,18
 875,0,18
 880,0,18
 885,0,17
 890,0,18
 895,0,18
 900,0,18
 905,0,19
 910,0,19
 915,0,19
 920,0,21
 925,0,23
 930,0,23
 935,0,23
 940,0,23
 945,0,17
 950,0,17
 955,0,17
 960,0,16
 965,0,15
 970,0,14
 975,0,14
 980,0,16
 985,0,17
 990,0,17
 995,0,17
 1000,0,17
 1005,0,12
 1010,0,12
 1015,0,12
 1020,0,11
 1025,0,15
 1030,0,17
 1035,0,17
 1040,0,17
 1045,0,17
 1050,0,17
 1055,0,17
 1060,0,17
 1065,0,14
 1070,0,14
 1075,0,15
 1080,0,15
 1085,0,14
 1090,0,16
 1095,0,16
 1100,0,16
 1105,0,16
 1110,0,16
 1115,0,16
 1120,0,16
 1125,0,13
 1130,0,13
 1135,0,12
 1140,0,12
 1145,0,16
 1150,0,16
 1155,0,16
 1160,0,16
 1165,0,16
 1170,0,16
 1175,0,17
 1180,0,18
 1185,0,10
 1190,0,8
 1195,0,7
 1200,0,7
 1205,0,15
 1210,0,19
 1215,0,19
 1220,0,19
 1225,0,19
 1230,0,21
 1235,0,21
 1240,0,21
 1245,0,19
 1250,0,19
 1255,0,19
 1260,0,19
 1265,0,18
 1270,0,19
 1275,0,19
 1280,0,19
 1285,0,19
 1290,0,19
 1295,0,19
 1300,0,19
 1305,0,13
 1310,0,11
 1315,0,11
 1320,0,11
 1325,0,13
 1330,0,14
 1335,0,14
 1340,0,17
 1345,0,21
 1350,0,21
 1355,0,21
 1360,0,23
 1365,0,18
 1370,0,17
 1375,0,17
 1380,0,17
 1385,0,17
 1390,0,17
 1395,0,17
 1400,0,17
 1405,0,17
 1410,0,17
 1415,0,17
 1420,0,17
 1425,0,13
 1430,0,13
 1435,0,12
 1440,0,11
 1445,0,15
 1450,0,16
 1455,0,16
 1460,0,18
 1465,0,18
 1470,0,18
 1475,0,19
 1480,0,19
 1485,0,18
 1490,0,17
 1495,0,17
 1500,0,18
 1505,0,13
 1510,0,14
 1515,0,15
 1520,0,16
 1525,0,16
 1530,0,16
 1535,0,16
 1540,0,19
 1545,0,11
 1550,0,9
 1555,0,9
 1560,0,9
 1565,0,16
 1570,0,16
 1575,0,16
 1580,0,17
 1585,0,19
 1590,0,19
 1595,0,19
 1600,0,19
 1605,0,18
 1610,0,18
 1615,0,17
 1620,0,17
 1625,0,17
 1630,0,18
 1635,0,18
 1640,0,18
 1645,0,18
 1650,0,19
 1655,0,19
 1660,0,19
 1665,0,11
 1670,0,10
 1675,0,10
 1680,0,10
 1685,0,13
 1690,0,16
 1695,0,16
 1700,0,19
 1705,0,19
 1710,0,19
 1715,0,19
 1720,0,20
 1725,0,18
 1730,0,17
 1735,0,17
 1740,0,17
 1745,0,18
 1750,0,17
 1755,0,17
 1760,0,18
 1765,0,18
 1770,0,18
 1775,0,18
 1780,0,18
 1785,0,15
 1790,0,9
 1795,0,9
 1800,0,6
 1805,0,8
 1810,0,10
 1815,0,10
 1820,0,13
 1825,0,14
 1830,0,14
 1835,0,14
 1840,0,14
 1845,0,12
 1850,0,11
 1855,0,11
 1860,0,11
 1865,0,20
 1870,0,20
 1875,0,21
 1880,0,22
 1885,0,24
 1890,0,24
 1895,0,24
 1900,0,26
 1905,0,23
 1910,0,22
 1915,0,22
 1920,0,19
 1925,0,13
 1930,0,14
 1935,0,14
 1940,0,16
 1945,0,16
 1950,0,18
 1955,0,18
 1960,0,19
 1965,0,16
 1970,0,15
 1975,0,14
 1980,0,14
 1985,0,19
 1990,0,18
 1995,0,18
 2000,0,18
 2005,0,18
 2010,0,18
 2015,0,18
 2020,0,18
 2025,0,15
 2030,0,14
 2035,0,14
 2040,0,12
 2045,0,14
 2050,0,13
 2055,0,13
 2060,0,13
 2065,0,13
 2070,0,13
 2075,0,13
 2080,0,13
 2085,0,6
 2090,0,8
 2095,0,8
 2100,0,10
 2105,0,12
