Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,3,5,2,3,3,3,0
15,8,3,6,2,4,4,4,0
20,16,7,10,3,8,8,6,2
25,20,10,11,5,10,10,6,4
30,30,16,16,7,14,14,9,5
35,36,16,19,7,18,18,11,7
40,47,22,23,10,24,24,13,11
45,51,25,27,12,26,26,15,11
50,61,31,30,14,30,30,16,14
55,67,31,32,14,34,34,18,16
60,78,37,36,16,40,40,20,20
65,82,40,37,16,41,41,21,20
70,92,47,43,20,45,45,23,22
75,98,47,44,20,49,49,24,25
80,109,54,50,23,52,52,26,26
85,113,59,54,26,53,53,27,26
90,123,66,59,30,57,57,29,28
95,129,66,63,30,61,61,32,29
100,140,73,68,33,64,64,34,30
105,144,78,70,35,65,65,35,30
110,154,85,75,39,69,69,36,33
115,160,85,79,39,73,73,40,33
120,171,92,85,42,76,76,41,35
125,175,96,88,45,78,77,42,35
130,185,101,94,50,82,79,44,35
135,191,101,95,50,88,82,44,38
140,202,105,101,53,95,85,46,39
145,206,108,104,56,97,86,47,39
150,216,114,107,59,101,88,47,41
155,222,114,110,59,105,91,48,43
160,233,120,113,62,111,94,49,45
165,237,124,115,65,113,95,50,45
170,247,129,120,67,117,97,52,45
175,253,129,123,67,121,100,53,47
180,264,136,131,73,125,103,55,48
185,268,137,132,74,131,104,56,48
190,278,139,137,76,139,107,57,50
195,284,139,138,76,145,110,57,53
200,295,142,144,78,153,112,59,53
205,299,142,145,78,157,114,60,54
210,309,144,151,79,165,116,62,54
215,315,144,156,79,170,119,64,55
220,326,147,161,81,179,122,66,56
225,330,147,163,81,183,123,67,56
230,340,150,170,84,190,125,69,56
235,346,150,172,84,195,128,70,58
240,357,152,177,85,204,131,73,58
245,361,152,178,85,209,133,75,58
250,371,153,183,85,218,135,76,59
255,377,153,186,85,224,138,79,59
260,388,156,193,87,231,140,80,60
265,392,157,194,88,235,141,80,61
