source,gentime, athop, hopcount,priority, reachedTime
2,3,2,2,1, 5
1,6,1,1,0, 7
3,7,3,3,1, 10
8,16,1,1,1, 17
11,14,4,4,0, 18
9,17,2,2,0, 19
16,19,2,2,0, 21
17,19,3,3,1, 22
15,21,2,2,0, 23
2,23,2,2,1, 25
1,26,1,1,0, 27
22,26,4,4,0, 30
3,27,3,3,0, 30
24,29,1,1,0, 30
19,26,5,5,1, 31
23,28,3,3,1, 31
25,35,2,2,1, 37
8,36,1,1,0, 37
11,34,4,4,0, 38
9,37,2,2,1, 39
26,37,3,3,0, 40
16,39,2,2,1, 41
17,39,3,3,0, 42
15,41,2,2,1, 43
2,43,2,2,1, 45
1,46,1,1,0, 47
22,46,4,4,1, 50
3,47,3,3,0, 50
24,49,1,1,0, 50
19,46,5,5,1, 51
23,48,3,3,0, 51
25,55,2,2,0, 57
8,56,1,1,0, 57
11,54,4,4,0, 58
9,57,2,2,1, 59
26,57,3,3,1, 60
16,59,2,2,0, 61
17,59,3,3,0, 62
15,61,2,2,0, 63
2,63,2,2,0, 65
18,63,4,4,1, 67
1,66,1,1,0, 67
20,63,6,6,0, 69
22,66,4,4,1, 70
3,67,3,3,1, 70
24,69,1,1,1, 70
19,66,5,5,1, 71
23,68,3,3,0, 71
5,67,3,5,1, 72
6,70,2,4,1, 74
30,73,3,3,0, 76
25,75,2,2,0, 77
8,76,1,1,1, 77
11,74,4,4,0, 78
31,76,2,2,0, 78
9,77,2,2,1, 79
26,77,3,3,0, 80
16,79,2,2,1, 81
29,78,4,4,1, 82
17,79,3,3,0, 82
15,81,2,2,1, 83
13,79,4,6,0, 85
12,80,5,5,1, 85
2,83,2,2,1, 85
18,83,4,4,1, 87
1,86,1,1,1, 87
20,83,6,6,1, 89
22,86,4,4,0, 90
3,87,3,3,0, 90
24,89,1,1,1, 90
19,86,5,5,0, 91
23,88,3,3,1, 91
5,87,3,5,0, 92
6,90,2,4,0, 94
30,93,3,3,1, 96
25,95,2,2,1, 97
8,96,1,1,0, 97
11,94,4,4,0, 98
31,96,2,2,0, 98
9,97,2,2,1, 99
26,97,3,3,0, 100
16,99,2,2,1, 101
29,98,4,4,1, 102
17,99,3,3,0, 102
15,101,2,2,0, 103
13,99,4,6,1, 105
12,100,5,5,0, 105
2,103,2,2,1, 105
18,103,4,4,1, 107
1,106,1,1,1, 107
20,103,6,6,0, 109
22,106,4,4,0, 110
3,107,3,3,1, 110
24,109,1,1,1, 110
19,106,5,5,1, 111
23,108,3,3,0, 111
5,107,3,5,0, 112
6,110,2,4,0, 114
30,113,3,3,1, 116
25,115,2,2,0, 117
8,116,1,1,1, 117
11,114,4,4,0, 118
31,116,2,2,0, 118
26,117,3,3,1, 120
16,119,2,2,1, 121
29,118,4,4,1, 122
17,119,3,3,1, 122
15,121,2,2,0, 123
13,119,4,6,1, 125
2,123,2,2,1, 125
18,123,4,4,1, 127
1,126,1,1,1, 127
20,123,6,6,1, 129
22,126,4,4,1, 130
24,129,1,1,1, 130
23,128,3,3,1, 131
30,133,3,3,0, 136
8,136,1,1,1, 137
11,134,4,4,1, 138
31,136,2,2,0, 138
16,139,2,2,1, 141
29,138,4,4,1, 142
15,141,2,2,1, 143
13,139,4,6,1, 145
12,140,5,5,1, 145
18,143,4,4,1, 147
1,146,1,1,0, 147
20,143,6,6,1, 149
22,146,4,4,1, 150
24,149,1,1,0, 150
19,146,5,5,1, 151
23,148,3,3,0, 151
6,150,2,4,1, 154
30,153,3,3,0, 156
25,155,2,2,1, 157
8,156,1,1,0, 157
31,156,2,2,0, 158
9,157,2,2,0, 159
11,154,4,6,1, 160
26,157,3,3,0, 160
16,159,2,2,0, 161
17,159,3,3,0, 162
15,161,2,2,0, 163
12,160,5,7,1, 167
2,163,2,4,1, 167
18,163,4,4,1, 167
20,163,6,6,0, 169
22,166,4,4,0, 170
24,169,1,1,0, 170
19,166,5,5,1, 171
23,168,3,3,1, 171
6,170,2,4,1, 174
30,173,3,3,0, 176
25,175,2,2,0, 177
8,176,1,1,1, 177
31,176,2,2,0, 178
28,174,5,5,1, 179
9,177,2,2,0, 179
11,174,4,6,1, 180
26,177,3,3,1, 180
16,179,2,2,1, 181
29,178,4,4,1, 182
17,179,3,3,1, 182
12,180,5,7,1, 187
18,183,4,4,1, 187
24,189,1,1,1, 190
19,186,5,5,1, 191
23,188,3,3,1, 191
25,195,2,2,1, 197
8,196,1,1,1, 197
5,187,3,11,1, 198
9,197,2,2,1, 199
16,199,2,2,1, 201
17,199,3,3,1, 202
20,203,6,6,1, 209
22,206,4,4,1, 210
24,209,1,1,0, 210
25,215,2,2,1, 217
8,216,1,1,1, 217
6,210,2,10,1, 220
28,214,5,7,1, 221
16,219,2,2,1, 221
17,219,3,3,1, 222
18,223,4,6,1, 229
22,226,4,4,1, 230
24,229,1,1,1, 230
23,228,3,3,1, 231
31,236,2,2,1, 238
6,230,2,10,1, 240
28,234,5,7,1, 241
1,266,1,1,1, 267
1,286,1,1,0, 287
3,287,3,3,1, 290
1,306,1,1,0, 307
25,315,2,2,1, 317
9,317,2,2,1, 319
1,326,1,1,0, 327
25,335,2,2,1, 337
8,336,1,1,1, 337
1,346,1,1,0, 347
18,343,4,6,1, 349
24,349,1,1,0, 350
25,355,2,2,1, 357
8,356,1,1,0, 357
31,356,2,2,1, 358
9,357,2,2,1, 359
26,357,3,5,1, 362
15,361,2,2,1, 363
24,369,1,1,0, 370
8,376,1,1,0, 377
24,389,1,1,0, 390
8,396,1,1,1, 397
24,409,1,1,0, 410
8,416,1,1,1, 417
15,421,2,2,1, 423
1,426,1,1,0, 427
24,429,1,1,1, 430
25,435,2,2,1, 437
8,436,1,1,1, 437
9,437,2,2,1, 439
15,441,2,2,1, 443
18,443,4,4,1, 447
1,446,1,1,1, 447
24,449,1,1,0, 450
25,455,2,2,1, 457
8,456,1,1,1, 457
9,457,2,2,1, 459
16,459,2,2,1, 461
18,463,4,4,1, 467
24,469,1,1,0, 470
23,468,3,3,1, 471
25,475,2,2,1, 477
8,476,1,1,1, 477
30,473,3,5,1, 478
9,477,2,2,1, 479
17,479,3,3,1, 482
24,489,1,1,1, 490
24,509,1,1,1, 510
25,515,2,2,1, 517
24,529,1,1,0, 530
24,549,1,1,0, 550
25,555,2,2,1, 557
8,556,1,1,0, 557
1,566,1,1,1, 567
24,569,1,1,0, 570
8,576,1,1,1, 577
1,586,1,1,0, 587
22,586,4,4,1, 590
24,589,1,1,1, 590
5,587,3,5,1, 592
30,593,3,3,1, 596
8,596,1,1,0, 597
31,596,2,2,1, 598
9,597,2,2,1, 599
2,603,2,2,1, 605
1,606,1,1,1, 607
3,607,3,3,1, 610
25,615,2,2,1, 617
17,619,3,3,1, 622
1,626,1,1,1, 627
3,627,3,3,1, 630
1,646,1,1,1, 647
3,647,3,3,1, 650
25,655,2,2,1, 657
11,654,4,6,1, 660
1,666,1,1,1, 667
25,675,2,2,1, 677
17,679,3,3,1, 682
1,686,1,1,0, 687
25,695,2,2,1, 697
17,699,3,3,1, 702
1,706,1,1,0, 707
24,709,1,1,0, 710
8,716,1,1,1, 717
9,717,2,2,1, 719
24,729,1,1,0, 730
25,735,2,2,1, 737
8,736,1,1,0, 737
24,749,1,1,0, 750
8,756,1,1,0, 757
24,769,1,1,0, 770
8,776,1,1,1, 777
24,789,1,1,0, 790
8,796,1,1,1, 797
24,809,1,1,1, 810
8,816,1,1,0, 817
1,826,1,1,1, 827
22,826,4,4,1, 830
24,829,1,1,0, 830
5,827,3,5,1, 832
6,830,2,4,1, 834
30,833,3,3,1, 836
8,836,1,1,1, 837
31,836,2,2,1, 838
28,834,5,5,1, 839
16,839,2,2,1, 841
29,838,4,4,1, 842
1,846,1,1,0, 847
1,866,1,1,1, 867
1,886,1,1,1, 887
1,906,1,1,0, 907
1,926,1,1,1, 927
1,946,1,1,0, 947
30,953,3,3,1, 956
25,955,2,2,1, 957
8,956,1,1,0, 957
9,957,2,2,1, 959
26,957,3,3,1, 960
23,968,3,3,1, 971
8,976,1,1,1, 977
8,996,1,1,0, 997
