source,gentime, athop, hopcount,priority, reachedTime
2,3,2,2,1, 5
1,6,1,1,0, 7
4,6,4,4,1, 10
3,7,3,3,1, 10
8,16,1,1,1, 17
11,14,4,4,0, 18
9,17,2,2,0, 19
16,19,2,2,0, 21
14,19,3,3,0, 22
17,19,3,3,1, 22
13,19,4,4,0, 23
15,21,2,2,0, 23
12,20,5,5,1, 25
2,23,2,2,1, 25
1,26,1,1,0, 27
20,23,6,6,0, 29
4,26,4,4,1, 30
22,26,4,4,0, 30
3,27,3,3,0, 30
24,29,1,1,0, 30
19,26,5,5,1, 31
23,28,3,3,1, 31
25,35,2,2,1, 37
8,36,1,1,0, 37
11,34,4,4,0, 38
28,34,5,5,0, 39
9,37,2,2,1, 39
26,37,3,3,0, 40
16,39,2,2,1, 41
14,39,3,3,0, 42
17,39,3,3,0, 42
13,39,4,4,0, 43
15,41,2,2,1, 43
12,40,5,5,1, 45
2,43,2,2,1, 45
1,46,1,1,0, 47
20,43,6,6,1, 49
4,46,4,4,0, 50
22,46,4,4,1, 50
3,47,3,3,0, 50
24,49,1,1,0, 50
19,46,5,5,1, 51
23,48,3,3,0, 51
25,55,2,2,0, 57
8,56,1,1,0, 57
11,54,4,4,0, 58
28,54,5,5,0, 59
9,57,2,2,1, 59
26,57,3,3,1, 60
16,59,2,2,0, 61
14,59,3,3,0, 62
17,59,3,3,0, 62
13,59,4,4,1, 63
15,61,2,2,0, 63
12,60,5,5,0, 65
2,63,2,2,0, 65
18,63,4,4,1, 67
1,66,1,1,0, 67
20,63,6,6,0, 69
4,66,4,4,0, 70
22,66,4,4,1, 70
3,67,3,3,1, 70
24,69,1,1,1, 70
19,66,5,5,1, 71
23,68,3,3,0, 71
5,67,3,5,1, 72
6,70,2,4,1, 74
30,73,3,3,0, 76
25,75,2,2,0, 77
8,76,1,1,1, 77
11,74,4,4,0, 78
31,76,2,2,0, 78
28,74,5,5,0, 79
9,77,2,2,1, 79
26,77,3,3,0, 80
16,79,2,2,1, 81
29,78,4,4,1, 82
14,79,3,3,0, 82
17,79,3,3,0, 82
13,79,4,4,0, 83
15,81,2,2,1, 83
12,80,5,5,1, 85
2,83,2,2,1, 85
18,83,4,4,1, 87
1,86,1,1,1, 87
20,83,6,6,1, 89
4,86,4,4,1, 90
22,86,4,4,0, 90
3,87,3,3,0, 90
24,89,1,1,1, 90
19,86,5,5,0, 91
23,88,3,3,1, 91
6,90,2,4,0, 94
30,93,3,3,1, 96
25,95,2,2,1, 97
8,96,1,1,0, 97
31,96,2,2,0, 98
28,94,5,5,1, 99
9,97,2,2,1, 99
16,99,2,2,1, 101
29,98,4,4,1, 102
14,99,3,3,0, 102
13,99,4,4,1, 103
15,101,2,2,0, 103
2,103,2,2,1, 105
18,103,4,4,1, 107
1,106,1,1,1, 107
22,106,4,4,0, 110
3,107,3,3,1, 110
24,109,1,1,1, 110
19,106,5,5,1, 111
23,108,3,3,0, 111
6,110,2,4,0, 114
30,113,3,3,1, 116
8,116,1,1,1, 117
31,116,2,2,0, 118
28,114,5,5,1, 119
26,117,3,3,1, 120
16,119,2,2,1, 121
29,118,4,4,1, 122
14,119,3,3,0, 122
17,119,3,3,1, 122
13,119,4,4,1, 123
2,123,2,2,1, 125
18,123,4,4,1, 127
1,126,1,1,1, 127
20,123,6,6,1, 129
22,126,4,4,1, 130
24,129,1,1,1, 130
23,128,3,3,1, 131
30,133,3,3,0, 136
25,135,2,2,0, 137
8,136,1,1,1, 137
31,136,2,2,0, 138
26,137,3,3,0, 140
16,139,2,2,1, 141
29,138,4,4,1, 142
14,139,3,3,1, 142
13,139,4,4,1, 143
15,141,2,2,1, 143
12,140,5,5,1, 145
18,143,4,4,1, 147
20,143,6,6,1, 149
22,146,4,4,1, 150
24,149,1,1,0, 150
19,146,5,5,1, 151
6,150,2,4,1, 154
30,153,3,3,0, 156
25,155,2,2,1, 157
8,156,1,1,0, 157
31,156,2,2,0, 158
11,154,4,6,1, 160
26,157,3,3,0, 160
29,158,4,4,0, 162
13,159,4,4,1, 163
12,160,5,5,1, 165
18,163,4,4,1, 167
24,169,1,1,0, 170
19,166,5,5,1, 171
23,168,3,3,1, 171
4,166,4,6,1, 172
6,170,2,4,1, 174
30,173,3,3,0, 176
25,175,2,2,0, 177
8,176,1,1,1, 177
31,176,2,2,0, 178
11,174,4,6,1, 180
26,177,3,3,1, 180
16,179,2,2,1, 181
29,178,4,4,1, 182
14,179,3,3,1, 182
17,179,3,3,1, 182
18,183,4,4,1, 187
24,189,1,1,1, 190
19,186,5,5,1, 191
23,188,3,3,1, 191
5,187,3,5,1, 192
25,195,2,2,1, 197
9,197,2,4,1, 201
16,199,2,2,1, 201
17,199,3,3,1, 202
20,203,6,6,1, 209
22,206,4,4,1, 210
24,209,1,1,0, 210
4,206,4,6,1, 212
6,210,2,4,1, 214
30,213,3,3,1, 216
25,215,2,2,1, 217
28,214,5,5,1, 219
11,214,4,6,1, 220
16,219,2,2,1, 221
17,219,3,3,1, 222
12,220,5,7,1, 227
18,223,4,4,1, 227
22,226,4,4,1, 230
24,229,1,1,1, 230
23,228,3,3,1, 231
4,226,4,6,1, 232
6,230,2,4,1, 234
28,234,5,9,1, 243
1,246,1,1,0, 247
9,257,2,2,1, 259
1,266,1,1,1, 267
1,286,1,1,0, 287
1,306,1,1,0, 307
25,315,2,2,1, 317
9,317,2,2,1, 319
24,349,1,1,0, 350
25,355,2,2,1, 357
8,356,1,1,0, 357
31,356,2,2,1, 358
9,357,2,2,1, 359
26,357,3,3,1, 360
15,361,2,2,1, 363
8,376,1,1,0, 377
9,377,2,2,1, 379
8,396,1,1,1, 397
9,397,2,2,1, 399
16,399,2,2,1, 401
8,416,1,1,1, 417
1,466,1,1,0, 467
24,469,1,1,0, 470
23,468,3,3,1, 471
5,467,3,7,1, 474
30,473,3,3,1, 476
25,475,2,2,1, 477
6,470,2,8,1, 478
9,477,2,2,1, 479
26,477,3,3,1, 480
17,479,3,3,1, 482
1,486,1,1,1, 487
26,497,3,3,1, 500
17,499,3,3,1, 502
1,506,1,1,0, 507
25,515,2,2,1, 517
26,517,3,3,1, 520
17,519,3,3,1, 522
1,526,1,1,1, 527
8,536,1,1,0, 537
24,549,1,1,0, 550
8,556,1,1,0, 557
31,556,2,2,1, 558
24,569,1,1,0, 570
8,576,1,1,1, 577
24,589,1,1,1, 590
23,588,3,3,1, 591
22,586,4,6,1, 592
5,587,3,5,1, 592
30,593,3,3,1, 596
8,596,1,1,0, 597
31,596,2,2,1, 598
9,597,2,4,1, 601
11,594,4,8,1, 602
29,598,4,4,1, 602
1,606,1,1,1, 607
25,615,2,2,1, 617
8,616,1,1,1, 617
1,626,1,1,1, 627
8,636,1,1,0, 637
1,646,1,1,1, 647
25,655,2,2,1, 657
8,656,1,1,0, 657
1,666,1,1,1, 667
24,669,1,1,1, 670
25,675,2,2,1, 677
8,676,1,1,0, 677
1,686,1,1,0, 687
24,689,1,1,0, 690
25,695,2,2,1, 697
8,696,1,1,1, 697
1,706,1,1,0, 707
24,709,1,1,0, 710
3,707,3,5,1, 712
5,707,3,5,1, 712
8,716,1,1,1, 717
9,717,2,2,1, 719
8,796,1,1,1, 797
15,801,2,2,1, 803
8,816,1,1,0, 817
15,821,2,2,1, 823
1,826,1,1,1, 827
24,829,1,1,0, 830
8,836,1,1,1, 837
16,839,2,2,1, 841
1,846,1,1,0, 847
24,849,1,1,0, 850
31,856,2,2,1, 858
1,866,1,1,1, 867
24,869,1,1,0, 870
31,876,2,2,1, 878
1,886,1,1,1, 887
24,889,1,1,1, 890
31,896,2,2,1, 898
2,903,2,4,1, 907
1,906,1,1,0, 907
3,907,3,3,1, 910
24,909,1,1,1, 910
8,916,1,1,1, 917
1,926,1,1,1, 927
24,929,1,1,0, 930
8,936,1,1,0, 937
1,946,1,1,0, 947
24,949,1,1,1, 950
25,955,2,2,1, 957
8,956,1,1,0, 957
9,957,2,2,1, 959
1,966,1,1,1, 967
25,975,2,2,1, 977
8,976,1,1,1, 977
1,986,1,1,1, 987
25,995,2,2,1, 997
