
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,2
 130,0,2
 135,0,2
 140,0,2
 145,0,2
 150,0,2
 155,0,2
 160,0,2
 165,0,2
 170,0,2
 175,0,2
 180,0,2
 185,0,4
 190,0,4
 195,0,4
 200,0,4
 205,0,4
 210,0,4
 215,0,4
 220,0,4
 225,0,4
 230,0,3
 235,0,3
 240,0,3
 245,0,14
 250,0,14
 255,0,14
 260,0,14
 265,0,14
 270,0,14
 275,0,14
 280,0,14
 285,0,14
 290,0,14
 295,0,14
 300,0,14
 305,0,18
 310,0,18
 315,0,19
 320,0,19
 325,0,19
 330,0,19
 335,0,18
 340,0,18
 345,0,7
 350,0,5
 355,0,5
 360,0,5
 365,0,19
 370,0,21
 375,0,21
 380,0,21
 385,0,21
 390,0,21
 395,0,21
 400,0,21
 405,0,20
 410,0,20
 415,0,20
 420,0,20
 425,0,17
 430,0,19
 435,0,19
 440,0,19
 445,0,19
 450,0,19
 455,0,19
 460,0,19
 465,0,11
 470,0,8
 475,0,8
 480,0,8
 485,0,18
 490,0,18
 495,0,18
 500,0,20
 505,0,20
 510,0,20
 515,0,20
 520,0,20
 525,0,15
 530,0,14
 535,0,14
 540,0,14
 545,0,16
 550,0,16
 555,0,16
 560,0,16
 565,0,16
 570,0,16
 575,0,16
 580,0,16
 585,0,9
 590,0,9
 595,0,9
 600,0,8
 605,0,16
 610,0,17
 615,0,17
 620,0,17
 625,0,17
 630,0,17
 635,0,17
 640,0,17
 645,0,15
 650,0,15
 655,0,15
 660,0,14
 665,0,15
 670,0,18
 675,0,18
 680,0,18
 685,0,18
 690,0,18
 695,0,18
 700,0,18
 705,0,11
 710,0,10
 715,0,10
 720,0,10
 725,0,17
 730,0,17
 735,0,18
 740,0,19
 745,0,19
 750,0,19
 755,0,19
 760,0,19
 765,0,18
 770,0,18
 775,0,18
 780,0,18
 785,0,12
 790,0,14
 795,0,15
 800,0,15
 805,0,15
 810,0,19
 815,0,19
 820,0,19
 825,0,12
 830,0,12
 835,0,12
 840,0,12
 845,0,20
 850,0,20
 855,0,20
 860,0,21
 865,0,21
 870,0,21
 875,0,21
 880,0,21
 885,0,19
 890,0,16
 895,0,15
 900,0,17
 905,0,14
 910,0,13
 915,0,13
 920,0,14
 925,0,14
 930,0,16
 935,0,17
 940,0,17
 945,0,12
 950,0,13
 955,0,12
 960,0,12
 965,0,16
 970,0,16
 975,0,18
 980,0,19
 985,0,19
 990,0,18
 995,0,18
 1000,0,16
 1005,0,15
 1010,0,15
 1015,0,14
 1020,0,13
 1025,0,17
 1030,0,18
 1035,0,19
 1040,0,18
 1045,0,18
 1050,0,19
 1055,0,19
 1060,0,19
 1065,0,18
 1070,0,18
 1075,0,17
 1080,0,17
 1085,0,17
 1090,0,18
 1095,0,18
 1100,0,19
 1105,0,19
 1110,0,20
 1115,0,20
 1120,0,20
 1125,0,16
 1130,0,14
 1135,0,14
 1140,0,14
 1145,0,17
 1150,0,17
 1155,0,17
 1160,0,17
 1165,0,17
 1170,0,17
 1175,0,17
 1180,0,17
 1185,0,13
 1190,0,11
 1195,0,10
 1200,0,10
 1205,0,19
 1210,0,21
 1215,0,21
 1220,0,21
 1225,0,21
 1230,0,21
 1235,0,21
 1240,0,21
 1245,0,18
 1250,0,17
 1255,0,17
 1260,0,17
 1265,0,10
 1270,0,12
 1275,0,12
 1280,0,12
 1285,0,12
 1290,0,12
 1295,0,12
 1300,0,12
 1305,0,5
 1310,0,4
 1315,0,4
 1320,0,4
 1325,0,23
 1330,0,23
 1335,0,23
 1340,0,23
 1345,0,23
 1350,0,23
 1355,0,23
 1360,0,23
 1365,0,22
 1370,0,21
 1375,0,21
 1380,0,21
 1385,0,16
 1390,0,18
 1395,0,18
 1400,0,18
 1405,0,18
 1410,0,18
 1415,0,18
 1420,0,18
 1425,0,7
 1430,0,5
 1435,0,4
 1440,0,4
 1445,0,17
 1450,0,18
 1455,0,18
 1460,0,18
 1465,0,19
 1470,0,19
 1475,0,19
 1480,0,19
 1485,0,19
 1490,0,17
 1495,0,17
 1500,0,18
 1505,0,19
 1510,0,19
 1515,0,19
 1520,0,19
 1525,0,19
 1530,0,18
 1535,0,18
 1540,0,18
 1545,0,7
 1550,0,6
 1555,0,6
 1560,0,7
 1565,0,18
 1570,0,19
 1575,0,22
 1580,0,25
 1585,0,25
 1590,0,25
 1595,0,25
 1600,0,26
 1605,0,26
 1610,0,26
 1615,0,26
 1620,0,26
 1625,0,26
 1630,0,26
 1635,0,26
 1640,0,26
 1645,0,26
 1650,0,26
 1655,0,26
 1660,0,26
 1665,0,9
 1670,0,8
 1675,0,5
 1680,0,1
 1685,0,21
 1690,0,22
 1695,0,22
 1700,0,22
 1705,0,22
 1710,0,22
 1715,0,22
 1720,0,22
 1725,0,22
 1730,0,22
 1735,0,22
 1740,0,22
 1745,0,21
 1750,0,21
 1755,0,21
 1760,0,21
 1765,0,21
 1770,0,21
 1775,0,21
 1780,0,21
 1785,0,8
 1790,0,3
 1795,0,2
 1800,0,2
 1805,0,20
 1810,0,20
 1815,0,20
 1820,0,20
 1825,0,20
 1830,0,20
 1835,0,20
 1840,0,20
 1845,0,19
 1850,0,19
 1855,0,19
 1860,0,19
 1865,0,17
 1870,0,20
 1875,0,20
 1880,0,20
 1885,0,20
 1890,0,20
 1895,0,20
 1900,0,20
 1905,0,12
 1910,0,12
 1915,0,12
 1920,0,11
 1925,0,18
 1930,0,18
 1935,0,18
 1940,0,18
 1945,0,18
 1950,0,18
 1955,0,18
 1960,0,18
 1965,0,14
 1970,0,14
 1975,0,14
 1980,0,14
 1985,0,14
 1990,0,16
 1995,0,18
 2000,0,18
 2005,0,19
 2010,0,20
 2015,0,20
 2020,0,20
 2025,0,13
 2030,0,13
 2035,0,14
 2040,0,14
 2045,0,19
 2050,0,20
 2055,0,20
 2060,0,20
 2065,0,20
 2070,0,20
 2075,0,20
 2080,0,20
 2085,0,19
 2090,0,19
 2095,0,19
 2100,0,18
 2105,0,18
