Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,5,5,4,0,0,0,0
15,8,7,6,6,0,0,0,0
20,16,11,10,7,1,1,1,0
25,20,17,11,10,2,2,1,1
30,30,26,16,13,3,3,2,1
35,36,30,19,16,3,3,2,1
40,47,38,23,20,4,4,2,2
45,51,45,27,23,5,5,3,2
50,61,54,30,26,6,6,4,2
55,67,58,32,28,6,6,4,2
60,78,66,36,31,7,7,4,3
65,82,73,37,32,7,7,4,3
70,92,83,43,38,8,8,4,4
75,98,87,44,40,8,8,4,4
80,109,95,50,43,9,9,5,4
85,113,102,54,47,9,9,5,4
90,123,110,59,53,12,10,6,4
95,129,113,63,55,13,10,6,4
100,140,119,68,59,17,11,7,4
105,144,124,70,62,18,11,7,4
110,154,132,75,67,21,12,8,4
115,160,136,79,70,23,12,8,4
120,171,141,85,74,25,13,8,5
125,175,147,88,78,26,13,8,5
130,185,155,94,84,29,14,9,5
135,191,159,95,84,30,14,9,5
140,202,166,101,87,32,15,9,6
145,206,171,104,92,33,15,9,6
150,216,176,107,96,39,16,9,7
155,222,179,110,98,41,16,9,7
160,233,183,113,100,48,17,10,7
165,237,185,115,102,50,17,10,7
170,247,190,120,106,56,18,11,7
175,253,193,123,108,57,18,11,7
180,264,199,131,113,60,19,11,8
185,268,203,132,117,64,19,11,8
190,278,208,137,122,70,20,11,9
195,284,209,138,122,74,20,11,9
200,295,213,144,125,80,21,12,9
205,299,215,145,127,84,22,13,9
210,309,218,151,129,90,23,14,9
215,315,221,156,132,91,23,14,9
220,326,226,161,136,98,24,15,9
225,330,228,163,138,101,24,15,9
230,340,233,170,143,106,25,16,9
235,346,234,172,144,111,25,16,9
240,357,236,177,146,118,26,17,9
245,361,239,178,149,122,26,17,9
250,371,242,183,150,129,27,17,10
255,377,244,186,152,133,27,17,10
260,388,247,193,155,140,28,17,11
265,392,248,194,156,144,28,17,11
270,402,251,200,159,151,29,18,11
275,408,251,200,159,157,29,18,11
280,419,252,205,160,167,30,19,11
285,423,252,206,160,171,30,19,11
290,433,255,210,162,178,31,19,12
295,439,256,212,163,183,31,19,12
300,450,257,218,164,193,32,20,12
305,454,257,221,164,197,32,20,12
310,464,257,223,164,207,33,21,12
315,470,257,225,164,213,33,21,12
320,481,257,227,164,224,34,21,13
325,485,257,228,164,228,34,21,13
330,495,257,231,164,238,35,22,13
335,501,257,234,164,244,35,22,13
340,512,257,241,164,255,36,23,13
345,516,257,242,164,259,36,23,13
350,526,258,245,165,266,37,23,14
355,532,261,247,167,270,37,23,14
360,543,265,252,170,276,38,23,15
365,547,265,253,170,282,38,23,15
370,557,267,255,171,290,38,23,15
375,563,268,257,172,295,38,23,15
380,574,269,261,173,305,39,23,16
385,578,270,264,174,308,39,23,16
390,588,271,270,175,316,39,23,16
395,594,273,274,177,320,39,23,16
400,605,275,281,179,330,40,23,17
405,609,276,283,180,333,40,23,17
410,619,278,286,180,341,40,23,17
415,625,279,290,180,345,40,23,17
420,636,280,296,181,356,41,23,18
425,640,281,297,182,359,41,23,18
430,650,282,302,183,368,41,23,18
435,656,282,306,183,373,41,23,18
440,667,284,312,185,383,42,24,18
445,671,285,315,186,386,42,24,18
450,681,286,322,186,395,42,24,18
455,687,286,325,186,400,42,24,18
460,698,289,333,189,409,43,24,19
465,702,289,335,189,412,43,24,19
470,712,291,340,190,421,44,25,19
475,718,291,344,190,426,44,25,19
480,729,295,350,194,432,45,25,20
485,733,296,353,195,437,45,25,20
490,743,298,357,197,445,46,25,21
495,749,298,360,197,451,46,25,21
