
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,0
 150,0,0
 155,0,0
 160,0,0
 165,0,0
 170,0,0
 175,0,0
 180,0,0
 185,0,0
 190,0,1
 195,0,1
 200,0,1
 205,0,1
 210,0,1
 215,0,1
 220,0,1
 225,0,1
 230,0,1
 235,0,1
 240,0,1
 245,0,10
 250,0,10
 255,0,10
 260,0,10
 265,0,10
 270,0,10
 275,0,10
 280,0,10
 285,0,10
 290,0,9
 295,0,9
 300,0,9
 305,0,10
 310,0,10
 315,0,10
 320,0,10
 325,0,10
 330,0,10
 335,0,10
 340,0,10
 345,0,2
 350,0,2
 355,0,2
 360,0,2
 365,0,16
 370,0,16
 375,0,16
 380,0,16
 385,0,16
 390,0,16
 395,0,16
 400,0,16
 405,0,14
 410,0,14
 415,0,14
 420,0,14
 425,0,14
 430,0,14
 435,0,14
 440,0,15
 445,0,15
 450,0,15
 455,0,15
 460,0,15
 465,0,6
 470,0,3
 475,0,3
 480,0,2
 485,0,18
 490,0,18
 495,0,18
 500,0,18
 505,0,18
 510,0,18
 515,0,18
 520,0,18
 525,0,17
 530,0,17
 535,0,17
 540,0,17
 545,0,12
 550,0,12
 555,0,12
 560,0,12
 565,0,12
 570,0,12
 575,0,12
 580,0,12
 585,0,3
 590,0,2
 595,0,1
 600,0,1
 605,0,17
 610,0,18
 615,0,18
 620,0,18
 625,0,18
 630,0,18
 635,0,18
 640,0,18
 645,0,18
 650,0,18
 655,0,18
 660,0,18
 665,0,19
 670,0,20
 675,0,20
 680,0,20
 685,0,20
 690,0,20
 695,0,20
 700,0,20
 705,0,7
 710,0,3
 715,0,2
 720,0,2
 725,0,16
 730,0,16
 735,0,16
 740,0,16
 745,0,16
 750,0,16
 755,0,16
 760,0,16
 765,0,16
 770,0,16
 775,0,16
 780,0,16
 785,0,16
 790,0,16
 795,0,17
 800,0,19
 805,0,19
 810,0,19
 815,0,19
 820,0,19
 825,0,7
 830,0,3
 835,0,3
 840,0,3
 845,0,17
 850,0,17
 855,0,17
 860,0,17
 865,0,17
 870,0,17
 875,0,17
 880,0,17
 885,0,17
 890,0,17
 895,0,17
 900,0,17
 905,0,17
 910,0,17
 915,0,17
 920,0,17
 925,0,17
 930,0,17
 935,0,17
 940,0,17
 945,0,4
 950,0,2
 955,0,1
 960,0,0
 965,0,15
 970,0,16
 975,0,16
 980,0,16
 985,0,16
 990,0,16
 995,0,16
 1000,0,17
 1005,0,17
 1010,0,17
 1015,0,17
 1020,0,17
 1025,0,17
 1030,0,17
 1035,0,17
 1040,0,17
 1045,0,17
 1050,0,17
 1055,0,17
 1060,0,17
 1065,0,4
 1070,0,1
 1075,0,1
 1080,0,1
 1085,0,16
 1090,0,19
 1095,0,19
 1100,0,19
 1105,0,19
 1110,0,19
 1115,0,19
 1120,0,19
 1125,0,19
 1130,0,19
 1135,0,19
 1140,0,19
 1145,0,17
 1150,0,17
 1155,0,17
 1160,0,17
 1165,0,17
 1170,0,17
 1175,0,17
 1180,0,17
 1185,0,9
 1190,0,5
 1195,0,3
 1200,0,3
 1205,0,17
 1210,0,17
 1215,0,17
 1220,0,19
 1225,0,19
 1230,0,19
 1235,0,19
 1240,0,19
 1245,0,19
 1250,0,18
 1255,0,17
 1260,0,17
 1265,0,11
 1270,0,12
 1275,0,12
 1280,0,12
 1285,0,12
 1290,0,12
 1295,0,12
 1300,0,12
 1305,0,4
 1310,0,3
 1315,0,3
 1320,0,2
 1325,0,18
 1330,0,20
 1335,0,20
 1340,0,20
 1345,0,20
 1350,0,20
 1355,0,20
 1360,0,20
 1365,0,20
 1370,0,19
 1375,0,19
 1380,0,19
 1385,0,20
 1390,0,20
 1395,0,20
 1400,0,20
 1405,0,20
 1410,0,20
 1415,0,20
 1420,0,20
 1425,0,7
 1430,0,2
 1435,0,2
 1440,0,2
 1445,0,14
 1450,0,16
 1455,0,16
 1460,0,16
 1465,0,16
 1470,0,16
 1475,0,16
 1480,0,16
 1485,0,16
 1490,0,16
 1495,0,16
 1500,0,16
 1505,0,16
 1510,0,17
 1515,0,17
 1520,0,17
 1525,0,17
 1530,0,17
 1535,0,17
 1540,0,17
 1545,0,5
 1550,0,4
 1555,0,4
 1560,0,4
 1565,0,20
 1570,0,20
 1575,0,20
 1580,0,20
 1585,0,20
 1590,0,20
 1595,0,20
 1600,0,20
 1605,0,20
 1610,0,20
 1615,0,20
 1620,0,20
 1625,0,18
 1630,0,18
 1635,0,18
 1640,0,18
 1645,0,18
 1650,0,18
 1655,0,18
 1660,0,18
 1665,0,0
 1670,0,0
 1675,0,0
 1680,0,0
 1685,0,15
 1690,0,17
 1695,0,17
 1700,0,18
 1705,0,18
 1710,0,18
 1715,0,18
 1720,0,18
 1725,0,18
 1730,0,18
 1735,0,18
 1740,0,18
 1745,0,18
 1750,0,18
 1755,0,18
 1760,0,18
 1765,0,18
 1770,0,18
 1775,0,18
 1780,0,18
 1785,0,7
 1790,0,4
 1795,0,1
 1800,0,0
 1805,0,17
 1810,0,18
 1815,0,18
 1820,0,18
 1825,0,18
 1830,0,18
 1835,0,19
 1840,0,19
 1845,0,19
 1850,0,19
 1855,0,19
 1860,0,19
 1865,0,19
 1870,0,19
 1875,0,21
 1880,0,21
 1885,0,21
 1890,0,21
 1895,0,21
 1900,0,21
 1905,0,8
 1910,0,5
 1915,0,3
 1920,0,3
 1925,0,13
 1930,0,13
 1935,0,13
 1940,0,13
 1945,0,14
 1950,0,15
 1955,0,15
 1960,0,15
 1965,0,15
 1970,0,15
 1975,0,15
 1980,0,15
 1985,0,22
 1990,0,22
 1995,0,22
 2000,0,22
 2005,0,22
 2010,0,22
 2015,0,22
 2020,0,22
 2025,0,14
 2030,0,12
 2035,0,11
 2040,0,10
 2045,0,12
 2050,0,14
 2055,0,14
 2060,0,14
 2065,0,15
 2070,0,16
 2075,0,16
 2080,0,17
 2085,0,16
 2090,0,16
 2095,0,16
 2100,0,16
 2105,0,19
