Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,6,4,5,3,2,2,2,0
15,8,4,6,3,3,3,3,0
20,16,8,10,4,4,4,4,0
25,19,13,11,6,5,5,5,0
30,24,18,13,7,6,6,6,0
35,28,18,15,7,8,8,6,2
40,31,21,16,10,10,10,6,4
45,32,22,17,11,10,10,6,4
50,37,25,19,12,12,12,7,5
55,39,25,21,12,13,13,8,5
60,47,29,23,14,14,14,8,6
65,50,34,26,16,14,14,8,6
70,55,40,29,21,15,15,8,7
75,59,40,30,21,16,16,8,8
80,62,45,31,22,16,16,8,8
85,63,47,31,23,16,16,8,8
90,68,50,32,24,16,16,8,8
95,70,52,34,24,17,17,9,8
100,78,56,36,26,18,18,9,9
105,81,61,37,27,18,18,9,9
110,86,67,39,30,19,19,9,10
115,90,68,41,31,20,20,10,10
120,93,72,43,33,20,20,10,10
125,94,74,44,34,20,20,10,10
130,99,75,45,34,23,20,10,10
135,101,76,46,35,24,21,10,11
140,109,80,50,38,26,22,11,11
145,112,84,53,40,26,22,11,11
150,117,90,56,44,27,23,12,11
155,121,91,58,44,28,24,12,12
160,124,94,60,47,29,24,12,12
165,125,95,60,48,30,24,12,12
170,130,97,63,50,31,24,12,12
175,132,99,64,51,32,25,12,13
180,140,103,68,54,34,26,13,13
185,143,105,70,55,36,26,13,13
190,148,110,72,59,38,27,13,14
195,152,110,74,59,41,29,15,14
200,155,113,76,60,41,29,15,14
205,156,114,77,61,42,29,15,14
210,161,114,80,61,46,29,15,14
215,163,115,80,62,48,30,15,15
220,171,117,85,64,52,31,16,15
225,174,119,87,66,53,31,16,15
230,179,124,91,71,55,32,17,15
235,183,124,93,71,58,34,18,16
240,186,127,94,73,59,34,18,16
245,187,127,94,73,60,34,18,16
250,192,127,96,73,65,34,18,16
255,194,127,96,73,67,35,18,17
260,202,129,101,74,73,36,19,17
265,205,130,103,75,75,36,19,17
270,210,131,106,76,79,37,19,18
275,214,131,106,76,83,38,19,19
280,217,132,107,77,85,38,19,19
285,218,132,108,77,85,38,19,19
290,223,134,110,78,89,38,19,19
295,225,134,110,78,91,39,19,20
300,233,136,113,79,97,40,19,21
305,236,136,115,79,99,40,19,21
310,241,138,117,80,103,40,19,21
315,245,138,119,80,106,41,19,22
320,248,140,120,82,108,41,19,22
325,249,140,121,82,109,41,19,22
330,254,141,124,82,113,43,21,22
335,256,141,124,82,115,44,21,23
340,264,142,131,83,122,45,22,23
345,267,142,132,83,125,45,22,23
350,272,144,133,84,128,45,22,23
355,276,145,136,85,130,46,23,23
360,279,147,137,87,132,46,23,23
365,280,147,137,87,133,46,23,23
370,285,148,139,87,137,46,23,23
375,287,148,140,87,139,47,23,24
380,295,149,144,88,145,48,23,25
385,298,150,144,89,148,48,23,25
390,303,150,148,89,153,48,23,25
395,307,150,150,89,157,48,23,25
400,310,150,152,89,160,48,23,25
405,311,150,152,89,161,48,23,25
410,316,151,157,90,165,48,23,25
415,318,151,157,90,167,49,23,26
420,326,153,161,91,172,50,23,27
425,329,154,163,92,175,50,23,27
430,334,154,165,92,180,50,23,27
435,338,154,168,92,184,50,23,27
440,341,154,171,92,187,50,23,27
445,342,154,171,92,188,50,23,27
450,347,154,172,92,193,50,23,27
455,349,154,173,92,195,51,24,27
460,357,155,177,92,202,52,25,27
465,360,155,178,92,205,52,25,27
470,365,155,181,92,210,53,26,27
475,369,155,182,92,213,54,26,28
480,372,156,184,93,216,55,27,28
485,373,156,185,93,217,55,27,28
490,378,156,186,93,222,55,27,28
495,380,156,188,93,224,56,28,28
500,388,157,193,93,231,56,28,28
505,391,157,194,93,234,56,28,28
510,396,157,197,93,239,56,28,28
515,400,157,199,93,243,57,28,29
520,403,157,200,93,246,57,28,29
525,404,157,200,93,247,57,28,29
530,409,157,201,93,252,57,28,29
535,411,157,202,93,254,58,29,29
540,419,158,205,93,261,58,29,29
545,422,158,206,93,264,58,29,29
550,427,159,207,94,268,58,29,29
555,431,159,209,94,271,59,30,29
560,434,161,210,96,273,59,30,29
565,435,161,211,96,274,59,30,29
570,440,161,213,96,279,59,30,29
575,442,161,213,96,281,60,30,30
580,450,163,218,97,286,60,30,30
585,453,164,221,98,288,60,30,30
590,458,166,222,100,292,61,30,31
595,462,166,223,100,295,62,30,32
600,465,166,223,100,298,62,30,32
605,466,167,224,101,299,62,30,32
610,471,168,225,101,303,62,30,32
615,473,168,226,101,305,63,30,33
620,481,168,227,101,313,64,30,34
625,484,168,228,101,316,64,30,34
630,489,169,230,102,320,65,31,34
635,493,169,231,102,324,65,31,34
640,496,169,231,102,327,65,31,34
645,497,169,231,102,328,65,31,34
650,502,170,235,103,332,65,31,34
655,504,170,236,103,334,66,32,34
660,512,171,241,104,341,67,32,35
665,515,171,242,104,344,67,32,35
670,520,172,242,104,348,68,32,36
675,524,172,244,104,351,68,32,36
680,527,173,245,105,354,68,32,36
685,528,173,245,105,355,68,32,36
690,533,174,247,105,359,68,32,36
695,535,174,249,105,361,69,33,36
700,543,175,252,106,368,70,33,37
705,546,176,253,107,370,70,33,37
710,551,177,254,107,374,71,33,38
715,555,177,255,107,377,72,33,39
720,558,178,256,108,379,72,33,39
725,559,178,256,108,381,72,33,39
730,564,178,257,108,386,72,33,39
735,566,178,259,108,388,73,34,39
740,574,179,261,108,395,73,34,39
745,577,179,263,108,398,73,34,39
750,582,180,267,109,402,73,34,39
755,586,180,269,109,406,73,34,39
760,589,180,271,109,409,73,34,39
765,590,180,271,109,410,73,34,39
770,595,180,275,109,415,73,34,39
775,597,180,277,109,417,74,35,39
780,605,181,281,110,424,74,35,39
785,608,181,282,110,427,74,35,39
790,613,182,283,110,431,74,35,39
795,617,182,286,110,435,74,35,39
800,620,182,286,110,438,74,35,39
805,621,182,287,110,439,74,35,39
810,626,182,291,110,444,74,35,39
815,628,182,291,110,446,75,35,40
820,636,183,296,111,453,75,35,40
825,639,183,297,111,456,75,35,40
830,644,185,299,113,459,76,35,41
835,648,185,300,113,462,77,35,42
840,651,188,302,116,463,77,35,42
845,652,188,303,116,464,77,35,42
850,657,189,307,116,468,77,35,42
855,659,189,309,116,470,78,36,42
860,667,190,312,117,477,78,36,42
865,670,190,314,117,480,78,36,42
870,675,191,318,118,484,79,36,43
875,679,191,321,118,488,79,36,43
