
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,0
 80,0,0
 85,0,0
 90,0,0
 95,0,0
 100,0,0
 105,0,0
 110,0,0
 115,0,0
 120,0,0
 125,0,0
 130,0,0
 135,0,0
 140,0,0
 145,0,0
 150,0,0
 155,0,0
 160,0,0
 165,0,0
 170,0,0
 175,0,0
 180,0,0
 185,0,3
 190,0,3
 195,0,3
 200,0,3
 205,0,3
 210,0,3
 215,0,3
 220,0,3
 225,0,3
 230,0,3
 235,0,3
 240,0,3
 245,0,11
 250,0,12
 255,0,12
 260,0,12
 265,0,12
 270,0,12
 275,0,12
 280,0,12
 285,0,9
 290,0,9
 295,0,9
 300,0,9
 305,0,14
 310,0,14
 315,0,14
 320,0,14
 325,0,14
 330,0,14
 335,0,14
 340,0,14
 345,0,6
 350,0,5
 355,0,5
 360,0,5
 365,0,16
 370,0,16
 375,0,16
 380,0,16
 385,0,16
 390,0,16
 395,0,16
 400,0,16
 405,0,12
 410,0,13
 415,0,13
 420,0,13
 425,0,17
 430,0,17
 435,0,17
 440,0,17
 445,0,17
 450,0,17
 455,0,17
 460,0,17
 465,0,10
 470,0,9
 475,0,9
 480,0,9
 485,0,15
 490,0,15
 495,0,15
 500,0,15
 505,0,15
 510,0,15
 515,0,15
 520,0,15
 525,0,14
 530,0,13
 535,0,13
 540,0,13
 545,0,17
 550,0,18
 555,0,18
 560,0,18
 565,0,18
 570,0,18
 575,0,18
 580,0,18
 585,0,8
 590,0,8
 595,0,6
 600,0,6
 605,0,17
 610,0,17
 615,0,17
 620,0,17
 625,0,17
 630,0,17
 635,0,17
 640,0,17
 645,0,14
 650,0,14
 655,0,14
 660,0,14
 665,0,14
 670,0,14
 675,0,14
 680,0,14
 685,0,14
 690,0,14
 695,0,14
 700,0,14
 705,0,6
 710,0,5
 715,0,4
 720,0,4
 725,0,17
 730,0,17
 735,0,17
 740,0,17
 745,0,17
 750,0,17
 755,0,17
 760,0,17
 765,0,15
 770,0,15
 775,0,15
 780,0,15
 785,0,18
 790,0,18
 795,0,18
 800,0,18
 805,0,18
 810,0,18
 815,0,18
 820,0,18
 825,0,7
 830,0,7
 835,0,6
 840,0,6
 845,0,14
 850,0,15
 855,0,15
 860,0,16
 865,0,16
 870,0,18
 875,0,18
 880,0,18
 885,0,16
 890,0,16
 895,0,16
 900,0,16
 905,0,17
 910,0,19
 915,0,19
 920,0,19
 925,0,19
 930,0,19
 935,0,19
 940,0,19
 945,0,8
 950,0,6
 955,0,6
 960,0,5
 965,0,14
 970,0,15
 975,0,15
 980,0,19
 985,0,19
 990,0,19
 995,0,19
 1000,0,19
 1005,0,18
 1010,0,18
 1015,0,18
 1020,0,18
 1025,0,19
 1030,0,19
 1035,0,19
 1040,0,19
 1045,0,19
 1050,0,19
 1055,0,19
 1060,0,19
 1065,0,9
 1070,0,7
 1075,0,6
 1080,0,2
 1085,0,15
 1090,0,15
 1095,0,15
 1100,0,15
 1105,0,15
 1110,0,15
 1115,0,15
 1120,0,15
 1125,0,13
 1130,0,13
 1135,0,13
 1140,0,13
 1145,0,19
 1150,0,19
 1155,0,19
 1160,0,19
 1165,0,19
 1170,0,19
 1175,0,19
 1180,0,19
 1185,0,13
 1190,0,13
 1195,0,11
 1200,0,11
 1205,0,12
 1210,0,12
 1215,0,12
 1220,0,13
 1225,0,13
 1230,0,13
 1235,0,13
 1240,0,13
 1245,0,10
 1250,0,10
 1255,0,9
 1260,0,10
 1265,0,18
 1270,0,20
 1275,0,20
 1280,0,20
 1285,0,20
 1290,0,20
 1295,0,20
 1300,0,20
 1305,0,15
 1310,0,15
 1315,0,15
 1320,0,15
 1325,0,15
 1330,0,15
 1335,0,15
 1340,0,15
 1345,0,15
 1350,0,15
 1355,0,15
 1360,0,15
 1365,0,6
 1370,0,5
 1375,0,5
 1380,0,6
 1385,0,13
 1390,0,14
 1395,0,14
 1400,0,14
 1405,0,14
 1410,0,14
 1415,0,14
 1420,0,14
 1425,0,12
 1430,0,12
 1435,0,12
 1440,0,12
 1445,0,17
 1450,0,18
 1455,0,18
 1460,0,18
 1465,0,18
 1470,0,18
 1475,0,18
 1480,0,18
 1485,0,11
 1490,0,9
 1495,0,9
 1500,0,9
 1505,0,16
 1510,0,16
 1515,0,16
 1520,0,16
 1525,0,16
 1530,0,16
 1535,0,16
 1540,0,16
 1545,0,12
 1550,0,12
 1555,0,12
 1560,0,12
 1565,0,14
 1570,0,15
 1575,0,15
 1580,0,16
 1585,0,16
 1590,0,16
 1595,0,16
 1600,0,16
 1605,0,12
 1610,0,12
 1615,0,11
 1620,0,11
 1625,0,17
 1630,0,17
 1635,0,17
 1640,0,17
 1645,0,17
 1650,0,17
 1655,0,17
 1660,0,17
 1665,0,14
 1670,0,13
 1675,0,13
 1680,0,12
 1685,0,16
 1690,0,16
 1695,0,16
 1700,0,16
 1705,0,16
 1710,0,16
 1715,0,16
 1720,0,16
 1725,0,12
 1730,0,11
 1735,0,11
 1740,0,11
 1745,0,14
 1750,0,14
 1755,0,15
 1760,0,15
 1765,0,15
 1770,0,15
 1775,0,15
 1780,0,15
 1785,0,8
 1790,0,6
 1795,0,6
 1800,0,6
 1805,0,13
 1810,0,14
 1815,0,14
 1820,0,18
 1825,0,18
 1830,0,18
 1835,0,18
 1840,0,18
 1845,0,16
 1850,0,16
 1855,0,15
 1860,0,15
 1865,0,17
 1870,0,19
 1875,0,20
 1880,0,20
 1885,0,20
 1890,0,20
 1895,0,20
 1900,0,20
 1905,0,15
 1910,0,15
 1915,0,15
 1920,0,14
 1925,0,12
 1930,0,13
 1935,0,13
 1940,0,13
 1945,0,15
 1950,0,15
 1955,0,15
 1960,0,15
 1965,0,11
 1970,0,10
 1975,0,10
 1980,0,10
 1985,0,16
 1990,0,16
 1995,0,16
 2000,0,16
 2005,0,16
 2010,0,16
 2015,0,16
 2020,0,16
 2025,0,12
 2030,0,10
 2035,0,8
 2040,0,8
 2045,0,15
 2050,0,15
 2055,0,15
 2060,0,15
 2065,0,15
 2070,0,16
 2075,0,16
 2080,0,16
 2085,0,14
 2090,0,14
 2095,0,14
 2100,0,14
 2105,0,14
