
 TIME,0 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 
 5,100000,99990,99992,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995,99995
 10,100000,99971,99978,99987,99987,99987,99982,99987,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990,99990
 15,100000,99952,99958,99974,99979,99979,99969,99977,99985,99985,99985,99982,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985,99985
 20,100000,99917,99939,99961,99969,99971,99956,99967,99972,99972,99977,99974,99977,99977,99976,99980,99977,99977,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980,99980
 25,100000,99882,99920,99948,99958,99963,99943,99957,99954,99959,99969,99966,99964,99969,99967,99972,99969,99969,99972,99975,99972,99975,99975,99975,99975,99975,99975,99975,99975,99975,99975,99975
 30,100000,99842,99896,99930,99947,99955,99930,99947,99925,99946,99961,99953,99951,99961,99958,99964,99950,99961,99964,99967,99964,99967,99967,99962,99967,99970,99970,99970,99970,99970,99970,99970
 35,100000,99796,99872,99912,99934,99947,99917,99937,99896,99933,99953,99940,99938,99953,99949,99956,99931,99953,99956,99959,99956,99959,99959,99949,99959,99962,99965,99962,99962,99965,99962,99965
 40,100000,99750,99848,99894,99921,99934,99898,99923,99867,99920,99945,99927,99925,99945,99940,99948,99912,99945,99948,99951,99948,99951,99951,99936,99951,99954,99957,99954,99954,99957,99954,99957
 45,100000,99704,99824,99876,99908,99921,99879,99909,99838,99907,99937,99914,99912,99937,99931,99940,99893,99937,99940,99943,99940,99943,99943,99923,99943,99946,99949,99946,99946,99949,99946,99949
 50,100000,99658,99800,99858,99895,99908,99860,99895,99809,99894,99929,99901,99899,99929,99922,99932,99874,99929,99932,99935,99932,99935,99935,99910,99935,99938,99941,99938,99938,99941,99938,99941
 55,100000,99612,99776,99840,99882,99895,99841,99881,99780,99881,99921,99888,99886,99921,99913,99924,99855,99921,99924,99927,99924,99927,99927,99897,99927,99930,99933,99930,99930,99933,99930,99933
 60,100000,99566,99752,99822,99869,99882,99822,99867,99751,99868,99913,99875,99873,99913,99904,99916,99836,99913,99916,99919,99916,99919,99919,99884,99919,99922,99925,99922,99922,99925,99922,99925
 65,99970,99445,99552,99622,99737,99662,99639,99764,99602,99687,99709,99637,99648,99707,99772,99770,99643,99721,99724,99727,99700,99715,99739,99675,99778,99764,99745,99717,99732,99721,99689,99739
 70,99970,99410,99511,99587,99729,99654,99626,99756,99573,99674,99701,99608,99629,99699,99764,99762,99624,99713,99716,99719,99692,99707,99731,99662,99769,99756,99737,99708,99724,99713,99677,99731
 75,99970,99376,99488,99552,99721,99646,99613,99748,99544,99661,99693,99579,99610,99691,99756,99754,99605,99705,99708,99711,99684,99699,99723,99649,99760,99748,99729,99699,99716,99705,99665,99723
 80,99970,99354,99460,99511,99701,99638,99600,99740,99531,99638,99673,99538,99579,99671,99748,99746,99586,99685,99688,99691,99664,99691,99715,99636,99749,99730,99709,99678,99696,99697,99653,99715
 85,99970,99354,99453,99503,99693,99630,99587,99732,99508,99625,99652,99504,99560,99663,99740,99738,99567,99677,99680,99683,99656,99683,99707,99623,99739,99722,99701,99669,99688,99689,99641,99707
 90,99970,99354,99445,99495,99685,99622,99574,99724,99489,99612,99640,99491,99541,99655,99732,99730,99548,99669,99672,99675,99648,99675,99699,99610,99729,99714,99693,99660,99680,99681,99629,99699
 95,99970,99354,99437,99487,99677,99614,99561,99716,99476,99599,99623,99457,99522,99647,99724,99722,99529,99661,99664,99667,99640,99667,99691,99597,99719,99706,99685,99651,99672,99673,99617,99691
 100,99970,99354,99429,99479,99669,99606,99548,99708,99463,99586,99605,99435,99503,99639,99716,99714,99510,99653,99656,99659,99632,99659,99683,99584,99709,99698,99677,99642,99664,99665,99605,99683
 105,99970,99354,99421,99471,99661,99598,99535,99700,99439,99573,99596,99421,99484,99631,99708,99706,99491,99645,99648,99651,99624,99651,99675,99571,99699,99690,99669,99633,99656,99657,99593,99675
 110,99970,99354,99413,99463,99653,99590,99522,99692,99425,99560,99583,99403,99465,99623,99700,99698,99472,99637,99640,99643,99616,99643,99667,99558,99689,99682,99661,99624,99648,99649,99581,99667
 115,99970,99354,99405,99455,99645,99582,99509,99684,99402,99547,99570,99385,99452,99615,99692,99690,99453,99629,99632,99635,99608,99635,99659,99545,99679,99674,99653,99615,99640,99641,99569,99659
 120,99970,99354,99397,99447,99637,99574,99496,99676,99373,99534,99556,99362,99433,99607,99684,99682,99439,99621,99624,99627,99600,99627,99651,99532,99669,99666,99645,99606,99632,99633,99557,99651
 125,99946,99354,99260,99277,99461,99306,99319,99584,99309,99433,99430,99288,99255,99354,99552,99535,99268,99413,99401,99446,99335,99399,99475,99273,99564,99537,99453,99466,99445,99408,99390,99490
 130,99946,99354,99250,99256,99402,99250,99270,99576,99309,99425,99398,99288,99255,99295,99544,99527,99254,99405,99376,99414,99276,99391,99467,99265,99532,99512,99421,99422,99406,99359,99334,99465
 135,99946,99354,99250,99256,99355,99194,99230,99568,99309,99417,99378,99288,99255,99248,99536,99519,99240,99397,99361,99394,99229,99383,99459,99257,99500,99487,99389,99378,99367,99310,99278,99440
 140,99946,99354,99250,99256,99308,99182,99230,99560,99309,99409,99358,99288,99255,99201,99528,99511,99227,99389,99346,99374,99182,99375,99451,99244,99468,99462,99357,99334,99328,99271,99243,99415
 145,99946,99354,99250,99256,99261,99182,99230,99552,99309,99401,99338,99288,99255,99154,99520,99503,99223,99381,99331,99354,99154,99343,99419,99227,99436,99437,99325,99290,99289,99232,99243,99390
 150,99946,99354,99250,99256,99234,99182,99230,99544,99309,99393,99318,99288,99255,99146,99512,99495,99223,99373,99316,99334,99154,99323,99404,99227,99404,99412,99293,99246,99250,99193,99243,99365
 155,99946,99354,99250,99256,99207,99182,99230,99536,99309,99380,99298,99288,99255,99146,99504,99487,99223,99365,99301,99314,99154,99303,99389,99227,99372,99387,99261,99202,99211,99154,99243,99340
 160,99946,99354,99250,99256,99180,99182,99230,99528,99309,99367,99278,99288,99255,99146,99496,99479,99223,99357,99286,99294,99154,99283,99374,99227,99340,99362,99229,99180,99172,99136,99243,99315
 165,99946,99354,99250,99256,99153,99182,99230,99520,99309,99359,99258,99288,99255,99146,99488,99471,99223,99349,99271,99274,99154,99263,99359,99227,99308,99337,99197,99180,99133,99136,99243,99290
 170,99946,99354,99250,99256,99126,99182,99230,99512,99309,99351,99238,99288,99255,99146,99480,99463,99223,99341,99256,99254,99154,99243,99344,99227,99276,99312,99165,99180,99110,99136,99243,99265
 175,99946,99354,99250,99256,99112,99182,99230,99504,99309,99338,99218,99288,99255,99146,99472,99455,99223,99333,99241,99234,99154,99223,99329,99227,99244,99287,99133,99180,99110,99136,99243,99240
 180,99946,99354,99250,99256,99112,99182,99230,99496,99309,99330,99198,99288,99255,99146,99464,99447,99223,99325,99226,99214,99154,99203,99314,99227,99212,99262,99121,99180,99110,99136,99243,99215
 185,99922,99352,99250,99201,99112,99182,99230,99456,99251,99233,99164,99230,99194,99146,99396,99352,99183,99163,99093,99101,99118,99135,99243,99191,99172,99189,99115,99158,99110,99136,99243,99182
 190,99922,99327,99250,99201,99112,99182,99230,99448,99251,99200,99164,99230,99194,99146,99364,99327,99183,99131,99068,99101,99118,99091,99204,99191,99172,99161,99115,99158,99110,99136,99243,99157
 195,99922,99308,99250,99201,99112,99182,99230,99440,99251,99192,99164,99230,99194,99146,99344,99312,99183,99123,99068,99101,99118,99087,99177,99191,99172,99153,99115,99158,99110,99136,99243,99142
 200,99922,99288,99250,99201,99112,99182,99230,99432,99251,99179,99164,99230,99194,99146,99324,99297,99183,99115,99068,99101,99118,99087,99150,99191,99172,99145,99115,99158,99110,99136,99243,99127
 205,99922,99263,99250,99201,99112,99182,99230,99424,99251,99166,99164,99230,99194,99146,99304,99282,99183,99107,99068,99101,99118,99087,99123,99191,99172,99137,99115,99158,99110,99136,99243,99112
 210,99922,99250,99250,99201,99112,99182,99230,99416,99251,99158,99164,99230,99194,99146,99284,99267,99183,99099,99068,99101,99118,99087,99096,99191,99172,99129,99115,99158,99110,99136,99243,99097
 215,99922,99236,99250,99201,99112,99182,99230,99408,99251,99145,99164,99230,99194,99146,99264,99252,99183,99091,99068,99101,99118,99087,99069,99191,99172,99121,99115,99158,99110,99136,99243,99082
 220,99922,99216,99250,99201,99112,99182,99230,99400,99251,99132,99164,99230,99194,99146,99244,99237,99183,99083,99068,99101,99118,99087,99042,99191,99172,99113,99115,99158,99110,99136,99243,99067
 225,99922,99197,99250,99201,99112,99182,99230,99392,99251,99120,99164,99230,99194,99146,99224,99222,99183,99075,99068,99101,99118,99087,99015,99191,99172,99105,99115,99158,99110,99136,99243,99052
 230,99922,99197,99238,99201,99112,99182,99230,99384,99251,99120,99164,99230,99194,99146,99204,99207,99183,99048,99068,99101,99118,99087,98999,99191,99172,99090,99115,99158,99110,99136,99243,99037
 235,99922,99197,99201,99201,99112,99182,99230,99376,99251,99120,99164,99230,99194,99146,99184,99192,99183,99012,99068,99101,99118,99087,98999,99191,99172,99065,99115,99158,99110,99136,99243,99022
 240,99922,99197,99174,99201,99112,99156,99218,99368,99251,99120,99164,99230,99194,99146,99164,99177,99183,99012,99068,99101,99118,99087,98999,99191,99172,99050,99115,99158,99110,99136,99243,99007
 245,99922,99183,99123,99146,99112,99072,99124,99308,99251,99103,99111,99170,99194,99101,99092,99130,99183,99006,99012,99043,99118,99048,98987,99191,99172,99007,99073,99158,99110,99069,99159,98972
