
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,0
 70,0,0
 75,0,1
 80,0,1
 85,0,1
 90,0,1
 95,0,1
 100,0,1
 105,0,1
 110,0,1
 115,0,1
 120,0,1
 125,0,3
 130,0,3
 135,0,4
 140,0,5
 145,0,8
 150,0,10
 155,0,12
 160,0,17
 165,0,21
 170,0,23
 175,0,25
 180,0,28
 185,0,28
 190,0,28
 195,0,28
 200,0,28
 205,0,28
 210,0,28
 215,0,28
 220,0,28
 225,0,26
 230,0,26
 235,0,25
 240,0,25
 245,0,20
 250,0,21
 255,0,20
 260,0,16
 265,0,16
 270,0,14
 275,0,13
 280,0,12
 285,0,13
 290,0,13
 295,0,13
 300,0,13
 305,0,19
 310,0,25
 315,0,25
 320,0,25
 325,0,25
 330,0,25
 335,0,25
 340,0,25
 345,0,20
 350,0,20
 355,0,20
 360,0,21
 365,0,20
 370,0,20
 375,0,23
 380,0,24
 385,0,26
 390,0,27
 395,0,27
 400,0,27
 405,0,20
 410,0,15
 415,0,15
 420,0,15
 425,0,21
 430,0,21
 435,0,22
 440,0,23
 445,0,23
 450,0,23
 455,0,24
 460,0,24
 465,0,21
 470,0,22
 475,0,20
 480,0,22
 485,0,22
 490,0,24
 495,0,25
 500,0,25
 505,0,25
 510,0,25
 515,0,25
 520,0,25
 525,0,20
 530,0,20
 535,0,20
 540,0,20
 545,0,23
 550,0,25
 555,0,25
 560,0,26
 565,0,26
 570,0,25
 575,0,25
 580,0,25
 585,0,17
 590,0,15
 595,0,15
 600,0,16
 605,0,19
 610,0,20
 615,0,20
 620,0,20
 625,0,20
 630,0,20
 635,0,20
 640,0,21
 645,0,17
 650,0,21
 655,0,22
 660,0,21
 665,0,21
 670,0,22
 675,0,22
 680,0,23
 685,0,23
 690,0,23
 695,0,23
 700,0,23
 705,0,16
 710,0,15
 715,0,15
 720,0,15
 725,0,20
 730,0,22
 735,0,23
 740,0,23
 745,0,24
 750,0,19
 755,0,19
 760,0,18
 765,0,22
 770,0,23
 775,0,23
 780,0,23
 785,0,21
 790,0,22
 795,0,22
 800,0,22
 805,0,22
 810,0,21
 815,0,21
 820,0,21
 825,0,13
 830,0,12
 835,0,12
 840,0,13
 845,0,18
 850,0,21
 855,0,22
 860,0,23
 865,0,21
 870,0,21
 875,0,22
 880,0,21
 885,0,21
 890,0,21
 895,0,22
 900,0,22
 905,0,21
 910,0,22
 915,0,24
 920,0,25
 925,0,25
 930,0,25
 935,0,23
 940,0,23
 945,0,19
 950,0,13
 955,0,11
 960,0,10
 965,0,20
 970,0,21
 975,0,21
 980,0,21
 985,0,22
 990,0,22
 995,0,23
 1000,0,23
 1005,0,22
 1010,0,22
 1015,0,22
 1020,0,23
 1025,0,14
 1030,0,18
 1035,0,21
 1040,0,26
 1045,0,27
 1050,0,27
 1055,0,27
 1060,0,27
 1065,0,22
 1070,0,22
 1075,0,23
 1080,0,25
 1085,0,22
 1090,0,23
 1095,0,24
 1100,0,26
 1105,0,27
 1110,0,27
 1115,0,28
 1120,0,28
 1125,0,25
 1130,0,22
 1135,0,21
 1140,0,20
 1145,0,20
 1150,0,22
 1155,0,23
 1160,0,25
 1165,0,26
 1170,0,26
 1175,0,26
 1180,0,25
 1185,0,22
 1190,0,21
 1195,0,19
 1200,0,18
 1205,0,20
 1210,0,24
 1215,0,24
 1220,0,24
 1225,0,24
 1230,0,24
 1235,0,25
 1240,0,25
 1245,0,21
 1250,0,17
 1255,0,17
 1260,0,16
 1265,0,21
 1270,0,24
 1275,0,24
 1280,0,26
 1285,0,28
 1290,0,28
 1295,0,28
 1300,0,28
 1305,0,23
 1310,0,22
 1315,0,21
 1320,0,21
 1325,0,24
 1330,0,27
 1335,0,27
 1340,0,28
 1345,0,28
 1350,0,28
 1355,0,28
 1360,0,28
 1365,0,23
 1370,0,22
 1375,0,21
 1380,0,20
 1385,0,23
 1390,0,23
 1395,0,23
 1400,0,24
 1405,0,26
 1410,0,26
 1415,0,26
 1420,0,26
 1425,0,17
 1430,0,14
 1435,0,14
 1440,0,15
 1445,0,24
 1450,0,25
 1455,0,25
 1460,0,26
 1465,0,27
 1470,0,27
 1475,0,27
 1480,0,27
 1485,0,20
 1490,0,18
 1495,0,19
 1500,0,23
 1505,0,22
 1510,0,23
 1515,0,23
 1520,0,23
 1525,0,24
 1530,0,24
 1535,0,25
 1540,0,25
 1545,0,19
 1550,0,17
 1555,0,18
 1560,0,20
 1565,0,24
 1570,0,25
 1575,0,26
 1580,0,26
 1585,0,26
 1590,0,26
 1595,0,25
 1600,0,22
 1605,0,15
 1610,0,13
 1615,0,16
 1620,0,19
 1625,0,20
 1630,0,23
 1635,0,24
 1640,0,24
 1645,0,25
 1650,0,26
 1655,0,26
 1660,0,24
 1665,0,21
 1670,0,21
 1675,0,22
 1680,0,24
 1685,0,23
 1690,0,26
 1695,0,27
 1700,0,28
 1705,0,28
 1710,0,28
 1715,0,26
 1720,0,23
 1725,0,20
 1730,0,19
 1735,0,22
 1740,0,22
 1745,0,18
 1750,0,18
 1755,0,22
 1760,0,23
 1765,0,23
 1770,0,23
 1775,0,22
 1780,0,22
 1785,0,20
 1790,0,18
 1795,0,17
 1800,0,17
 1805,0,19
 1810,0,24
 1815,0,25
 1820,0,25
 1825,0,25
 1830,0,25
 1835,0,22
 1840,0,22
 1845,0,18
 1850,0,17
 1855,0,18
 1860,0,18
 1865,0,23
 1870,0,25
 1875,0,28
 1880,0,28
 1885,0,28
 1890,0,29
 1895,0,29
 1900,0,29
 1905,0,23
 1910,0,20
 1915,0,19
 1920,0,19
 1925,0,24
 1930,0,25
 1935,0,26
 1940,0,26
 1945,0,26
 1950,0,27
 1955,0,25
 1960,0,25
 1965,0,20
 1970,0,19
 1975,0,17
 1980,0,18
 1985,0,22
 1990,0,25
 1995,0,25
 2000,0,25
 2005,0,25
 2010,0,25
 2015,0,25
 2020,0,25
 2025,0,18
 2030,0,19
 2035,0,22
 2040,0,22
 2045,0,23
 2050,0,25
 2055,0,25
 2060,0,26
 2065,0,26
 2070,0,26
 2075,0,26
 2080,0,26
 2085,0,20
 2090,0,17
 2095,0,17
 2100,0,17
 2105,0,16
