Time,  Packets Generated,  Packets Reached,High Priority Packets Generated, High Priority Packets reached, Packet Dropped, Packet Dropped due to Faulty Node, High Prio Packet Dropped due to Faulty Node, Low Prio Packet Dropped due to Faulty Node 
5,1,1,1,1,0,0,0,0
10,7,4,6,3,3,3,3,0
15,15,7,9,3,7,7,6,1
20,31,14,16,8,15,15,8,7
25,50,23,26,12,25,25,13,12
30,74,36,36,18,36,36,17,19
35,102,49,46,22,50,50,24,26
40,133,64,64,29,66,66,33,33
45,164,79,81,34,82,82,44,38
50,195,94,96,45,98,98,51,47
55,226,109,110,53,114,114,57,57
60,257,122,125,58,132,130,65,65
65,288,134,140,67,147,137,70,67
70,319,152,157,80,159,144,74,70
75,350,166,173,87,174,155,76,79
80,381,181,188,99,191,164,81,83
85,412,197,202,109,206,173,84,89
90,443,211,213,119,224,182,88,94
95,474,221,226,126,247,191,91,100
100,505,229,237,133,269,200,94,106
105,536,240,250,144,290,209,95,114
110,567,247,259,150,314,218,97,121
115,598,258,278,160,332,228,105,123
120,629,268,292,170,355,240,111,129
125,660,272,310,174,387,245,113,132
130,691,272,329,174,419,249,116,133
135,722,272,347,174,450,253,119,134
140,753,272,363,174,481,257,122,135
145,784,272,377,174,512,260,123,137
150,815,272,385,174,543,262,124,138
155,846,272,398,174,574,264,126,138
160,877,272,412,174,605,266,127,139
165,908,272,427,174,636,267,127,140
170,939,272,442,174,667,268,127,141
175,970,272,460,174,698,269,127,142
180,1001,273,473,174,727,270,127,143
185,1032,275,488,176,757,272,128,144
190,1063,277,505,177,785,274,129,145
195,1094,280,518,180,813,276,130,146
200,1125,282,536,182,842,278,132,146
205,1156,285,552,185,870,280,134,146
210,1187,287,569,187,900,282,136,146
215,1218,288,583,188,930,284,137,147
220,1249,290,596,189,958,286,137,149
225,1280,294,612,192,986,288,138,150
230,1311,296,624,194,1015,290,138,152
235,1342,297,635,195,1044,292,139,153
240,1373,302,653,200,1066,294,140,154
245,1404,304,668,201,1100,297,142,155
250,1435,305,684,202,1130,300,144,156
255,1466,306,699,203,1160,303,145,158
260,1497,307,713,204,1190,305,146,159
265,1528,308,730,205,1220,307,148,159
270,1559,309,744,205,1250,309,150,159
275,1590,310,756,206,1280,311,151,160
280,1621,311,772,207,1310,313,151,162
285,1652,312,786,208,1340,315,153,162
290,1683,313,806,209,1370,317,153,164
295,1714,314,819,209,1400,319,154,165
300,1745,315,833,210,1430,321,155,166
305,1776,320,845,213,1456,323,156,167
310,1807,324,859,215,1483,325,157,168
315,1838,328,875,218,1510,327,159,168
320,1869,331,891,218,1538,329,161,168
325,1900,335,905,221,1565,331,161,170
330,1931,340,927,226,1591,333,163,170
335,1962,342,942,227,1620,335,164,171
340,1993,345,954,228,1648,337,164,173
345,2024,347,967,228,1676,339,164,175
350,2055,352,986,233,1700,341,165,176
355,2086,354,1001,234,1731,344,166,178
360,2117,355,1017,235,1762,347,168,179
365,2148,356,1033,235,1792,350,169,181
370,2179,357,1049,235,1822,352,171,181
375,2210,358,1065,235,1852,354,172,182
380,2241,359,1080,236,1882,356,172,184
385,2272,360,1097,236,1912,358,173,185
390,2303,361,1111,236,1942,360,174,186
395,2334,362,1123,237,1972,362,174,188
400,2365,363,1139,238,2002,364,175,189
405,2396,364,1157,238,2032,366,176,190
410,2427,366,1175,240,2061,368,177,191
