
 TIME, NO OF NODES FAIL, NO OF NODES HOTSPOT
 5,0,0
 10,0,0
 15,0,0
 20,0,0
 25,0,0
 30,0,0
 35,0,0
 40,0,0
 45,0,0
 50,0,0
 55,0,0
 60,0,0
 65,0,1
 70,0,1
 75,0,1
 80,0,2
 85,0,2
 90,0,2
 95,0,2
 100,0,2
 105,0,2
 110,0,2
 115,0,4
 120,0,9
 125,0,18
 130,0,22
 135,0,25
 140,0,25
 145,0,25
 150,0,25
 155,0,25
 160,0,25
 165,0,25
 170,0,26
 175,0,26
 180,0,26
 185,0,22
 190,0,26
 195,0,26
 200,0,26
 205,0,26
 210,0,26
 215,0,26
 220,0,24
 225,0,14
 230,0,11
 235,0,10
 240,0,9
 245,0,19
 250,0,20
 255,0,20
 260,0,20
 265,0,20
 270,0,21
 275,0,21
 280,0,22
 285,0,22
 290,0,22
 295,0,23
 300,0,23
 305,0,22
 310,0,22
 315,0,22
 320,0,27
 325,0,27
 330,0,27
 335,0,26
 340,0,26
 345,0,17
 350,0,16
 355,0,16
 360,0,17
 365,0,20
 370,0,21
 375,0,21
 380,0,21
 385,0,24
 390,0,25
 395,0,25
 400,0,25
 405,0,22
 410,0,20
 415,0,20
 420,0,19
 425,0,17
 430,0,24
 435,0,26
 440,0,26
 445,0,27
 450,0,27
 455,0,27
 460,0,26
 465,0,21
 470,0,20
 475,0,20
 480,0,20
 485,0,20
 490,0,20
 495,0,21
 500,0,22
 505,0,25
 510,0,25
 515,0,25
 520,0,25
 525,0,24
 530,0,23
 535,0,21
 540,0,21
 545,0,23
 550,0,24
 555,0,27
 560,0,27
 565,0,27
 570,0,27
 575,0,27
 580,0,27
 585,0,26
 590,0,25
 595,0,23
 600,0,23
 605,0,25
 610,0,24
 615,0,24
 620,0,24
 625,0,24
 630,0,24
 635,0,24
 640,0,24
 645,0,12
 650,0,8
 655,0,5
 660,0,6
 665,0,23
 670,0,24
 675,0,24
 680,0,26
 685,0,27
 690,0,28
 695,0,29
 700,0,29
 705,0,29
 710,0,29
 715,0,29
 720,0,29
 725,0,29
 730,0,29
 735,0,29
 740,0,29
 745,0,29
 750,0,29
 755,0,29
 760,0,29
 765,0,10
 770,0,6
 775,0,5
 780,0,8
 785,0,19
 790,0,19
 795,0,19
 800,0,19
 805,0,20
 810,0,21
 815,0,21
 820,0,21
 825,0,21
 830,0,21
 835,0,21
 840,0,22
 845,0,20
 850,0,24
 855,0,26
 860,0,26
 865,0,26
 870,0,27
 875,0,27
 880,0,28
 885,0,18
 890,0,17
 895,0,18
 900,0,18
 905,0,21
 910,0,23
 915,0,23
 920,0,23
 925,0,23
 930,0,23
 935,0,23
 940,0,23
 945,0,23
 950,0,23
 955,0,23
 960,0,23
 965,0,24
 970,0,24
 975,0,24
 980,0,24
 985,0,25
 990,0,25
 995,0,25
 1000,0,25
 1005,0,9
 1010,0,6
 1015,0,22
 1020,0,23
 1025,0,27
 1030,0,27
 1035,0,27
 1040,0,27
 1045,0,27
 1050,0,27
 1055,0,27
 1060,0,27
 1065,0,26
 1070,0,26
 1075,0,26
 1080,0,26
 1085,0,27
 1090,0,27
 1095,0,27
 1100,0,27
 1105,0,26
 1110,0,26
 1115,0,10
 1120,0,8
 1125,0,2
 1130,0,2
 1135,0,9
 1140,0,18
 1145,0,26
 1150,0,27
 1155,0,27
 1160,0,27
 1165,0,27
 1170,0,27
 1175,0,27
 1180,0,27
 1185,0,27
 1190,0,27
 1195,0,27
 1200,0,27
 1205,0,27
 1210,0,27
 1215,0,27
 1220,0,26
 1225,0,26
 1230,0,26
 1235,0,24
 1240,0,15
 1245,0,2
 1250,0,2
 1255,0,6
 1260,0,8
 1265,0,25
 1270,0,25
 1275,0,25
 1280,0,26
 1285,0,26
 1290,0,26
 1295,0,26
 1300,0,26
 1305,0,26
 1310,0,26
 1315,0,26
 1320,0,26
 1325,0,26
 1330,0,26
 1335,0,26
 1340,0,26
 1345,0,26
 1350,0,27
 1355,0,27
 1360,0,23
 1365,0,9
 1370,0,6
 1375,0,3
 1380,0,2
 1385,0,23
 1390,0,24
 1395,0,24
 1400,0,24
 1405,0,25
 1410,0,25
 1415,0,25
 1420,0,26
 1425,0,26
 1430,0,26
 1435,0,26
 1440,0,26
 1445,0,26
 1450,0,27
 1455,0,27
 1460,0,27
 1465,0,27
 1470,0,27
 1475,0,27
 1480,0,27
 1485,0,8
 1490,0,7
 1495,0,22
 1500,0,25
 1505,0,25
 1510,0,25
 1515,0,26
 1520,0,25
 1525,0,25
 1530,0,25
 1535,0,25
 1540,0,26
 1545,0,26
 1550,0,26
 1555,0,26
 1560,0,26
 1565,0,23
 1570,0,25
 1575,0,25
 1580,0,25
 1585,0,25
 1590,0,25
 1595,0,16
 1600,0,12
 1605,0,8
 1610,0,13
 1615,0,15
 1620,0,22
 1625,0,27
 1630,0,27
 1635,0,28
 1640,0,27
 1645,0,27
 1650,0,27
 1655,0,27
 1660,0,27
 1665,0,26
 1670,0,24
 1675,0,24
 1680,0,25
 1685,0,24
 1690,0,26
 1695,0,27
 1700,0,26
 1705,0,27
 1710,0,28
 1715,0,27
 1720,0,21
 1725,0,16
 1730,0,15
 1735,0,14
 1740,0,14
 1745,0,21
 1750,0,21
 1755,0,22
 1760,0,24
 1765,0,24
 1770,0,24
 1775,0,24
 1780,0,24
 1785,0,24
 1790,0,24
 1795,0,24
 1800,0,23
 1805,0,25
 1810,0,25
 1815,0,25
 1820,0,25
 1825,0,26
 1830,0,26
 1835,0,27
 1840,0,28
 1845,0,22
 1850,0,21
 1855,0,21
 1860,0,21
 1865,0,21
 1870,0,22
 1875,0,28
 1880,0,28
 1885,0,28
 1890,0,28
 1895,0,28
 1900,0,28
 1905,0,22
 1910,0,20
 1915,0,19
 1920,0,19
 1925,0,23
 1930,0,26
 1935,0,27
 1940,0,28
 1945,0,28
 1950,0,28
 1955,0,28
 1960,0,28
 1965,0,22
 1970,0,22
 1975,0,22
 1980,0,22
 1985,0,24
 1990,0,24
 1995,0,24
 2000,0,24
 2005,0,24
 2010,0,24
 2015,0,24
 2020,0,24
 2025,0,20
 2030,0,16
 2035,0,18
 2040,0,18
 2045,0,22
 2050,0,25
 2055,0,27
 2060,0,27
 2065,0,27
 2070,0,26
 2075,0,26
 2080,0,24
 2085,0,18
 2090,0,16
 2095,0,16
 2100,0,16
 2105,0,24
